日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1241.93,1243.42,1246.58,1239.59,0.16,1.97,937689,532375637.0,0.56,0.55
2025-08-19 09:40:00,1242.05,1249.3,1252.13,1241.54,0.47,5.88,475117,296735771.0,0.85,0.28
2025-08-19 09:45:00,1249.73,1252.33,1252.51,1248.99,0.24,3.03,290656,187767330.0,0.28,0.17
2025-08-19 09:50:00,1251.69,1253.15,1253.15,1249.27,0.07,0.82,286349,162235434.0,0.31,0.17
2025-08-19 09:55:00,1252.79,1256.23,1257.78,1252.31,0.25,3.08,370335,220727104.0,0.44,0.22
2025-08-19 10:00:00,1256.41,1259.84,1262.74,1256.41,0.29,3.61,436314,264553252.0,0.5,0.26
2025-08-19 10:05:00,1259.77,1258.83,1262.46,1258.53,-0.08,-1.01,548530,366085731.0,0.31,0.32
2025-08-19 10:10:00,1258.92,1259.84,1261.8,1256.31,0.08,1.01,368625,246569712.0,0.44,0.22
2025-08-19 10:15:00,1260.04,1261.39,1262.32,1259.07,0.12,1.55,165421,118532687.0,0.26,0.1
2025-08-19 10:20:00,1261.45,1261.5,1263.08,1260.24,0.01,0.11,156329,96377240.0,0.23,0.09
2025-08-19 10:25:00,1261.41,1258.58,1262.84,1258.29,-0.23,-2.92,170616,84575472.0,0.36,0.1
2025-08-19 10:30:00,1259.08,1262.29,1262.77,1258.56,0.29,3.71,139927,88651670.0,0.33,0.08
2025-08-19 10:35:00,1262.74,1263.96,1265.77,1262.29,0.13,1.67,94625,58326804.0,0.28,0.06
2025-08-19 10:40:00,1263.96,1264.4,1265.16,1263.3,0.03,0.44,87500,59979002.0,0.15,0.05
2025-08-19 10:45:00,1264.41,1263.12,1264.46,1262.28,-0.1,-1.28,50003,37340917.0,0.17,0.03
2025-08-19 10:50:00,1263.49,1264.21,1264.88,1262.07,0.09,1.09,52511,32974898.0,0.22,0.03
2025-08-19 10:55:00,1264.47,1264.07,1265.16,1262.82,-0.01,-0.14,55426,28897138.0,0.19,0.03
2025-08-19 11:00:00,1263.99,1263.02,1264.63,1262.35,-0.08,-1.05,58174,28442915.0,0.18,0.03
2025-08-19 11:05:00,1263.09,1263.48,1264.11,1261.95,0.04,0.46,90220,39661826.0,0.17,0.05
2025-08-19 11:10:00,1263.34,1264.48,1264.55,1262.31,0.08,1.0,66719,40069716.0,0.18,0.04
2025-08-19 11:15:00,1264.42,1266.7,1266.91,1263.98,0.18,2.22,59057,35137082.0,0.23,0.03
2025-08-19 11:20:00,1266.65,1265.64,1267.25,1265.22,-0.08,-1.06,65874,29655255.0,0.16,0.04
2025-08-19 11:25:00,1265.51,1265.88,1266.23,1264.67,0.02,0.24,39153,22120334.0,0.12,0.02
2025-08-19 11:30:00,1265.76,1266.4,1266.94,1265.28,0.04,0.52,49009,28133557.0,0.13,0.03
2025-08-19 13:05:00,1266.4,1265.27,1266.69,1263.11,-0.09,-1.13,90424,58461076.0,0.28,0.05
2025-08-19 13:10:00,1265.1,1265.79,1266.34,1264.55,0.04,0.52,54257,34941893.0,0.14,0.03
2025-08-19 13:15:00,1265.7,1263.41,1265.78,1263.36,-0.19,-2.38,98617,52970023.0,0.19,0.06
2025-08-19 13:20:00,1263.89,1264.92,1266.37,1263.29,0.12,1.51,40506,31248381.0,0.24,0.02
2025-08-19 13:25:00,1264.85,1264.07,1265.53,1263.33,-0.07,-0.85,51024,31178984.0,0.17,0.03
2025-08-19 13:30:00,1264.26,1265.08,1265.64,1263.27,0.08,1.01,45326,31220925.0,0.19,0.03
2025-08-19 13:35:00,1265.45,1261.82,1265.55,1261.78,-0.26,-3.26,44249,32264420.0,0.3,0.03
2025-08-19 13:40:00,1261.99,1263.65,1263.65,1260.48,0.15,1.83,133622,60668299.0,0.25,0.08
2025-08-19 13:45:00,1263.44,1264.03,1264.03,1261.77,0.03,0.38,60916,33033102.0,0.18,0.04
2025-08-19 13:50:00,1264.11,1262.25,1264.11,1261.41,-0.14,-1.78,73116,43217236.0,0.21,0.04
2025-08-19 13:55:00,1262.41,1260.59,1262.84,1258.81,-0.13,-1.66,82087,52308669.0,0.32,0.05
2025-08-19 14:00:00,1260.71,1261.69,1262.23,1259.87,0.09,1.1,46729,33070364.0,0.19,0.03
2025-08-19 14:05:00,1261.62,1263.78,1264.37,1259.95,0.17,2.09,83898,52639804.0,0.35,0.05
2025-08-19 14:10:00,1263.83,1263.92,1264.72,1262.68,0.01,0.14,89461,39566149.0,0.16,0.05
2025-08-19 14:15:00,1263.35,1264.01,1264.9,1262.87,0.01,0.09,35163,22187691.0,0.16,0.02
2025-08-19 14:20:00,1263.96,1264.1,1266.92,1263.88,0.01,0.09,386413,144409460.0,0.24,0.23
2025-08-19 14:25:00,1264.28,1263.16,1265.12,1263.16,-0.07,-0.94,89440,41305196.0,0.16,0.05
2025-08-19 14:30:00,1263.29,1263.14,1263.66,1261.3,0.0,-0.02,116239,58178927.0,0.19,0.07
2025-08-19 14:35:00,1263.17,1264.33,1265.51,1263.01,0.09,1.19,107432,64933727.0,0.2,0.06
2025-08-19 14:40:00,1264.24,1264.97,1265.59,1263.97,0.05,0.64,69772,35656376.0,0.13,0.04
2025-08-19 14:45:00,1264.85,1265.09,1265.52,1263.36,0.01,0.12,92894,44742334.0,0.17,0.05
2025-08-19 14:50:00,1265.05,1264.22,1265.83,1263.5,-0.07,-0.87,99687,53317286.0,0.18,0.06
2025-08-19 14:55:00,1264.31,1264.35,1265.28,1263.45,0.01,0.13,95436,63279220.0,0.14,0.06
2025-08-19 15:00:00,1264.16,1265.04,1265.54,1263.85,0.05,0.69,143077,78193525.0,0.13,0.08
2025-08-20 09:35:00,1265.58,1264.23,1266.6,1259.06,-0.06,-0.81,885832,592021424.0,0.6,0.52
2025-08-20 09:40:00,1264.35,1267.74,1268.8,1262.29,0.28,3.51,461617,272903280.0,0.51,0.27
2025-08-20 09:45:00,1267.85,1271.77,1272.73,1267.54,0.32,4.03,538568,285284287.0,0.41,0.32
2025-08-20 09:50:00,1271.77,1273.72,1274.99,1270.47,0.15,1.95,354873,175234562.0,0.36,0.21
2025-08-20 09:55:00,1273.44,1272.32,1273.93,1270.97,-0.11,-1.4,197915,118940651.0,0.23,0.12
2025-08-20 10:00:00,1271.49,1267.1,1271.49,1266.41,-0.41,-5.22,230976,140040647.0,0.4,0.14
2025-08-20 10:05:00,1267.4,1266.73,1268.24,1264.23,-0.03,-0.37,218509,129680046.0,0.32,0.13
2025-08-20 10:10:00,1267.09,1267.2,1268.1,1265.51,0.04,0.47,128197,80570694.0,0.2,0.08
