日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,11066.97,10983.88,11067.36,10963.99,-0.74,-81.82,6788865,5625519904.0,0.93,0.61
2025-08-19 09:40:00,10983.08,11017.11,11017.11,10967.38,0.3,33.23,2705828,2371570832.0,0.45,0.24
2025-08-19 09:45:00,11016.87,11036.51,11047.84,11001.67,0.18,19.4,1915466,1700706976.0,0.42,0.17
2025-08-19 09:50:00,11037.54,11036.96,11045.43,11033.17,0.0,0.45,1371335,1252952891.0,0.11,0.12
2025-08-19 09:55:00,11036.92,11060.51,11061.28,11036.92,0.21,23.55,1360602,1213348766.0,0.22,0.12
2025-08-19 10:00:00,11059.44,11039.58,11059.44,11039.58,-0.19,-20.93,1153314,1067063951.0,0.18,0.1
2025-08-19 10:05:00,11039.85,10991.85,11039.85,10991.85,-0.43,-47.73,1541754,1357392562.0,0.43,0.14
2025-08-19 10:10:00,10991.82,11008.9,11011.52,10973.41,0.16,17.05,1484200,1344199328.0,0.35,0.13
2025-08-19 10:15:00,11009.76,11014.81,11022.35,11008.77,0.05,5.91,829479,788357243.0,0.12,0.07
2025-08-19 10:20:00,11014.32,11014.56,11025.59,11009.8,0.0,-0.25,907630,779096270.0,0.14,0.08
2025-08-19 10:25:00,11013.24,11010.07,11024.82,11003.18,-0.04,-4.49,852523,799899117.0,0.2,0.08
2025-08-19 10:30:00,11011.01,11043.33,11046.05,11011.01,0.3,33.26,857260,845326811.0,0.32,0.08
2025-08-19 10:35:00,11044.02,11076.22,11076.22,11043.75,0.3,32.89,1041678,872097008.0,0.29,0.09
2025-08-19 10:40:00,11076.85,11105.25,11105.25,11076.85,0.26,29.03,1458657,1298350158.0,0.26,0.13
2025-08-19 10:45:00,11104.3,11105.9,11119.5,11100.52,0.01,0.65,1512886,1277560423.0,0.17,0.14
2025-08-19 10:50:00,11105.44,11094.92,11105.44,11090.82,-0.1,-10.98,899275,786997979.0,0.13,0.08
2025-08-19 10:55:00,11095.86,11092.2,11100.75,11090.08,-0.02,-2.72,622863,574905897.0,0.1,0.06
2025-08-19 11:00:00,11091.11,11098.31,11098.92,11086.68,0.06,6.11,562029,562938802.0,0.11,0.05
2025-08-19 11:05:00,11097.86,11127.4,11128.0,11097.86,0.26,29.09,695612,674420369.0,0.27,0.06
2025-08-19 11:10:00,11126.93,11135.96,11135.96,11122.69,0.08,8.56,637965,716647601.0,0.12,0.06
2025-08-19 11:15:00,11135.12,11134.96,11143.97,11134.96,-0.01,-1.0,641675,732470693.0,0.08,0.06
2025-08-19 11:20:00,11135.07,11123.35,11135.16,11123.35,-0.1,-11.61,506008,517158963.0,0.11,0.05
2025-08-19 11:25:00,11122.69,11125.5,11127.02,11118.55,0.02,2.15,482307,531604239.0,0.08,0.04
2025-08-19 11:30:00,11124.75,11118.94,11125.22,11116.29,-0.06,-6.56,614378,522593242.0,0.08,0.06
2025-08-19 13:05:00,11118.94,11118.92,11124.82,11108.45,0.0,-0.02,828774,783449673.0,0.15,0.07
2025-08-19 13:10:00,11118.47,11113.88,11121.43,11112.31,-0.05,-5.04,554697,531495786.0,0.08,0.05
2025-08-19 13:15:00,11114.03,11102.57,11117.73,11101.32,-0.1,-11.31,637832,597701720.0,0.15,0.06
2025-08-19 13:20:00,11102.25,11096.88,11112.07,11096.54,-0.05,-5.69,631356,589557474.0,0.14,0.06
2025-08-19 13:25:00,11097.34,11089.32,11101.58,11088.51,-0.07,-7.56,514561,492345356.0,0.12,0.05
2025-08-19 13:30:00,11089.29,11088.08,11090.45,11079.5,-0.01,-1.24,544721,523442276.0,0.1,0.05
2025-08-19 13:35:00,11086.19,11067.39,11089.08,11067.15,-0.19,-20.69,621064,563933980.0,0.2,0.06
2025-08-19 13:40:00,11066.17,11076.67,11078.55,11060.83,0.08,9.28,729843,582292967.0,0.16,0.07
2025-08-19 13:45:00,11076.4,11076.98,11080.54,11070.7,0.0,0.31,520206,444920088.0,0.09,0.05
2025-08-19 13:50:00,11077.44,11063.39,11078.18,11062.33,-0.12,-13.59,615556,529735837.0,0.14,0.06
2025-08-19 13:55:00,11063.53,11047.34,11063.53,11041.56,-0.15,-16.05,765534,690630981.0,0.2,0.07
2025-08-19 14:00:00,11049.0,11042.83,11054.91,11042.83,-0.04,-4.51,478967,450121281.0,0.11,0.04
2025-08-19 14:05:00,11044.29,11066.91,11066.97,11040.88,0.22,24.08,481203,433133941.0,0.24,0.04
2025-08-19 14:10:00,11066.51,11064.85,11075.1,11063.28,-0.02,-2.06,402215,351893036.0,0.11,0.04
2025-08-19 14:15:00,11064.79,11058.31,11064.79,11055.12,-0.06,-6.54,415352,346599994.0,0.09,0.04
2025-08-19 14:20:00,11058.78,11052.69,11064.35,11052.69,-0.05,-5.62,511653,412086679.0,0.11,0.05
2025-08-19 14:25:00,11052.87,11041.22,11053.49,11040.77,-0.1,-11.47,654214,542328296.0,0.12,0.06
2025-08-19 14:30:00,11040.94,11035.97,11040.94,11028.12,-0.05,-5.25,747611,630862228.0,0.12,0.07
2025-08-19 14:35:00,11036.35,11049.29,11050.95,11036.35,0.12,13.32,601758,502883358.0,0.13,0.05
2025-08-19 14:40:00,11049.54,11053.61,11057.05,11048.95,0.04,4.32,624499,500034732.0,0.07,0.06
2025-08-19 14:45:00,11053.67,11057.61,11057.61,11048.79,0.04,4.0,707795,564762406.0,0.08,0.06
2025-08-19 14:50:00,11058.73,11061.06,11062.66,11056.93,0.03,3.45,823752,714922335.0,0.05,0.07
2025-08-19 14:55:00,11062.78,11059.23,11062.78,11055.96,-0.02,-1.83,1048843,916435248.0,0.06,0.09
2025-08-19 15:00:00,11058.89,11063.99,11063.99,11057.47,0.04,4.76,1148305,972228172.0,0.06,0.1
2025-08-20 09:35:00,11036.12,11017.71,11039.34,11005.95,-0.42,-46.28,5131865,3664555792.0,0.3,0.46
2025-08-20 09:40:00,11017.99,11023.21,11024.63,10986.5,0.05,5.5,2238607,1785356187.0,0.35,0.2
2025-08-20 09:45:00,11023.25,11032.81,11049.48,11012.45,0.09,9.6,1693365,1314330962.0,0.34,0.15
2025-08-20 09:50:00,11033.2,11049.89,11052.3,11023.25,0.15,17.08,1597089,1325982387.0,0.26,0.14
2025-08-20 09:55:00,11049.36,11023.79,11049.36,11023.34,-0.24,-26.1,1375441,1144430373.0,0.24,0.12
2025-08-20 10:00:00,11021.85,11006.27,11021.85,10999.67,-0.16,-17.52,1369591,1119402595.0,0.2,0.12
2025-08-20 10:05:00,11005.65,10989.89,11008.57,10987.1,-0.15,-16.38,1128485,928142971.0,0.2,0.1
2025-08-20 10:10:00,10987.99,10974.83,10990.04,10973.05,-0.14,-15.06,1125509,934534651.0,0.15,0.1
2025-08-20 10:15:00,10973.77,10972.67,10975.62,10967.93,-0.02,-2.16,1140846,875855007.0,0.07,0.1
2025-08-20 10:20:00,10972.21,10969.39,10973.08,10964.4,-0.03,-3.28,941429,784561830.0,0.08,0.08
2025-08-20 10:25:00,10967.43,10963.24,10967.43,10958.11,-0.06,-6.15,785160,682970251.0,0.08,0.07
2025-08-20 10:30:00,10963.38,10979.52,10979.52,10962.55,0.15,16.28,568485,495643083.0,0.15,0.05
2025-08-20 10:35:00,10979.78,11018.42,11021.32,10979.68,0.35,38.9,943155,805291340.0,0.38,0.08
