日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,16426.32,16369.13,16450.92,16369.13,-0.01,-2.31,1232457,1519371202.0,0.5,0.57
2025-08-19 09:40:00,16365.34,16361.85,16388.49,16353.02,-0.04,-7.28,474804,624267685.0,0.22,0.22
2025-08-19 09:45:00,16361.72,16390.69,16392.93,16355.33,0.18,28.84,402714,445832487.0,0.23,0.19
2025-08-19 09:50:00,16392.94,16399.82,16410.31,16387.73,0.06,9.13,298170,342889622.0,0.14,0.14
2025-08-19 09:55:00,16401.47,16396.13,16401.47,16386.52,-0.02,-3.69,216870,292206013.0,0.09,0.1
2025-08-19 10:00:00,16395.13,16406.32,16419.07,16394.42,0.06,10.19,304161,292242091.0,0.15,0.14
2025-08-19 10:05:00,16405.51,16335.71,16405.51,16335.33,-0.43,-70.61,316824,414603393.0,0.43,0.15
2025-08-19 10:10:00,16335.42,16376.06,16377.64,16318.07,0.25,40.35,305879,349520636.0,0.36,0.14
2025-08-19 10:15:00,16375.56,16390.64,16409.95,16375.45,0.09,14.58,238506,243151906.0,0.21,0.11
2025-08-19 10:20:00,16392.58,16394.32,16408.77,16384.78,0.02,3.68,166413,212514966.0,0.15,0.08
2025-08-19 10:25:00,16394.4,16399.05,16409.08,16390.67,0.03,4.73,191066,190615387.0,0.11,0.09
2025-08-19 10:30:00,16398.92,16437.24,16437.24,16398.92,0.23,38.19,175839,205674693.0,0.23,0.08
2025-08-19 10:35:00,16435.76,16445.57,16457.54,16431.65,0.05,8.33,181512,201729449.0,0.16,0.08
2025-08-19 10:40:00,16447.24,16438.45,16452.16,16435.15,-0.04,-7.12,113270,143813238.0,0.1,0.05
2025-08-19 10:45:00,16436.62,16419.18,16439.44,16415.12,-0.12,-19.27,97099,107990461.0,0.15,0.04
2025-08-19 10:50:00,16417.09,16410.78,16425.15,16409.13,-0.05,-8.4,103385,118213937.0,0.1,0.05
2025-08-19 10:55:00,16411.72,16411.46,16422.49,16408.96,0.0,0.68,82765,91127484.0,0.08,0.04
2025-08-19 11:00:00,16407.66,16429.67,16430.97,16399.97,0.11,18.21,118958,113673155.0,0.19,0.05
2025-08-19 11:05:00,16430.6,16436.95,16439.63,16426.39,0.04,7.28,97886,120891493.0,0.08,0.04
2025-08-19 11:10:00,16436.92,16453.38,16453.38,16432.14,0.1,16.43,135804,126741371.0,0.13,0.06
2025-08-19 11:15:00,16452.35,16465.18,16468.12,16452.35,0.07,11.8,137769,135052832.0,0.1,0.06
2025-08-19 11:20:00,16464.1,16474.39,16480.37,16458.53,0.06,9.21,154123,167128078.0,0.13,0.07
2025-08-19 11:25:00,16471.41,16469.65,16479.43,16466.71,-0.03,-4.74,150052,175419748.0,0.08,0.07
2025-08-19 11:30:00,16470.29,16463.17,16472.16,16463.17,-0.04,-6.48,97207,112370911.0,0.05,0.04
2025-08-19 13:05:00,16463.17,16479.85,16486.54,16461.13,0.1,16.68,169159,236094400.0,0.15,0.08
2025-08-19 13:10:00,16480.07,16477.87,16480.13,16467.12,-0.01,-1.98,93767,112240594.0,0.08,0.04
2025-08-19 13:15:00,16478.38,16462.66,16479.99,16456.82,-0.09,-15.21,105022,138035105.0,0.14,0.05
2025-08-19 13:20:00,16461.31,16481.58,16482.14,16456.75,0.11,18.92,140626,194508790.0,0.15,0.06
2025-08-19 13:25:00,16480.04,16467.42,16481.9,16465.2,-0.09,-14.16,98963,130541565.0,0.1,0.05
2025-08-19 13:30:00,16466.42,16501.22,16505.16,16462.46,0.21,33.8,178931,224945087.0,0.26,0.08
2025-08-19 13:35:00,16499.96,16477.41,16505.62,16475.85,-0.14,-23.81,162112,189107912.0,0.18,0.07
2025-08-19 13:40:00,16477.26,16479.11,16485.96,16458.74,0.01,1.7,126834,150048935.0,0.17,0.06
2025-08-19 13:45:00,16479.29,16469.69,16484.9,16467.09,-0.06,-9.42,95029,102086570.0,0.11,0.04
2025-08-19 13:50:00,16470.99,16446.06,16471.96,16445.87,-0.14,-23.63,147715,153419704.0,0.16,0.07
2025-08-19 13:55:00,16447.54,16439.5,16451.04,16421.39,-0.04,-6.56,181595,198869700.0,0.18,0.08
2025-08-19 14:00:00,16438.46,16442.81,16447.52,16437.05,0.02,3.31,91362,100425096.0,0.06,0.04
2025-08-19 14:05:00,16441.28,16470.81,16473.07,16439.08,0.17,28.0,93886,134283652.0,0.21,0.04
2025-08-19 14:10:00,16470.51,16485.08,16492.43,16470.51,0.09,14.27,169068,360103507.0,0.13,0.08
2025-08-19 14:15:00,16485.42,16462.78,16485.42,16458.18,-0.14,-22.3,89477,125695586.0,0.17,0.04
2025-08-19 14:20:00,16459.12,16445.97,16469.55,16442.45,-0.1,-16.81,95655,126410213.0,0.16,0.04
2025-08-19 14:25:00,16445.04,16440.0,16452.21,16437.03,-0.04,-5.97,133245,138901402.0,0.09,0.06
2025-08-19 14:30:00,16441.23,16408.98,16441.23,16402.51,-0.19,-31.02,173299,207940549.0,0.24,0.08
2025-08-19 14:35:00,16411.8,16433.07,16439.6,16411.8,0.15,24.09,138543,152814660.0,0.17,0.06
2025-08-19 14:40:00,16433.63,16425.27,16439.16,16423.75,-0.05,-7.8,107328,112797894.0,0.09,0.05
2025-08-19 14:45:00,16425.05,16425.52,16433.31,16417.31,0.0,0.25,124876,140206832.0,0.1,0.06
2025-08-19 14:50:00,16424.25,16409.6,16433.51,16405.47,-0.1,-15.92,163803,204097179.0,0.17,0.08
2025-08-19 14:55:00,16408.68,16414.91,16422.71,16401.12,0.03,5.31,241555,300264281.0,0.13,0.11
2025-08-19 15:00:00,16412.72,16415.92,16419.7,16406.77,0.01,1.01,252478,317661468.0,0.08,0.12
2025-08-20 09:35:00,16379.71,16428.02,16435.54,16345.72,0.07,12.1,811864,978604119.0,0.55,0.37
2025-08-20 09:40:00,16424.87,16397.05,16424.87,16389.89,-0.19,-30.97,345640,403584494.0,0.21,0.16
2025-08-20 09:45:00,16396.93,16420.25,16420.25,16396.93,0.14,23.2,352892,399384426.0,0.14,0.16
2025-08-20 09:50:00,16423.19,16459.35,16460.29,16423.19,0.24,39.1,311547,381711476.0,0.23,0.14
2025-08-20 09:55:00,16458.98,16438.56,16464.21,16438.56,-0.13,-20.79,288003,371311419.0,0.16,0.13
2025-08-20 10:00:00,16441.3,16412.81,16441.3,16412.41,-0.16,-25.75,320291,423497074.0,0.18,0.15
2025-08-20 10:05:00,16414.5,16419.49,16423.58,16394.88,0.04,6.68,222310,225556327.0,0.17,0.1
2025-08-20 10:10:00,16420.09,16441.42,16446.95,16415.86,0.13,21.93,259418,268188197.0,0.19,0.12
2025-08-20 10:15:00,16444.39,16435.16,16448.99,16431.77,-0.04,-6.26,232266,194317756.0,0.1,0.11
2025-08-20 10:20:00,16435.85,16412.18,16439.73,16411.28,-0.14,-22.98,147838,145824779.0,0.17,0.07
2025-08-20 10:25:00,16412.26,16396.23,16412.73,16392.65,-0.1,-15.95,176141,176248063.0,0.12,0.08
2025-08-20 10:30:00,16394.64,16408.96,16412.34,16389.93,0.08,12.73,140124,146206337.0,0.14,0.06
2025-08-20 10:35:00,16410.48,16422.07,16430.63,16409.83,0.08,13.11,119115,144065305.0,0.13,0.05
2025-08-20 10:40:00,16422.34,16427.36,16427.36,16419.22,0.03,5.29,120763,154947974.0,0.05,0.06
2025-08-20 10:45:00,16425.68,16422.0,16426.98,16415.53,-0.03,-5.36,107810,237875117.0,0.07,0.05
2025-08-20 10:50:00,16422.22,16449.69,16452.86,16420.83,0.17,27.69,118233,166963182.0,0.2,0.05
2025-08-20 10:55:00,16448.76,16468.34,16473.92,16446.38,0.11,18.65,148964,192964991.0,0.17,0.07
2025-08-20 11:00:00,16469.63,16516.11,16516.11,16459.3,0.29,47.77,171432,232950570.0,0.34,0.08
2025-08-20 11:05:00,16513.53,16538.52,16552.41,16509.62,0.14,22.41,369154,428015251.0,0.26,0.17
2025-08-20 11:10:00,16537.16,16537.95,16542.01,16507.16,0.0,-0.57,188363,234177685.0,0.21,0.09
2025-08-20 11:15:00,16541.47,16596.69,16599.37,16541.47,0.36,58.74,401637,474120882.0,0.35,0.18
2025-08-20 11:20:00,16600.98,16550.01,16600.98,16534.97,-0.28,-46.68,255775,276702875.0,0.4,0.12
2025-08-20 11:25:00,16550.35,16593.38,16611.5,16545.52,0.26,43.37,306017,331818064.0,0.4,0.14
