日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,21062.81,21043.04,21090.41,21011.3,-0.07,-15.1,3825645,4431953728.0,0.38,0.26
2025-08-19 09:40:00,21043.95,21051.38,21102.81,21036.1,0.04,8.34,2198004,2430444272.0,0.32,0.15
2025-08-19 09:45:00,21047.85,21033.73,21065.0,21030.87,-0.08,-17.65,1500143,1648295049.0,0.16,0.1
2025-08-19 09:50:00,21040.75,21030.65,21053.54,21023.05,-0.01,-3.08,1289623,1422025642.0,0.14,0.09
2025-08-19 09:55:00,21025.58,21075.37,21076.21,21025.58,0.21,44.72,1351126,1385312867.0,0.24,0.09
2025-08-19 10:00:00,21069.15,21015.84,21092.09,21015.84,-0.28,-59.53,1134732,1282829335.0,0.36,0.08
2025-08-19 10:05:00,21010.92,20915.53,21018.98,20915.53,-0.48,-100.31,1326754,1427643749.0,0.49,0.09
2025-08-19 10:10:00,20914.26,20964.03,20978.94,20876.22,0.23,48.5,1285753,1236291383.0,0.49,0.09
2025-08-19 10:15:00,20966.0,20927.03,20966.0,20927.03,-0.18,-37.0,651166,740029117.0,0.19,0.04
2025-08-19 10:20:00,20928.93,20905.84,20937.89,20904.12,-0.1,-21.19,674307,781845006.0,0.16,0.05
2025-08-19 10:25:00,20903.4,20893.83,20904.85,20887.84,-0.06,-12.01,877110,795483487.0,0.08,0.06
2025-08-19 10:30:00,20894.7,20943.87,20948.83,20894.7,0.24,50.04,595869,610958158.0,0.26,0.04
2025-08-19 10:35:00,20937.86,20947.11,20952.42,20926.64,0.02,3.24,528706,541182030.0,0.12,0.04
2025-08-19 10:40:00,20947.99,20961.61,20961.76,20947.99,0.07,14.5,471527,507835916.0,0.07,0.03
2025-08-19 10:45:00,20958.94,20945.59,20958.94,20937.4,-0.08,-16.02,470610,510081455.0,0.1,0.03
2025-08-19 10:50:00,20943.54,20957.31,20958.04,20936.41,0.06,11.72,533818,520119373.0,0.1,0.04
2025-08-19 10:55:00,20955.61,20962.02,20966.02,20953.24,0.02,4.71,544876,505635854.0,0.06,0.04
2025-08-19 11:00:00,20960.58,20956.66,20976.06,20955.19,-0.03,-5.36,615180,567466842.0,0.1,0.04
2025-08-19 11:05:00,20956.86,21020.51,21021.56,20956.18,0.3,63.85,745344,706715912.0,0.31,0.05
2025-08-19 11:10:00,21018.17,21042.8,21051.98,21014.36,0.11,22.29,789814,606717880.0,0.18,0.05
2025-08-19 11:15:00,21043.06,21103.69,21103.69,21043.06,0.29,60.89,609838,540827079.0,0.29,0.04
2025-08-19 11:20:00,21103.95,21110.12,21121.66,21094.18,0.03,6.43,679617,645355404.0,0.13,0.05
2025-08-19 11:25:00,21110.02,21152.99,21170.58,21108.01,0.2,42.87,744334,767002861.0,0.3,0.05
2025-08-19 11:30:00,21153.89,21112.31,21160.99,21111.63,-0.19,-40.68,613717,680392340.0,0.23,0.04
2025-08-19 13:05:00,21112.31,21129.83,21130.62,21094.77,0.08,17.52,862090,927713174.0,0.17,0.06
2025-08-19 13:10:00,21131.5,21127.5,21159.53,21115.68,-0.01,-2.33,556072,607747309.0,0.21,0.04
2025-08-19 13:15:00,21129.17,21104.82,21134.65,21103.58,-0.11,-22.68,542592,526103567.0,0.15,0.04
2025-08-19 13:20:00,21106.26,21088.66,21120.76,21083.72,-0.08,-16.16,490150,508556422.0,0.18,0.03
2025-08-19 13:25:00,21090.13,21078.81,21097.05,21078.01,-0.05,-9.85,503352,554145986.0,0.09,0.03
2025-08-19 13:30:00,21075.98,21061.69,21079.74,21055.18,-0.08,-17.12,585167,677414798.0,0.12,0.04
2025-08-19 13:35:00,21061.47,21003.55,21067.09,21002.0,-0.28,-58.14,743869,789504055.0,0.31,0.05
2025-08-19 13:40:00,21002.49,21027.47,21035.55,20996.87,0.11,23.92,961226,728526994.0,0.18,0.07
2025-08-19 13:45:00,21027.05,21019.02,21027.06,21006.64,-0.04,-8.45,622854,572740273.0,0.1,0.04
2025-08-19 13:50:00,21016.83,20995.1,21018.96,20988.62,-0.11,-23.92,942391,742648126.0,0.14,0.07
2025-08-19 13:55:00,20996.4,20965.21,20996.4,20948.8,-0.14,-29.89,844018,751602060.0,0.23,0.06
2025-08-19 14:00:00,20968.03,20954.05,20981.86,20952.68,-0.05,-11.16,582596,569673319.0,0.14,0.04
2025-08-19 14:05:00,20954.65,21029.1,21029.1,20947.2,0.36,75.05,638099,592642489.0,0.39,0.04
2025-08-19 14:10:00,21027.93,21040.08,21061.68,21027.93,0.05,10.98,691534,610054429.0,0.16,0.05
2025-08-19 14:15:00,21039.03,21022.53,21039.03,21014.37,-0.08,-17.55,626228,594078743.0,0.12,0.04
2025-08-19 14:20:00,21023.31,21011.62,21039.22,21011.62,-0.05,-10.91,671095,615014650.0,0.13,0.05
2025-08-19 14:25:00,21012.28,20987.26,21012.28,20984.34,-0.12,-24.36,698020,658403120.0,0.13,0.05
2025-08-19 14:30:00,20990.31,20978.16,20990.31,20954.31,-0.04,-9.1,819927,830423695.0,0.17,0.06
2025-08-19 14:35:00,20979.02,21020.91,21026.06,20979.02,0.2,42.75,622588,599027461.0,0.22,0.04
2025-08-19 14:40:00,21021.67,21033.95,21042.92,21019.81,0.06,13.04,625075,564128527.0,0.11,0.04
2025-08-19 14:45:00,21035.81,21046.63,21050.29,21022.63,0.06,12.68,788310,763563330.0,0.13,0.05
2025-08-19 14:50:00,21047.6,21045.45,21053.78,21038.81,-0.01,-1.18,925799,901045705.0,0.07,0.06
2025-08-19 14:55:00,21042.11,21038.42,21048.55,21033.65,-0.03,-7.03,951208,1055211436.0,0.07,0.07
2025-08-19 15:00:00,21042.7,21055.5,21058.14,21038.55,0.08,17.08,1119027,1104912618.0,0.09,0.08
2025-08-20 09:35:00,20965.05,21058.44,21065.04,20927.16,0.01,2.94,3519982,3506601568.0,0.65,0.24
2025-08-20 09:40:00,21057.14,21215.45,21236.32,21052.02,0.75,157.01,3705364,3835723552.0,0.88,0.26
2025-08-20 09:45:00,21213.78,21189.8,21252.48,21189.8,-0.12,-25.65,1987822,1881838608.0,0.3,0.14
2025-08-20 09:50:00,21191.59,21276.41,21278.86,21191.59,0.41,86.61,1916417,2031344336.0,0.41,0.13
2025-08-20 09:55:00,21272.09,21393.01,21393.01,21270.56,0.55,116.6,2401251,2233125952.0,0.58,0.17
2025-08-20 10:00:00,21393.0,21413.4,21415.62,21344.25,0.1,20.39,1991407,2226002144.0,0.33,0.14
2025-08-20 10:05:00,21412.78,21354.01,21420.0,21354.01,-0.28,-59.39,1672640,1799770672.0,0.31,0.12
2025-08-20 10:10:00,21348.54,21362.0,21369.16,21316.49,0.04,7.99,1175102,1315817553.0,0.25,0.08
2025-08-20 10:15:00,21363.6,21351.94,21368.94,21321.37,-0.05,-10.06,893144,969399829.0,0.22,0.06
2025-08-20 10:20:00,21350.51,21332.24,21360.91,21324.74,-0.09,-19.7,870879,822408917.0,0.17,0.06
2025-08-20 10:25:00,21331.27,21325.46,21350.68,21322.34,-0.03,-6.78,856900,712529483.0,0.13,0.06
2025-08-20 10:30:00,21323.35,21360.97,21374.3,21323.27,0.17,35.51,810847,769356715.0,0.24,0.06
2025-08-20 10:35:00,21364.71,21389.57,21394.45,21362.9,0.13,28.6,753146,713494645.0,0.15,0.05
2025-08-20 10:40:00,21388.39,21375.32,21396.28,21362.29,-0.07,-14.25,731338,658990962.0,0.16,0.05
2025-08-20 10:45:00,21373.17,21398.98,21402.14,21372.86,0.11,23.66,1002704,767342147.0,0.14,0.07
2025-08-20 10:50:00,21396.77,21397.23,21411.19,21387.2,-0.01,-1.75,806688,717357433.0,0.11,0.06
2025-08-20 10:55:00,21396.96,21376.14,21421.61,21375.51,-0.1,-21.09,620865,615962835.0,0.22,0.04
2025-08-20 11:00:00,21376.19,21347.72,21376.19,21347.72,-0.13,-28.42,589530,554266638.0,0.13,0.04
2025-08-20 11:05:00,21349.25,21348.12,21349.25,21319.84,0.0,0.4,728930,691397978.0,0.14,0.05
2025-08-20 11:10:00,21349.41,21334.61,21351.9,21318.58,-0.06,-13.51,490906,492732761.0,0.16,0.03
2025-08-20 11:15:00,21334.14,21315.43,21337.99,21310.72,-0.09,-19.18,471608,412230836.0,0.13,0.03
2025-08-20 11:20:00,21316.98,21254.35,21316.98,21249.03,-0.29,-61.08,751200,690946494.0,0.32,0.05
2025-08-20 11:25:00,21253.59,21220.24,21269.51,21220.24,-0.16,-34.11,490703,496110397.0,0.23,0.03
2025-08-20 11:30:00,21220.07,21229.91,21230.91,21166.32,0.05,9.67,749921,702600863.0,0.3,0.05
2025-08-20 13:05:00,21229.91,21230.14,21255.15,21229.42,0.0,0.23,766013,719456891.0,0.12,0.05
2025-08-20 13:10:00,21230.81,21206.82,21234.27,21194.5,-0.11,-23.32,596498,552876386.0,0.19,0.04
2025-08-20 13:15:00,21206.77,21239.46,21253.05,21206.15,0.15,32.64,451109,480839237.0,0.22,0.03
2025-08-20 13:20:00,21240.72,21258.96,21261.1,21227.14,0.09,19.5,486872,493382028.0,0.16,0.03
2025-08-20 13:25:00,21258.46,21277.76,21278.13,21258.46,0.09,18.8,409611,456296656.0,0.09,0.03
2025-08-20 13:30:00,21276.97,21274.93,21279.12,21261.61,-0.01,-2.83,428044,512407871.0,0.08,0.03
2025-08-20 13:35:00,21272.48,21279.74,21280.22,21269.74,0.02,4.81,336623,383739095.0,0.05,0.02
2025-08-20 13:40:00,21278.81,21286.3,21295.28,21277.99,0.03,6.56,365578,396022210.0,0.08,0.03
2025-08-20 13:45:00,21287.97,21263.41,21290.58,21260.2,-0.11,-22.89,411181,440621623.0,0.14,0.03
