日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1776.87,1783.55,1783.55,1775.17,0.43,7.61,1088019,1615231477.0,0.47,0.13
2025-08-19 09:40:00,1783.5,1784.93,1785.76,1782.98,0.08,1.38,657849,1509509821.0,0.16,0.08
2025-08-19 09:45:00,1784.75,1781.88,1784.77,1780.32,-0.17,-3.05,550145,1024190637.0,0.25,0.07
2025-08-19 09:50:00,1782.01,1779.71,1782.2,1779.71,-0.12,-2.17,397503,842262389.0,0.14,0.05
2025-08-19 09:55:00,1779.73,1780.92,1782.11,1779.73,0.07,1.21,404769,737245261.0,0.13,0.05
2025-08-19 10:00:00,1780.76,1777.71,1781.38,1777.52,-0.18,-3.21,388746,541465775.0,0.22,0.05
2025-08-19 10:05:00,1777.31,1772.29,1777.82,1772.18,-0.3,-5.42,562093,949516323.0,0.32,0.07
2025-08-19 10:10:00,1771.9,1774.31,1774.69,1769.02,0.11,2.02,587782,898017040.0,0.32,0.07
2025-08-19 10:15:00,1774.02,1772.51,1774.48,1772.28,-0.1,-1.8,228341,474122658.0,0.12,0.03
2025-08-19 10:20:00,1772.92,1772.97,1774.43,1772.29,0.03,0.46,235027,390292079.0,0.12,0.03
2025-08-19 10:25:00,1772.74,1771.67,1773.06,1771.06,-0.07,-1.3,211692,323956995.0,0.11,0.03
2025-08-19 10:30:00,1771.6,1775.42,1775.45,1770.83,0.21,3.75,341635,377944896.0,0.26,0.04
2025-08-19 10:35:00,1775.82,1775.74,1776.42,1774.12,0.02,0.32,202913,284066578.0,0.13,0.02
2025-08-19 10:40:00,1776.0,1776.95,1777.53,1775.75,0.07,1.21,144697,248980998.0,0.1,0.02
2025-08-19 10:45:00,1776.98,1778.07,1778.07,1776.5,0.06,1.12,231154,275978771.0,0.09,0.03
2025-08-19 10:50:00,1777.92,1775.92,1778.29,1775.75,-0.12,-2.15,197059,295375699.0,0.14,0.02
2025-08-19 10:55:00,1776.24,1776.85,1777.27,1775.19,0.05,0.93,245506,258091935.0,0.12,0.03
2025-08-19 11:00:00,1776.76,1777.17,1777.85,1776.35,0.02,0.32,197831,316714315.0,0.08,0.02
2025-08-19 11:05:00,1777.09,1779.69,1780.66,1776.42,0.14,2.52,202063,279009833.0,0.24,0.02
2025-08-19 11:10:00,1780.25,1779.97,1780.25,1778.55,0.02,0.28,140704,223519373.0,0.1,0.02
2025-08-19 11:15:00,1779.96,1781.51,1782.49,1779.74,0.09,1.54,156322,285892993.0,0.15,0.02
2025-08-19 11:20:00,1781.36,1781.15,1782.4,1780.76,-0.02,-0.36,134913,201133472.0,0.09,0.02
2025-08-19 11:25:00,1781.14,1781.07,1782.06,1780.87,0.0,-0.08,101859,167156833.0,0.07,0.01
2025-08-19 11:30:00,1781.56,1782.71,1783.02,1781.24,0.09,1.64,165852,234705494.0,0.1,0.02
2025-08-19 13:05:00,1782.71,1784.15,1784.44,1781.67,0.08,1.44,324852,525797003.0,0.16,0.04
2025-08-19 13:10:00,1783.82,1783.93,1784.95,1782.83,-0.01,-0.22,276244,456932839.0,0.12,0.03
2025-08-19 13:15:00,1783.78,1782.77,1784.76,1782.37,-0.07,-1.16,223856,304142590.0,0.13,0.03
2025-08-19 13:20:00,1782.5,1782.8,1784.11,1781.88,0.0,0.03,159459,264030857.0,0.13,0.02
2025-08-19 13:25:00,1783.08,1782.18,1783.61,1782.18,-0.03,-0.62,131283,212745706.0,0.08,0.02
2025-08-19 13:30:00,1782.26,1781.48,1782.64,1780.21,-0.04,-0.7,147179,290897041.0,0.14,0.02
2025-08-19 13:35:00,1781.6,1782.57,1783.09,1780.96,0.06,1.09,371188,1420795870.0,0.12,0.04
2025-08-19 13:40:00,1782.6,1782.69,1783.27,1781.65,0.01,0.12,224522,638324100.0,0.09,0.03
2025-08-19 13:45:00,1782.56,1780.98,1783.04,1780.74,-0.1,-1.71,144279,337898871.0,0.13,0.02
2025-08-19 13:50:00,1781.29,1779.59,1781.63,1779.13,-0.08,-1.39,249027,440687650.0,0.14,0.03
2025-08-19 13:55:00,1779.78,1778.06,1779.99,1776.73,-0.09,-1.53,255746,493392492.0,0.18,0.03
2025-08-19 14:00:00,1778.12,1777.36,1779.18,1777.03,-0.04,-0.7,153798,313599259.0,0.12,0.02
2025-08-19 14:05:00,1777.06,1780.31,1780.31,1777.01,0.17,2.95,176060,301683796.0,0.19,0.02
2025-08-19 14:10:00,1780.26,1779.45,1780.83,1779.45,-0.05,-0.86,120466,245162782.0,0.08,0.01
2025-08-19 14:15:00,1779.71,1779.12,1779.91,1778.56,-0.02,-0.33,117172,225894842.0,0.08,0.01
2025-08-19 14:20:00,1778.97,1778.04,1779.73,1778.04,-0.06,-1.08,133382,273526109.0,0.09,0.02
2025-08-19 14:25:00,1778.17,1776.92,1778.23,1776.51,-0.06,-1.12,228722,368142287.0,0.1,0.03
2025-08-19 14:30:00,1776.79,1776.63,1777.14,1774.78,-0.02,-0.29,244216,436173913.0,0.13,0.03
2025-08-19 14:35:00,1776.01,1778.78,1779.07,1776.01,0.12,2.15,194228,282466387.0,0.17,0.02
2025-08-19 14:40:00,1778.75,1778.53,1779.65,1778.08,-0.01,-0.25,102475,206319893.0,0.09,0.01
2025-08-19 14:45:00,1778.27,1778.93,1779.22,1777.96,0.02,0.4,148983,282006504.0,0.07,0.02
2025-08-19 14:50:00,1778.5,1778.89,1779.52,1777.98,0.0,-0.04,185343,382825439.0,0.09,0.02
2025-08-19 14:55:00,1778.71,1778.86,1779.43,1777.83,0.0,-0.03,279584,544670558.0,0.09,0.03
2025-08-19 15:00:00,1778.84,1779.32,1779.45,1778.19,0.03,0.46,283074,565635668.0,0.07,0.03
2025-08-20 09:35:00,1780.22,1775.47,1781.17,1773.39,-0.22,-3.85,1041852,1793028028.0,0.44,0.12
2025-08-20 09:40:00,1775.73,1777.74,1778.76,1774.5,0.13,2.27,515427,953711200.0,0.24,0.06
2025-08-20 09:45:00,1777.36,1781.37,1783.85,1777.03,0.2,3.63,443186,714238423.0,0.38,0.05
2025-08-20 09:50:00,1781.92,1784.1,1785.84,1781.45,0.15,2.73,412082,638341520.0,0.25,0.05
2025-08-20 09:55:00,1784.32,1784.15,1785.32,1782.66,0.0,0.05,313510,505042118.0,0.15,0.04
2025-08-20 10:00:00,1783.7,1783.2,1784.26,1781.01,-0.05,-0.95,332666,537435564.0,0.18,0.04
2025-08-20 10:05:00,1783.22,1782.25,1784.5,1782.19,-0.05,-0.95,291351,538971695.0,0.13,0.03
2025-08-20 10:10:00,1782.54,1781.66,1783.49,1781.27,-0.03,-0.59,355969,558655405.0,0.12,0.04
2025-08-20 10:15:00,1782.52,1782.59,1783.11,1780.3,0.05,0.93,239477,470573444.0,0.16,0.03
2025-08-20 10:20:00,1782.54,1782.8,1783.33,1781.67,0.01,0.21,217782,410398833.0,0.09,0.03
2025-08-20 10:25:00,1782.89,1781.91,1782.96,1781.24,-0.05,-0.89,241363,411890205.0,0.1,0.03
2025-08-20 10:30:00,1782.21,1785.63,1785.63,1781.68,0.21,3.72,313889,463726935.0,0.22,0.04
2025-08-20 10:35:00,1785.66,1789.05,1789.83,1785.66,0.19,3.42,395058,676582932.0,0.23,0.05
2025-08-20 10:40:00,1788.92,1789.21,1792.14,1788.84,0.01,0.16,441674,689089828.0,0.18,0.05
2025-08-20 10:45:00,1789.67,1790.6,1793.11,1789.3,0.08,1.39,385237,800400032.0,0.21,0.05
2025-08-20 10:50:00,1790.91,1792.14,1792.14,1789.86,0.09,1.54,179796,298738196.0,0.13,0.02
2025-08-20 10:55:00,1791.89,1792.24,1792.52,1790.86,0.01,0.1,282685,387276711.0,0.09,0.03
2025-08-20 11:00:00,1791.96,1794.87,1795.59,1791.88,0.15,2.63,414051,576240303.0,0.21,0.05
2025-08-20 11:05:00,1794.45,1793.72,1794.6,1791.49,-0.06,-1.15,265414,437169801.0,0.17,0.03
2025-08-20 11:10:00,1793.39,1794.04,1796.13,1793.39,0.02,0.32,352355,511234918.0,0.15,0.04
2025-08-20 11:15:00,1794.13,1791.05,1794.33,1790.66,-0.17,-2.99,192332,262835559.0,0.2,0.02
2025-08-20 11:20:00,1790.47,1786.76,1790.81,1786.09,-0.24,-4.29,310811,455277929.0,0.26,0.04
2025-08-20 11:25:00,1787.21,1782.73,1788.59,1782.73,-0.23,-4.03,255603,317638617.0,0.33,0.03
