日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,11063.8,11044.67,11071.49,11041.61,-0.26,-28.3,743756,874748401.0,0.27,0.07
2025-08-19 09:40:00,11046.28,11063.95,11069.74,11041.01,0.17,19.28,466570,520952045.0,0.26,0.04
2025-08-19 09:45:00,11064.51,11087.61,11104.22,11057.83,0.21,23.66,525268,459246792.0,0.42,0.05
2025-08-19 09:50:00,11088.94,11070.74,11094.51,11070.61,-0.15,-16.87,356361,329644319.0,0.22,0.03
2025-08-19 09:55:00,11070.93,11079.88,11082.84,11066.35,0.08,9.14,233128,254155724.0,0.15,0.02
2025-08-19 10:00:00,11081.73,11085.89,11105.4,11077.93,0.05,6.01,257007,235199510.0,0.25,0.02
2025-08-19 10:05:00,11083.64,11068.49,11092.89,11066.61,-0.16,-17.4,245023,228415952.0,0.24,0.02
2025-08-19 10:10:00,11068.55,11065.78,11071.44,11058.49,-0.02,-2.71,267352,276104886.0,0.12,0.03
2025-08-19 10:15:00,11071.17,11067.58,11072.52,11062.84,0.02,1.8,149668,157409709.0,0.09,0.01
2025-08-19 10:20:00,11070.07,11064.62,11072.71,11063.18,-0.03,-2.96,206046,161874767.0,0.09,0.02
2025-08-19 10:25:00,11062.14,11052.12,11064.55,11050.44,-0.11,-12.5,226830,232382032.0,0.13,0.02
2025-08-19 10:30:00,11057.44,11066.1,11067.11,11047.75,0.13,13.98,178626,170831688.0,0.18,0.02
2025-08-19 10:35:00,11064.7,11071.1,11074.79,11064.5,0.05,5.0,125203,121052886.0,0.09,0.01
2025-08-19 10:40:00,11074.12,11081.1,11081.93,11071.98,0.09,10.0,158514,134020148.0,0.09,0.02
2025-08-19 10:45:00,11080.03,11075.37,11080.2,11067.94,-0.05,-5.73,108343,106298133.0,0.11,0.01
2025-08-19 10:50:00,11074.04,11075.92,11078.92,11067.37,0.0,0.55,109510,99214503.0,0.1,0.01
2025-08-19 10:55:00,11076.24,11066.4,11076.24,11064.78,-0.09,-9.52,89919,82711221.0,0.1,0.01
2025-08-19 11:00:00,11068.58,11062.99,11072.38,11059.13,-0.03,-3.41,106279,106150831.0,0.12,0.01
2025-08-19 11:05:00,11066.13,11072.72,11074.67,11060.55,0.09,9.73,85863,83032804.0,0.13,0.01
2025-08-19 11:10:00,11071.26,11072.76,11077.71,11064.56,0.0,0.04,88951,99420653.0,0.12,0.01
2025-08-19 11:15:00,11074.72,11081.59,11082.71,11070.06,0.08,8.83,95656,92190128.0,0.11,0.01
2025-08-19 11:20:00,11079.39,11079.76,11089.0,11072.04,-0.02,-1.83,120329,107190425.0,0.15,0.01
2025-08-19 11:25:00,11080.33,11082.08,11084.67,11074.89,0.02,2.32,103991,103143038.0,0.09,0.01
2025-08-19 11:30:00,11082.7,11076.62,11087.34,11071.97,-0.05,-5.46,111259,123382550.0,0.14,0.01
2025-08-19 13:05:00,11076.62,11077.85,11083.15,11069.95,0.01,1.23,174453,178069000.0,0.12,0.02
