日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1756.67,1747.45,1756.67,1746.92,-0.61,-10.81,650249,600661239.0,0.55,0.22
2025-08-19 09:40:00,1748.11,1747.4,1748.11,1745.55,0.0,-0.05,363977,340928189.0,0.15,0.12
2025-08-19 09:45:00,1747.41,1748.88,1751.13,1747.23,0.08,1.48,300651,261162555.0,0.22,0.1
2025-08-19 09:50:00,1748.28,1746.46,1749.62,1746.32,-0.14,-2.42,234796,201769348.0,0.19,0.08
2025-08-19 09:55:00,1746.52,1746.07,1747.84,1745.67,-0.02,-0.39,170584,171769491.0,0.12,0.06
2025-08-19 10:00:00,1745.85,1746.09,1746.93,1744.81,0.0,0.02,190074,172859052.0,0.12,0.06
2025-08-19 10:05:00,1745.5,1739.01,1745.6,1739.01,-0.41,-7.08,216222,207534040.0,0.38,0.07
2025-08-19 10:10:00,1739.1,1738.71,1739.4,1736.65,-0.02,-0.3,207849,204207928.0,0.16,0.07
2025-08-19 10:15:00,1738.79,1741.17,1741.59,1738.66,0.14,2.46,132629,135337301.0,0.17,0.04
2025-08-19 10:20:00,1741.08,1739.39,1741.92,1739.11,-0.1,-1.78,132773,137568866.0,0.16,0.04
2025-08-19 10:25:00,1739.53,1738.67,1739.82,1738.1,-0.04,-0.72,115641,132174204.0,0.1,0.04
2025-08-19 10:30:00,1738.65,1743.26,1743.26,1738.44,0.26,4.59,121704,123389002.0,0.28,0.04
2025-08-19 10:35:00,1743.14,1747.59,1747.77,1742.98,0.25,4.33,128940,129150955.0,0.27,0.04
2025-08-19 10:40:00,1747.52,1747.74,1748.81,1746.73,0.01,0.15,71564,72189920.0,0.12,0.02
2025-08-19 10:45:00,1747.78,1747.07,1748.11,1746.88,-0.04,-0.67,80458,70924024.0,0.07,0.03
2025-08-19 10:50:00,1747.26,1748.2,1748.78,1747.26,0.06,1.13,60638,60537598.0,0.09,0.02
2025-08-19 10:55:00,1748.1,1749.05,1749.84,1748.1,0.05,0.85,67991,77563325.0,0.1,0.02
2025-08-19 11:00:00,1749.05,1749.64,1750.95,1748.64,0.03,0.59,95808,81893711.0,0.13,0.03
2025-08-19 11:05:00,1749.7,1751.88,1752.43,1749.08,0.13,2.24,61001,56824359.0,0.19,0.02
2025-08-19 11:10:00,1752.07,1752.31,1752.65,1750.63,0.02,0.43,60707,51296346.0,0.12,0.02
2025-08-19 11:15:00,1752.23,1751.88,1753.37,1751.35,-0.02,-0.43,87601,67605172.0,0.12,0.03
2025-08-19 11:20:00,1752.67,1753.42,1753.83,1751.83,0.09,1.54,86856,77180966.0,0.11,0.03
2025-08-19 11:25:00,1753.39,1753.25,1753.74,1751.98,-0.01,-0.17,73747,62571142.0,0.1,0.02
2025-08-19 11:30:00,1753.29,1756.2,1756.21,1753.13,0.17,2.95,88661,79931698.0,0.18,0.03
2025-08-19 13:05:00,1756.2,1761.46,1761.73,1756.1,0.3,5.26,201838,181005518.0,0.32,0.07
2025-08-19 13:10:00,1761.13,1764.38,1764.7,1760.49,0.17,2.92,119489,125055516.0,0.24,0.04
2025-08-19 13:15:00,1764.76,1761.21,1765.09,1760.86,-0.18,-3.17,103141,94407572.0,0.24,0.03
2025-08-19 13:20:00,1761.27,1760.83,1762.39,1760.44,-0.02,-0.38,130372,101921474.0,0.11,0.04
2025-08-19 13:25:00,1761.1,1761.06,1762.56,1760.83,0.01,0.23,109116,94706427.0,0.1,0.04
2025-08-19 13:30:00,1760.98,1759.65,1761.16,1759.05,-0.08,-1.41,119732,95141353.0,0.12,0.04
2025-08-19 13:35:00,1759.57,1755.53,1759.81,1755.15,-0.23,-4.12,95341,81051274.0,0.26,0.03
2025-08-19 13:40:00,1755.78,1755.14,1756.25,1753.74,-0.02,-0.39,128065,93086503.0,0.14,0.04
2025-08-19 13:45:00,1755.39,1755.57,1756.19,1753.98,0.02,0.43,73085,58409407.0,0.13,0.02
2025-08-19 13:50:00,1755.62,1753.08,1755.78,1752.78,-0.14,-2.49,108766,86286195.0,0.17,0.04
2025-08-19 13:55:00,1753.18,1750.45,1753.62,1749.04,-0.15,-2.63,92563,77417710.0,0.26,0.03
