日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,7756.8,7729.13,7756.8,7725.83,-0.15,-11.4,993576,939647111.0,0.4,0.11
2025-08-19 09:40:00,7728.13,7729.12,7734.99,7725.9,0.0,-0.01,476756,462378654.0,0.12,0.05
2025-08-19 09:45:00,7731.12,7738.98,7741.65,7729.01,0.13,9.86,449756,397013285.0,0.16,0.05
2025-08-19 09:50:00,7738.98,7735.81,7740.99,7733.1,-0.04,-3.17,368753,325416722.0,0.1,0.04
2025-08-19 09:55:00,7736.59,7744.8,7745.82,7735.58,0.12,8.99,403148,369803852.0,0.13,0.05
2025-08-19 10:00:00,7745.0,7740.55,7749.43,7739.0,-0.05,-4.25,325586,280735782.0,0.13,0.04
2025-08-19 10:05:00,7740.33,7710.08,7740.68,7710.08,-0.39,-30.47,489493,418955058.0,0.4,0.06
2025-08-19 10:10:00,7709.98,7719.85,7721.91,7699.5,0.13,9.77,465746,413882171.0,0.29,0.05
2025-08-19 10:15:00,7719.73,7724.61,7729.15,7719.14,0.06,4.76,239371,236748341.0,0.13,0.03
2025-08-19 10:20:00,7724.09,7726.56,7731.07,7724.09,0.03,1.95,260600,252466331.0,0.09,0.03
2025-08-19 10:25:00,7725.99,7725.35,7728.43,7724.04,-0.02,-1.21,239107,225383887.0,0.06,0.03
2025-08-19 10:30:00,7726.04,7743.72,7743.72,7725.27,0.24,18.37,195723,185278746.0,0.24,0.02
2025-08-19 10:35:00,7742.65,7749.31,7750.58,7742.65,0.07,5.59,213633,191545714.0,0.1,0.02
2025-08-19 10:40:00,7749.89,7751.88,7755.17,7748.75,0.03,2.57,174024,170402098.0,0.08,0.02
2025-08-19 10:45:00,7750.94,7750.41,7752.88,7748.91,-0.02,-1.47,205970,187250990.0,0.05,0.02
2025-08-19 10:50:00,7751.76,7755.42,7756.95,7750.5,0.06,5.01,182462,173525319.0,0.08,0.02
