日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,506.76,504.69,506.92,503.86,-0.4,-2.02,1908565,2258908137.0,0.6,0.26
2025-08-19 09:40:00,504.66,506.27,506.43,504.52,0.31,1.58,1157370,1352420936.0,0.38,0.16
2025-08-19 09:45:00,506.31,507.0,507.25,505.98,0.14,0.73,955177,980046856.0,0.25,0.13
2025-08-19 09:50:00,507.04,507.45,507.72,506.96,0.09,0.45,654289,691045650.0,0.15,0.09
2025-08-19 09:55:00,507.5,508.2,508.31,507.49,0.15,0.75,634863,780457056.0,0.16,0.09
2025-08-19 10:00:00,508.22,507.56,508.22,507.48,-0.13,-0.64,598281,642501087.0,0.15,0.08
2025-08-19 10:05:00,507.53,505.81,507.58,505.78,-0.34,-1.75,736279,706325530.0,0.35,0.1
2025-08-19 10:10:00,505.8,506.27,506.31,504.91,0.09,0.46,717918,720748691.0,0.28,0.1
2025-08-19 10:15:00,506.17,506.17,506.52,505.98,-0.02,-0.1,443153,501674687.0,0.11,0.06
2025-08-19 10:20:00,506.18,505.55,506.41,505.49,-0.12,-0.62,461431,424922261.0,0.18,0.06
2025-08-19 10:25:00,505.53,505.36,505.72,505.29,-0.04,-0.19,354623,341111141.0,0.09,0.05
2025-08-19 10:30:00,505.41,506.74,506.81,505.41,0.27,1.38,350131,394797295.0,0.28,0.05
2025-08-19 10:35:00,506.8,508.06,508.11,506.8,0.26,1.32,484420,424093401.0,0.26,0.07
2025-08-19 10:40:00,508.03,508.31,508.31,507.98,0.05,0.25,315198,319558475.0,0.06,0.04
2025-08-19 10:45:00,508.24,508.02,508.4,507.94,-0.06,-0.29,278579,285469663.0,0.09,0.04
2025-08-19 10:50:00,508.07,508.63,508.66,507.99,0.12,0.61,305681,287803106.0,0.13,0.04
2025-08-19 10:55:00,508.61,509.32,509.4,508.61,0.14,0.69,389273,315403232.0,0.16,0.05
2025-08-19 11:00:00,509.35,509.48,509.91,509.19,0.03,0.16,386834,299762838.0,0.14,0.05
2025-08-19 11:05:00,509.49,510.09,510.22,509.43,0.12,0.61,296419,302563125.0,0.16,0.04
2025-08-19 11:10:00,510.08,510.48,510.52,509.93,0.08,0.39,204422,223009968.0,0.12,0.03
2025-08-19 11:15:00,510.56,510.63,510.71,510.35,0.03,0.15,435696,375696883.0,0.07,0.06
2025-08-19 11:20:00,510.64,510.63,510.82,510.53,0.0,0.0,228958,211023962.0,0.06,0.03
2025-08-19 11:25:00,510.62,510.99,511.11,510.56,0.07,0.36,263175,383395098.0,0.11,0.04
2025-08-19 11:30:00,511.03,510.85,511.13,510.84,-0.03,-0.14,266600,270977430.0,0.06,0.04
2025-08-19 13:05:00,510.85,511.5,511.55,510.85,0.13,0.65,456820,497727320.0,0.14,0.06
2025-08-19 13:10:00,511.47,511.91,512.0,511.2,0.08,0.41,265790,288661611.0,0.16,0.04
2025-08-19 13:15:00,511.91,511.74,511.98,511.63,-0.03,-0.17,293227,310747156.0,0.07,0.04
2025-08-19 13:20:00,511.68,512.03,512.14,511.58,0.06,0.29,307982,328791110.0,0.11,0.04
2025-08-19 13:25:00,512.02,512.16,512.31,512.02,0.03,0.13,383513,434304440.0,0.06,0.05
2025-08-19 13:30:00,512.19,511.68,512.27,511.65,-0.09,-0.48,302027,329342346.0,0.12,0.04
2025-08-19 13:35:00,511.72,510.55,511.84,510.55,-0.22,-1.13,374096,342923098.0,0.25,0.05
2025-08-19 13:40:00,510.51,510.66,510.86,510.27,0.02,0.11,259643,334124165.0,0.12,0.04
2025-08-19 13:45:00,510.64,510.35,510.64,510.27,-0.06,-0.31,228674,261287447.0,0.07,0.03
2025-08-19 13:50:00,510.32,509.79,510.34,509.64,-0.11,-0.56,271624,290518928.0,0.14,0.04
2025-08-19 13:55:00,509.78,509.23,509.92,509.01,-0.11,-0.56,338038,326682414.0,0.18,0.05
2025-08-19 14:00:00,509.35,509.36,509.7,509.33,0.03,0.13,249367,250782931.0,0.07,0.03
2025-08-19 14:05:00,509.38,510.39,510.46,509.38,0.2,1.03,291844,264895832.0,0.21,0.04
2025-08-19 14:10:00,510.39,510.61,510.68,510.39,0.04,0.22,213755,189002967.0,0.06,0.03
2025-08-19 14:15:00,510.64,510.52,510.67,510.33,-0.02,-0.09,185053,191283227.0,0.07,0.03
2025-08-19 14:20:00,510.52,510.2,510.67,510.19,-0.06,-0.32,234820,227949984.0,0.09,0.03
2025-08-19 14:25:00,510.21,509.43,510.21,509.39,-0.15,-0.77,360957,354645145.0,0.16,0.05
2025-08-19 14:30:00,509.45,509.24,509.46,508.86,-0.04,-0.19,324993,371133850.0,0.12,0.04
2025-08-19 14:35:00,509.26,510.05,510.09,509.26,0.16,0.81,283120,278121768.0,0.16,0.04
2025-08-19 14:40:00,510.07,510.15,510.47,510.07,0.02,0.1,260317,241331379.0,0.08,0.04
2025-08-19 14:45:00,510.15,510.18,510.23,509.93,0.01,0.03,293502,281034108.0,0.06,0.04
2025-08-19 14:50:00,510.17,510.46,510.46,510.11,0.05,0.28,363778,370734661.0,0.07,0.05
2025-08-19 14:55:00,510.44,510.38,510.48,510.1,-0.02,-0.08,497743,488596603.0,0.07,0.07
2025-08-19 15:00:00,510.33,510.77,510.77,510.27,0.08,0.39,591090,548922706.0,0.1,0.08
2025-08-20 09:35:00,509.62,508.84,509.62,507.04,-0.38,-1.93,1669365,1989704151.0,0.51,0.23
2025-08-20 09:40:00,508.74,509.3,509.96,508.05,0.09,0.46,884322,1013617169.0,0.38,0.12
2025-08-20 09:45:00,509.27,509.05,509.77,509.05,-0.05,-0.25,955976,915001472.0,0.14,0.13
2025-08-20 09:50:00,509.09,509.35,509.35,508.55,0.06,0.3,526968,605549201.0,0.16,0.07
2025-08-20 09:55:00,509.42,509.65,509.67,509.11,0.06,0.3,837363,692684093.0,0.11,0.12
2025-08-20 10:00:00,509.63,509.71,509.83,509.16,0.01,0.06,760262,743515889.0,0.13,0.11
2025-08-20 10:05:00,509.67,509.26,509.7,508.99,-0.09,-0.45,523169,587183247.0,0.14,0.07
2025-08-20 10:10:00,509.18,508.89,509.18,508.72,-0.07,-0.37,434973,484181306.0,0.09,0.06
2025-08-20 10:15:00,508.81,509.08,509.12,508.78,0.04,0.19,465003,411699960.0,0.07,0.06
2025-08-20 10:20:00,509.02,508.86,509.14,508.58,-0.04,-0.22,406333,378915134.0,0.11,0.06
2025-08-20 10:25:00,508.79,508.4,508.79,508.34,-0.09,-0.46,396145,397272508.0,0.09,0.05
2025-08-20 10:30:00,508.45,508.72,508.86,508.34,0.06,0.32,307016,303386867.0,0.1,0.04
2025-08-20 10:35:00,508.76,509.31,509.37,508.76,0.12,0.59,331581,308806794.0,0.12,0.05
2025-08-20 10:40:00,509.35,509.27,509.71,509.19,-0.01,-0.04,439890,366163365.0,0.1,0.06
2025-08-20 10:45:00,509.27,509.23,509.31,509.03,-0.01,-0.04,235967,256333321.0,0.05,0.03
2025-08-20 10:50:00,509.25,509.29,509.36,509.11,0.01,0.06,201472,208671244.0,0.05,0.03
2025-08-20 10:55:00,509.3,509.12,509.55,509.09,-0.03,-0.17,241097,241403285.0,0.09,0.03
2025-08-20 11:00:00,509.09,508.61,509.26,508.61,-0.1,-0.51,352945,292213834.0,0.13,0.05
2025-08-20 11:05:00,508.64,508.47,508.64,508.06,-0.03,-0.14,334838,308211960.0,0.11,0.05
2025-08-20 11:10:00,508.5,508.87,508.95,508.5,0.08,0.4,327549,292971278.0,0.09,0.05
2025-08-20 11:15:00,508.9,508.85,509.07,508.65,0.0,-0.02,227330,218781031.0,0.08,0.03
2025-08-20 11:20:00,508.89,508.0,508.89,507.79,-0.17,-0.85,390128,345588503.0,0.22,0.05
2025-08-20 11:25:00,508.02,507.38,508.27,507.38,-0.12,-0.62,278537,265172161.0,0.18,0.04
2025-08-20 11:30:00,507.36,507.51,507.54,506.4,0.03,0.13,506850,455036293.0,0.22,0.07
2025-08-20 13:05:00,507.51,507.66,508.17,507.51,0.03,0.15,405123,323801580.0,0.13,0.06
2025-08-20 13:10:00,507.67,507.13,507.73,507.11,-0.1,-0.53,246474,241434942.0,0.12,0.03
2025-08-20 13:15:00,507.14,507.9,508.12,507.14,0.15,0.77,247795,221646574.0,0.19,0.03
2025-08-20 13:20:00,507.87,508.1,508.15,507.74,0.04,0.2,214689,196758373.0,0.08,0.03
2025-08-20 13:25:00,508.1,508.36,508.43,508.07,0.05,0.26,199748,211236341.0,0.07,0.03
2025-08-20 13:30:00,508.27,508.09,508.31,507.89,-0.05,-0.27,171417,218339077.0,0.08,0.02
2025-08-20 13:35:00,508.1,508.17,508.24,507.87,0.02,0.08,203453,228498268.0,0.07,0.03
2025-08-20 13:40:00,508.14,508.42,508.59,508.14,0.05,0.25,328355,265529258.0,0.09,0.05
2025-08-20 13:45:00,508.39,508.37,508.76,508.25,-0.01,-0.05,303122,254003067.0,0.1,0.04
2025-08-20 13:50:00,508.38,508.7,508.77,508.2,0.06,0.33,195347,193833938.0,0.11,0.03
2025-08-20 13:55:00,508.69,508.67,508.76,508.47,-0.01,-0.03,236255,228934375.0,0.06,0.03
2025-08-20 14:00:00,508.66,508.78,508.78,508.35,0.02,0.11,231174,255606565.0,0.08,0.03
2025-08-20 14:05:00,508.76,509.74,509.74,508.74,0.19,0.96,370025,294114506.0,0.2,0.05
2025-08-20 14:10:00,509.71,509.49,509.71,509.46,-0.05,-0.25,234622,245082849.0,0.05,0.03
2025-08-20 14:15:00,509.47,509.97,510.02,509.4,0.09,0.48,287392,243579364.0,0.12,0.04
2025-08-20 14:20:00,509.94,510.43,510.49,509.94,0.09,0.46,284751,280203828.0,0.11,0.04
2025-08-20 14:25:00,510.43,510.29,510.43,509.93,-0.03,-0.14,278019,284101342.0,0.1,0.04
2025-08-20 14:30:00,510.31,510.59,510.61,510.16,0.06,0.3,207374,212115306.0,0.09,0.03
2025-08-20 14:35:00,510.58,511.04,511.04,510.57,0.09,0.45,398594,315361858.0,0.09,0.06
2025-08-20 14:40:00,511.01,510.81,511.01,510.62,-0.05,-0.23,368234,310041810.0,0.08,0.05
2025-08-20 14:45:00,510.72,511.17,511.22,510.69,0.07,0.36,370386,342013476.0,0.1,0.05
2025-08-20 14:50:00,511.19,511.84,511.97,511.18,0.13,0.67,497820,454635168.0,0.15,0.07
2025-08-20 14:55:00,511.87,511.98,512.08,511.66,0.03,0.14,561440,538310083.0,0.08,0.08
2025-08-20 15:00:00,511.97,512.38,512.38,511.87,0.08,0.4,697455,613630187.0,0.1,0.1
2025-08-21 09:35:00,513.76,514.82,514.93,513.24,0.48,2.44,2376611,2102583551.0,0.33,0.33
2025-08-21 09:40:00,514.88,515.71,515.98,514.88,0.17,0.89,1389672,1247736876.0,0.21,0.19
2025-08-21 09:45:00,515.72,514.47,515.81,514.14,-0.24,-1.24,1146825,1043028589.0,0.32,0.16
2025-08-21 09:50:00,514.44,515.49,516.26,514.44,0.2,1.02,922507,892328740.0,0.35,0.13
2025-08-21 09:55:00,515.55,515.51,515.72,515.12,0.0,0.02,586824,669208839.0,0.12,0.08
