日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,47715.62,47834.13,47861.41,47651.87,0.28,135.77,1758696,2030645783.0,0.44,0.73
2025-08-19 09:40:00,47855.17,47961.89,47970.64,47780.85,0.27,127.76,766896,908712839.0,0.4,0.32
2025-08-19 09:45:00,47995.67,47694.5,48002.39,47683.55,-0.56,-267.39,551421,660562509.0,0.66,0.23
2025-08-19 09:50:00,47679.99,47484.69,47689.99,47475.73,-0.44,-209.81,626042,685780904.0,0.45,0.26
2025-08-19 09:55:00,47475.23,47470.72,47509.27,47386.5,-0.03,-13.97,435178,522210704.0,0.26,0.18
2025-08-19 10:00:00,47462.86,47419.35,47513.67,47417.69,-0.11,-51.37,411393,487641357.0,0.2,0.17
2025-08-19 10:05:00,47403.4,47202.58,47403.4,47183.94,-0.46,-216.77,601279,710152906.0,0.46,0.25
2025-08-19 10:10:00,47226.74,47383.91,47383.91,47078.59,0.38,181.33,370952,425459417.0,0.65,0.15
2025-08-19 10:15:00,47386.43,47360.95,47386.43,47318.48,-0.05,-22.96,230009,288637793.0,0.14,0.1
2025-08-19 10:20:00,47377.05,47161.86,47377.05,47150.41,-0.42,-199.09,257002,307533950.0,0.48,0.11
2025-08-19 10:25:00,47163.84,47132.08,47209.31,47099.59,-0.06,-29.78,193406,250020147.0,0.23,0.08
2025-08-19 10:30:00,47123.37,47187.48,47233.02,47116.94,0.12,55.4,149935,187200785.0,0.25,0.06
2025-08-19 10:35:00,47191.02,47157.54,47281.23,47141.09,-0.06,-29.94,189684,210180633.0,0.3,0.08
2025-08-19 10:40:00,47165.41,47223.75,47226.18,47146.26,0.14,66.21,160392,182228772.0,0.17,0.07
2025-08-19 10:45:00,47215.42,47291.39,47299.63,47197.92,0.14,67.64,121981,148211473.0,0.22,0.05
2025-08-19 10:50:00,47290.26,47301.3,47338.08,47257.1,0.02,9.91,134163,152283904.0,0.17,0.06
2025-08-19 10:55:00,47297.77,47473.77,47479.62,47297.55,0.36,172.47,104627,153498548.0,0.38,0.04
2025-08-19 11:00:00,47465.99,47444.19,47496.97,47419.4,-0.06,-29.58,110296,174934769.0,0.16,0.05
2025-08-19 11:05:00,47450.96,47528.69,47541.34,47450.96,0.18,84.5,92861,130159164.0,0.19,0.04
2025-08-19 11:10:00,47526.03,47611.61,47687.01,47507.15,0.17,82.92,155609,198503891.0,0.38,0.06
2025-08-19 11:15:00,47616.2,47549.7,47616.2,47530.97,-0.13,-61.91,101027,132286971.0,0.18,0.04
2025-08-19 11:20:00,47563.13,47568.42,47644.44,47539.38,0.04,18.72,101290,146257041.0,0.22,0.04
2025-08-19 11:25:00,47565.91,47608.39,47625.89,47546.48,0.08,39.97,92972,142684314.0,0.17,0.04
2025-08-19 11:30:00,47613.59,47607.42,47642.21,47581.76,0.0,-0.97,105244,163320544.0,0.13,0.04
2025-08-19 13:05:00,47607.42,47701.17,47722.86,47607.42,0.2,93.75,169817,254460990.0,0.24,0.07
2025-08-19 13:10:00,47690.91,47707.95,47740.73,47649.82,0.01,6.78,99207,146531144.0,0.19,0.04
2025-08-19 13:15:00,47698.52,47646.19,47740.16,47646.19,-0.13,-61.76,133021,198656036.0,0.2,0.06
2025-08-19 13:20:00,47654.7,47660.8,47667.61,47601.0,0.03,14.61,135812,199146934.0,0.14,0.06
2025-08-19 13:25:00,47647.66,47692.61,47698.28,47647.66,0.07,31.81,108132,144695091.0,0.11,0.04
