日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,491.67,490.3,491.7,489.98,-0.24,-1.16,236114,199427757.0,0.35,0.16
2025-08-19 09:40:00,490.28,490.92,491.04,490.14,0.13,0.62,167507,126494313.0,0.18,0.12
2025-08-19 09:45:00,490.91,490.7,491.4,490.39,-0.04,-0.22,106949,91712029.0,0.21,0.07
2025-08-19 09:50:00,490.68,490.53,491.0,490.43,-0.03,-0.17,84865,87956303.0,0.12,0.06
2025-08-19 09:55:00,490.53,490.32,490.57,489.95,-0.04,-0.21,80424,66834643.0,0.13,0.06
2025-08-19 10:00:00,490.32,490.11,490.64,490.1,-0.04,-0.21,76040,73250395.0,0.11,0.05
2025-08-19 10:05:00,490.27,488.86,490.32,488.86,-0.26,-1.25,134216,100290080.0,0.3,0.09
2025-08-19 10:10:00,488.82,489.14,489.14,487.98,0.06,0.28,149112,121406143.0,0.24,0.1
2025-08-19 10:15:00,489.07,488.54,489.24,488.43,-0.12,-0.6,49273,47288836.0,0.17,0.03
2025-08-19 10:20:00,488.55,487.8,488.55,487.76,-0.15,-0.74,67177,67089177.0,0.16,0.05
2025-08-19 10:25:00,487.81,487.64,487.94,487.48,-0.03,-0.16,65682,62982287.0,0.09,0.05
2025-08-19 10:30:00,487.65,488.5,488.73,487.65,0.18,0.86,68185,61427806.0,0.22,0.05
2025-08-19 10:35:00,488.47,489.4,489.48,488.47,0.18,0.9,49584,47280106.0,0.21,0.03
2025-08-19 10:40:00,489.32,489.18,489.49,488.97,-0.04,-0.22,39228,31784745.0,0.11,0.03
2025-08-19 10:45:00,489.17,488.87,489.2,488.78,-0.06,-0.31,36271,32068442.0,0.09,0.03
2025-08-19 10:50:00,488.91,489.1,489.36,488.91,0.05,0.23,36751,30824079.0,0.09,0.03
2025-08-19 10:55:00,489.18,489.52,489.7,489.18,0.09,0.42,23269,22053310.0,0.11,0.02
2025-08-19 11:00:00,489.55,489.26,489.63,489.14,-0.05,-0.26,31406,24725009.0,0.1,0.02
2025-08-19 11:05:00,489.22,489.91,489.99,489.22,0.13,0.65,49164,40696463.0,0.16,0.03
2025-08-19 11:10:00,490.0,489.68,490.0,489.38,-0.05,-0.23,26229,25762157.0,0.13,0.02
2025-08-19 11:15:00,489.64,490.05,490.05,489.57,0.08,0.37,42317,33987481.0,0.1,0.03
2025-08-19 11:20:00,490.07,489.65,490.42,489.61,-0.08,-0.4,39845,39117902.0,0.17,0.03
2025-08-19 11:25:00,489.67,489.7,490.02,489.57,0.01,0.05,35868,29926011.0,0.09,0.03
2025-08-19 11:30:00,489.63,489.71,489.93,489.58,0.0,0.01,28281,29457435.0,0.07,0.02
2025-08-19 13:05:00,489.71,489.75,490.08,489.49,0.01,0.04,64312,55866579.0,0.12,0.04
2025-08-19 13:10:00,489.71,489.85,490.01,489.47,0.02,0.1,45528,44715695.0,0.11,0.03
2025-08-19 13:15:00,489.93,489.47,489.99,489.39,-0.08,-0.38,40120,37641975.0,0.12,0.03
2025-08-19 13:20:00,489.6,489.74,489.78,489.4,0.06,0.27,41425,42482668.0,0.08,0.03
2025-08-19 13:25:00,489.8,489.7,489.97,489.43,-0.01,-0.04,52729,52618123.0,0.11,0.04
2025-08-19 13:30:00,489.75,489.77,489.95,489.44,0.01,0.07,56597,64971449.0,0.1,0.04
2025-08-19 13:35:00,489.74,489.89,490.58,489.64,0.02,0.12,104063,75423106.0,0.19,0.07
2025-08-19 13:40:00,489.97,489.65,489.97,489.26,-0.05,-0.24,38272,33303151.0,0.14,0.03
2025-08-19 13:45:00,489.58,489.77,489.83,489.42,0.02,0.12,29151,28075594.0,0.08,0.02
2025-08-19 13:50:00,489.77,489.44,489.93,489.35,-0.07,-0.33,32218,34624961.0,0.12,0.02
2025-08-19 13:55:00,489.34,489.01,489.56,488.73,-0.09,-0.43,52784,50537185.0,0.17,0.04
2025-08-19 14:00:00,489.0,488.84,489.17,488.78,-0.03,-0.17,25414,27512267.0,0.08,0.02
2025-08-19 14:05:00,488.86,489.26,489.3,488.62,0.09,0.42,34423,32764612.0,0.14,0.02
2025-08-19 14:10:00,489.23,489.24,489.36,489.09,0.0,-0.02,19618,23365273.0,0.06,0.01
