日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1215.07,1225.67,1226.22,1212.74,1.03,12.52,1022750,3126365046.0,1.11,0.26
2025-08-19 09:40:00,1225.46,1236.39,1236.39,1225.46,0.87,10.72,854871,2289337152.0,0.89,0.22
2025-08-19 09:45:00,1236.43,1244.39,1245.04,1235.82,0.65,8.0,928771,2359597968.0,0.75,0.24
2025-08-19 09:50:00,1244.4,1245.45,1246.72,1243.83,0.09,1.06,803804,2156132080.0,0.23,0.21
2025-08-19 09:55:00,1245.51,1242.27,1245.52,1240.16,-0.26,-3.18,481999,1204238257.0,0.43,0.12
2025-08-19 10:00:00,1242.47,1238.86,1243.25,1238.86,-0.27,-3.41,399694,1071727964.0,0.35,0.1
2025-08-19 10:05:00,1238.71,1231.93,1238.77,1231.85,-0.56,-6.93,440147,1352556087.0,0.56,0.11
2025-08-19 10:10:00,1231.95,1235.79,1235.93,1231.19,0.31,3.86,504007,1388970410.0,0.38,0.13
2025-08-19 10:15:00,1235.87,1234.09,1235.93,1233.21,-0.14,-1.7,306096,847810162.0,0.22,0.08
2025-08-19 10:20:00,1234.14,1228.25,1234.14,1228.1,-0.47,-5.84,254557,741254200.0,0.49,0.07
2025-08-19 10:25:00,1228.18,1231.24,1231.24,1227.94,0.24,2.99,199627,649228974.0,0.27,0.05
2025-08-19 10:30:00,1231.27,1232.23,1233.44,1230.93,0.08,0.99,173402,511218936.0,0.2,0.04
2025-08-19 10:35:00,1232.31,1233.79,1234.19,1232.11,0.13,1.56,156521,469456002.0,0.17,0.04
2025-08-19 10:40:00,1233.81,1235.25,1235.25,1233.5,0.12,1.46,145623,459164046.0,0.14,0.04
2025-08-19 10:45:00,1235.25,1239.6,1239.71,1235.25,0.35,4.35,218046,803121396.0,0.36,0.06
2025-08-19 10:50:00,1239.5,1239.82,1239.93,1238.1,0.02,0.22,177812,524170783.0,0.15,0.05
2025-08-19 10:55:00,1239.98,1236.1,1240.89,1236.1,-0.3,-3.72,186513,487645443.0,0.39,0.05
2025-08-19 11:00:00,1236.0,1233.53,1236.0,1233.22,-0.21,-2.57,146367,405819890.0,0.22,0.04
2025-08-19 11:05:00,1233.78,1234.43,1234.64,1233.1,0.07,0.9,119733,358648059.0,0.12,0.03
2025-08-19 11:10:00,1234.43,1233.04,1234.43,1232.61,-0.11,-1.39,118285,383998471.0,0.15,0.03
