日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,2643.05,2625.04,2643.88,2615.82,-0.36,-9.56,1342620,2917067916.0,1.07,1.19
2025-08-19 09:40:00,2625.62,2623.72,2630.69,2617.79,-0.05,-1.32,668798,1456620606.0,0.49,0.6
2025-08-19 09:45:00,2623.81,2621.64,2624.4,2616.14,-0.08,-2.08,458724,1050894059.0,0.31,0.41
2025-08-19 09:50:00,2621.35,2628.68,2630.18,2620.85,0.27,7.04,559307,1323338109.0,0.36,0.5
2025-08-19 09:55:00,2628.38,2623.55,2630.82,2622.65,-0.2,-5.13,358387,834025923.0,0.31,0.32
2025-08-19 10:00:00,2623.52,2615.98,2623.96,2615.57,-0.29,-7.57,292037,622164451.0,0.32,0.26
2025-08-19 10:05:00,2615.53,2601.79,2616.79,2601.79,-0.54,-14.19,405649,746046971.0,0.57,0.36
2025-08-19 10:10:00,2601.28,2612.61,2612.61,2594.82,0.42,10.82,376297,796752855.0,0.68,0.33
2025-08-19 10:15:00,2612.76,2608.44,2612.97,2606.73,-0.16,-4.17,443890,1272485629.0,0.24,0.4
2025-08-19 10:20:00,2608.59,2603.1,2610.62,2602.87,-0.2,-5.34,234512,607234895.0,0.3,0.21
2025-08-19 10:25:00,2602.8,2600.77,2603.36,2599.83,-0.09,-2.33,171526,412966046.0,0.14,0.15
2025-08-19 10:30:00,2600.79,2611.5,2612.59,2600.77,0.41,10.73,166959,402058865.0,0.45,0.15
2025-08-19 10:35:00,2611.71,2617.95,2618.44,2611.71,0.25,6.45,151637,389171638.0,0.26,0.13
2025-08-19 10:40:00,2618.05,2621.23,2621.79,2617.27,0.13,3.28,134375,319288597.0,0.17,0.12
2025-08-19 10:45:00,2620.99,2621.09,2621.64,2618.33,-0.01,-0.14,118483,285292402.0,0.13,0.11
2025-08-19 10:50:00,2621.22,2622.8,2622.8,2619.34,0.07,1.71,101056,256308445.0,0.13,0.09
2025-08-19 10:55:00,2622.67,2632.02,2632.02,2622.67,0.35,9.22,163196,357248030.0,0.36,0.15
2025-08-19 11:00:00,2632.15,2632.81,2636.98,2631.5,0.03,0.79,167532,369726823.0,0.21,0.15
2025-08-19 11:05:00,2632.68,2653.94,2656.17,2632.66,0.8,21.13,173753,522479469.0,0.89,0.15
2025-08-19 11:10:00,2653.77,2646.38,2654.06,2645.52,-0.28,-7.56,166017,483179616.0,0.32,0.15
2025-08-19 11:15:00,2646.74,2651.08,2651.25,2646.74,0.18,4.7,126430,325785283.0,0.17,0.11
2025-08-19 11:20:00,2650.82,2655.08,2656.17,2648.72,0.15,4.0,138762,326186535.0,0.28,0.12
2025-08-19 11:25:00,2655.44,2659.13,2660.36,2654.92,0.15,4.05,158120,375833181.0,0.2,0.14
2025-08-19 11:30:00,2658.92,2670.09,2670.65,2658.25,0.41,10.96,182439,437934689.0,0.47,0.16
2025-08-19 13:05:00,2670.09,2693.24,2693.24,2670.09,0.87,23.15,364618,905592584.0,0.87,0.32
2025-08-19 13:10:00,2692.76,2692.29,2694.81,2689.64,-0.04,-0.95,314991,812403491.0,0.19,0.28
2025-08-19 13:15:00,2692.49,2693.86,2698.04,2690.97,0.06,1.57,283846,808575929.0,0.26,0.25
2025-08-19 13:20:00,2693.65,2697.54,2701.39,2692.39,0.14,3.68,260103,599474683.0,0.33,0.23
2025-08-19 13:25:00,2697.4,2707.13,2707.69,2697.4,0.36,9.59,341610,649263723.0,0.38,0.3
2025-08-19 13:30:00,2707.6,2707.53,2711.17,2704.88,0.01,0.4,302245,740684137.0,0.23,0.27
2025-08-19 13:35:00,2707.25,2698.12,2708.9,2698.12,-0.35,-9.41,196573,484436672.0,0.4,0.17
2025-08-19 13:40:00,2697.9,2699.15,2700.13,2689.05,0.04,1.03,155860,408323891.0,0.41,0.14
2025-08-19 13:45:00,2698.95,2696.43,2699.43,2695.97,-0.1,-2.72,121270,286297997.0,0.13,0.11
2025-08-19 13:50:00,2696.22,2683.54,2696.22,2683.2,-0.48,-12.89,153221,320551384.0,0.48,0.14
2025-08-19 13:55:00,2684.42,2679.81,2685.4,2676.62,-0.14,-3.73,166379,388008752.0,0.33,0.15
2025-08-19 14:00:00,2679.54,2683.05,2684.6,2679.54,0.12,3.24,118370,275795172.0,0.19,0.11
2025-08-19 14:05:00,2682.58,2693.02,2693.02,2681.11,0.37,9.97,115680,272655954.0,0.44,0.1
2025-08-19 14:10:00,2693.43,2691.81,2695.35,2690.17,-0.04,-1.21,102133,218773134.0,0.19,0.09
2025-08-19 14:15:00,2691.63,2688.01,2692.35,2687.92,-0.14,-3.8,82574,175653307.0,0.16,0.07
2025-08-19 14:20:00,2688.07,2682.71,2689.94,2682.71,-0.2,-5.3,97599,201266032.0,0.27,0.09
2025-08-19 14:25:00,2682.68,2676.92,2683.17,2676.8,-0.22,-5.79,108490,233907034.0,0.24,0.1
2025-08-19 14:30:00,2677.26,2675.09,2677.85,2672.5,-0.07,-1.83,141765,300330032.0,0.2,0.13
2025-08-19 14:35:00,2675.65,2680.97,2681.91,2675.65,0.22,5.88,114840,256663302.0,0.23,0.1
2025-08-19 14:40:00,2681.04,2681.8,2685.0,2681.04,0.03,0.83,114643,259733903.0,0.15,0.1
2025-08-19 14:45:00,2681.89,2683.45,2683.95,2681.3,0.06,1.65,137101,337098809.0,0.1,0.12
2025-08-19 14:50:00,2683.91,2683.03,2686.62,2682.55,-0.02,-0.42,174898,402614833.0,0.15,0.16
2025-08-19 14:55:00,2683.36,2681.11,2684.22,2681.11,-0.07,-1.92,283042,632517215.0,0.12,0.25
2025-08-19 15:00:00,2681.56,2683.25,2683.97,2681.07,0.08,2.14,282896,698035795.0,0.11,0.25
2025-08-20 09:35:00,2667.66,2654.16,2670.19,2645.35,-1.08,-29.09,1015326,2513994245.0,0.93,0.9
2025-08-20 09:40:00,2655.09,2666.69,2668.46,2648.82,0.47,12.53,514190,1434028658.0,0.74,0.46
2025-08-20 09:45:00,2666.74,2681.36,2683.98,2664.94,0.55,14.67,638863,1920959184.0,0.71,0.57
2025-08-20 09:50:00,2681.35,2684.95,2686.04,2678.1,0.13,3.59,424187,1313386490.0,0.3,0.38
2025-08-20 09:55:00,2684.82,2681.76,2687.04,2681.4,-0.12,-3.19,309771,816079875.0,0.21,0.28
2025-08-20 10:00:00,2681.3,2681.66,2682.59,2675.24,0.0,-0.1,351520,844682665.0,0.27,0.31
2025-08-20 10:05:00,2681.21,2687.87,2692.68,2681.21,0.23,6.21,361293,731689189.0,0.43,0.32
2025-08-20 10:10:00,2686.66,2678.39,2687.6,2678.39,-0.35,-9.48,237512,588168093.0,0.34,0.21
2025-08-20 10:15:00,2678.73,2677.66,2680.01,2675.41,-0.03,-0.73,210519,596190145.0,0.17,0.19
2025-08-20 10:20:00,2677.69,2683.76,2685.16,2677.69,0.23,6.1,148046,386974934.0,0.28,0.13
2025-08-20 10:25:00,2683.68,2678.81,2683.73,2677.91,-0.18,-4.95,122626,331050284.0,0.22,0.11
2025-08-20 10:30:00,2678.47,2681.55,2682.41,2677.6,0.1,2.74,116561,286223877.0,0.18,0.1
2025-08-20 10:35:00,2681.55,2681.26,2682.27,2679.92,-0.01,-0.29,95860,249363917.0,0.09,0.09
2025-08-20 10:40:00,2681.55,2678.59,2684.51,2678.51,-0.1,-2.67,137710,384577681.0,0.22,0.12
2025-08-20 10:45:00,2678.76,2677.03,2679.27,2676.2,-0.06,-1.56,121892,327026990.0,0.11,0.11
2025-08-20 10:50:00,2677.21,2681.21,2682.15,2677.13,0.16,4.18,113262,279165433.0,0.19,0.1
2025-08-20 10:55:00,2681.37,2676.65,2681.75,2676.47,-0.17,-4.56,104872,221623539.0,0.2,0.09
2025-08-20 11:00:00,2676.74,2670.75,2676.74,2670.59,-0.22,-5.9,116938,234351674.0,0.23,0.1
2025-08-20 11:05:00,2670.57,2670.77,2670.88,2666.0,0.0,0.02,124337,259766988.0,0.18,0.11
2025-08-20 11:10:00,2671.74,2669.73,2674.14,2669.73,-0.04,-1.04,84346,168742360.0,0.17,0.08
2025-08-20 11:15:00,2669.64,2664.56,2670.94,2664.52,-0.19,-5.17,118536,252305995.0,0.24,0.11
2025-08-20 11:20:00,2664.74,2659.6,2664.75,2655.55,-0.19,-4.96,253060,543072128.0,0.35,0.23
2025-08-20 11:25:00,2659.61,2653.75,2663.27,2653.5,-0.22,-5.85,148532,299867007.0,0.37,0.13
2025-08-20 11:30:00,2653.29,2658.39,2658.45,2648.17,0.17,4.64,204431,418255271.0,0.39,0.18
