日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1220.28,1216.11,1220.32,1213.35,-0.19,-2.34,2846232,4722473712.0,0.57,0.67
2025-08-19 09:40:00,1216.18,1218.72,1219.5,1214.8,0.21,2.61,1199034,2215469296.0,0.39,0.28
2025-08-19 09:45:00,1218.55,1219.35,1219.98,1214.46,0.05,0.63,930295,2047757952.0,0.45,0.22
2025-08-19 09:50:00,1219.39,1220.23,1220.44,1217.68,0.07,0.88,713399,1712276544.0,0.23,0.17
2025-08-19 09:55:00,1220.28,1224.28,1225.2,1220.22,0.33,4.05,708310,1910383984.0,0.41,0.17
2025-08-19 10:00:00,1224.05,1218.27,1224.05,1218.27,-0.49,-6.01,564544,1642910738.0,0.47,0.13
2025-08-19 10:05:00,1218.17,1210.32,1218.37,1210.17,-0.65,-7.95,786131,2130856064.0,0.67,0.18
2025-08-19 10:10:00,1210.3,1213.95,1214.71,1207.56,0.3,3.63,718636,1927327058.0,0.59,0.17
2025-08-19 10:15:00,1213.91,1212.46,1213.91,1212.02,-0.12,-1.49,552324,1190668285.0,0.16,0.13
2025-08-19 10:20:00,1212.51,1209.33,1212.89,1209.33,-0.26,-3.13,334920,955506968.0,0.29,0.08
2025-08-19 10:25:00,1209.31,1210.01,1210.26,1209.18,0.06,0.68,319659,863757715.0,0.09,0.07
2025-08-19 10:30:00,1210.12,1214.28,1214.6,1210.12,0.35,4.27,270780,824465835.0,0.37,0.06
2025-08-19 10:35:00,1214.27,1220.86,1221.55,1214.14,0.54,6.58,498710,1500187130.0,0.61,0.12
2025-08-19 10:40:00,1220.95,1220.79,1220.95,1218.22,-0.01,-0.07,376330,1133520396.0,0.22,0.09
2025-08-19 10:45:00,1220.72,1223.31,1223.78,1219.77,0.21,2.52,477603,1343228889.0,0.33,0.11
2025-08-19 10:50:00,1223.43,1225.42,1226.36,1223.26,0.17,2.11,534585,1467215954.0,0.25,0.13
2025-08-19 10:55:00,1225.36,1223.35,1226.21,1223.04,-0.17,-2.07,318258,886239708.0,0.26,0.07
2025-08-19 11:00:00,1223.39,1222.8,1224.06,1222.59,-0.04,-0.55,205505,615343114.0,0.12,0.05
2025-08-19 11:05:00,1222.87,1225.88,1226.13,1222.87,0.25,3.08,190989,608046894.0,0.27,0.04
2025-08-19 11:10:00,1225.86,1225.01,1225.86,1224.47,-0.07,-0.87,153419,505706215.0,0.11,0.04
2025-08-19 11:15:00,1225.12,1226.36,1226.41,1225.08,0.11,1.35,166297,541764735.0,0.11,0.04
2025-08-19 11:20:00,1226.34,1225.97,1226.82,1225.49,-0.03,-0.39,157174,474298629.0,0.11,0.04
2025-08-19 11:25:00,1225.9,1227.41,1227.8,1225.9,0.12,1.44,169205,503212204.0,0.15,0.04
2025-08-19 11:30:00,1227.43,1228.39,1228.43,1227.43,0.08,0.98,189995,541393390.0,0.08,0.04
2025-08-19 13:05:00,1228.39,1233.51,1233.51,1228.39,0.42,5.12,556083,1624002995.0,0.42,0.13
2025-08-19 13:10:00,1233.49,1234.61,1235.54,1232.67,0.09,1.1,318948,1101995368.0,0.23,0.07
2025-08-19 13:15:00,1234.37,1232.74,1234.66,1232.0,-0.15,-1.87,270774,924594327.0,0.22,0.06
2025-08-19 13:20:00,1232.72,1230.54,1233.01,1230.19,-0.18,-2.2,243951,778535121.0,0.23,0.06
2025-08-19 13:25:00,1230.55,1231.39,1231.85,1230.32,0.07,0.85,199668,648831086.0,0.12,0.05
2025-08-19 13:30:00,1231.36,1231.23,1232.02,1230.5,-0.01,-0.16,234015,801059904.0,0.12,0.05
2025-08-19 13:35:00,1231.23,1227.25,1231.25,1227.25,-0.32,-3.98,248001,800865904.0,0.32,0.06
2025-08-19 13:40:00,1227.24,1228.44,1228.62,1226.14,0.1,1.19,226692,715820889.0,0.2,0.05
2025-08-19 13:45:00,1228.38,1227.35,1228.4,1227.23,-0.09,-1.09,157825,487659821.0,0.1,0.04
2025-08-19 13:50:00,1227.37,1225.41,1227.37,1225.32,-0.16,-1.94,194267,560412123.0,0.17,0.05
2025-08-19 13:55:00,1225.32,1223.43,1225.45,1222.5,-0.16,-1.98,248548,805384404.0,0.24,0.06
2025-08-19 14:00:00,1223.47,1223.46,1224.48,1223.41,0.0,0.03,219582,598893189.0,0.09,0.05
2025-08-19 14:05:00,1223.45,1227.35,1227.35,1223.22,0.32,3.89,207442,588404876.0,0.34,0.05
2025-08-19 14:10:00,1227.29,1227.29,1228.74,1227.26,0.0,-0.06,242973,600988459.0,0.12,0.06
