日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,2761.61,2775.73,2787.02,2757.82,1.06,28.99,1961896,5363538672.0,1.06,0.7
2025-08-19 09:40:00,2776.23,2774.23,2776.23,2763.46,-0.05,-1.5,879581,2046954224.0,0.46,0.31
2025-08-19 09:45:00,2774.56,2776.36,2780.81,2767.58,0.08,2.13,614896,1460871095.0,0.48,0.22
2025-08-19 09:50:00,2776.65,2766.92,2777.86,2766.32,-0.34,-9.44,440788,1162822667.0,0.42,0.16
2025-08-19 09:55:00,2766.6,2766.58,2771.95,2766.58,-0.01,-0.34,399879,1033103824.0,0.19,0.14
2025-08-19 10:00:00,2766.18,2748.37,2766.18,2747.98,-0.66,-18.21,518973,1322236542.0,0.66,0.18
2025-08-19 10:05:00,2747.87,2736.07,2748.99,2736.07,-0.45,-12.3,602442,1337253647.0,0.47,0.21
2025-08-19 10:10:00,2736.76,2748.1,2748.27,2733.74,0.44,12.03,544004,1029183795.0,0.53,0.19
2025-08-19 10:15:00,2747.42,2741.04,2748.37,2740.02,-0.26,-7.06,255352,614180882.0,0.3,0.09
2025-08-19 10:20:00,2741.7,2736.29,2742.65,2736.1,-0.17,-4.75,212728,527099377.0,0.24,0.08
2025-08-19 10:25:00,2735.68,2729.15,2736.04,2728.17,-0.26,-7.14,233832,569560626.0,0.29,0.08
2025-08-19 10:30:00,2729.24,2735.84,2737.0,2729.24,0.25,6.69,244050,538871033.0,0.28,0.09
2025-08-19 10:35:00,2736.09,2734.28,2736.25,2732.97,-0.06,-1.56,193051,528813001.0,0.12,0.07
2025-08-19 10:40:00,2734.55,2742.75,2743.33,2733.33,0.31,8.47,159577,356033890.0,0.37,0.06
2025-08-19 10:45:00,2742.58,2742.64,2744.07,2740.57,0.0,-0.11,125934,295305321.0,0.13,0.04
2025-08-19 10:50:00,2743.38,2745.39,2745.39,2740.96,0.1,2.75,113434,247399618.0,0.16,0.04
2025-08-19 10:55:00,2745.52,2747.65,2750.74,2745.35,0.08,2.26,117268,287975326.0,0.2,0.04
2025-08-19 11:00:00,2747.61,2747.08,2748.66,2745.33,-0.02,-0.57,124681,268378051.0,0.12,0.04
2025-08-19 11:05:00,2747.28,2753.45,2753.6,2746.49,0.23,6.37,158342,348515105.0,0.26,0.06
2025-08-19 11:10:00,2753.42,2753.59,2753.95,2751.54,0.01,0.14,145314,299364686.0,0.09,0.05
2025-08-19 11:15:00,2753.55,2760.85,2761.4,2753.55,0.26,7.26,148182,344244437.0,0.29,0.05
2025-08-19 11:20:00,2760.4,2762.71,2764.57,2760.38,0.07,1.86,149730,369164886.0,0.15,0.05
2025-08-19 11:25:00,2762.64,2765.04,2765.76,2762.61,0.08,2.33,100475,265046799.0,0.11,0.04
2025-08-19 11:30:00,2764.85,2763.46,2765.65,2761.78,-0.06,-1.58,135670,264393169.0,0.14,0.05
