日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,12426.91,12452.96,12470.88,12403.79,0.3,37.31,834314,1320654170.0,0.54,0.38
2025-08-19 09:40:00,12453.77,12510.34,12511.7,12450.05,0.46,57.38,469053,637342410.0,0.5,0.21
2025-08-19 09:45:00,12507.87,12500.41,12508.9,12492.47,-0.08,-9.93,288804,450964226.0,0.13,0.13
2025-08-19 09:50:00,12496.04,12500.51,12513.09,12494.04,0.0,0.1,388997,783587559.0,0.15,0.18
2025-08-19 09:55:00,12500.26,12500.04,12517.84,12497.39,0.0,-0.47,262006,478867070.0,0.16,0.12
2025-08-19 10:00:00,12499.68,12485.83,12505.06,12485.83,-0.11,-14.21,250595,350756978.0,0.15,0.11
2025-08-19 10:05:00,12483.79,12474.0,12487.83,12455.02,-0.09,-11.83,371149,467867972.0,0.26,0.17
2025-08-19 10:10:00,12474.7,12482.39,12487.69,12448.29,0.07,8.39,333093,390620562.0,0.32,0.15
2025-08-19 10:15:00,12486.03,12486.54,12510.05,12479.92,0.03,4.15,294789,398062971.0,0.24,0.13
2025-08-19 10:20:00,12488.48,12484.46,12494.4,12474.2,-0.02,-2.08,203909,368761693.0,0.16,0.09
2025-08-19 10:25:00,12482.84,12484.95,12490.04,12477.99,0.0,0.49,309143,693934817.0,0.1,0.14
2025-08-19 10:30:00,12489.49,12537.69,12541.62,12483.12,0.42,52.74,498533,1171443501.0,0.47,0.23
2025-08-19 10:35:00,12537.43,12543.21,12545.51,12531.24,0.04,5.52,255775,538544809.0,0.11,0.12
2025-08-19 10:40:00,12545.57,12547.16,12547.68,12531.42,0.03,3.95,175341,371923244.0,0.13,0.08
2025-08-19 10:45:00,12544.24,12563.98,12566.75,12543.84,0.13,16.82,200766,282497230.0,0.18,0.09
2025-08-19 10:50:00,12564.36,12577.36,12580.2,12561.44,0.11,13.38,165179,224296411.0,0.15,0.07
2025-08-19 10:55:00,12577.83,12587.07,12595.11,12577.66,0.08,9.71,149285,193999070.0,0.14,0.07
2025-08-19 11:00:00,12588.33,12579.02,12592.2,12575.83,-0.06,-8.05,104350,146492030.0,0.13,0.05
2025-08-19 11:05:00,12578.34,12602.47,12603.05,12573.23,0.19,23.45,105653,146419279.0,0.24,0.05
2025-08-19 11:10:00,12600.65,12595.0,12605.53,12589.84,-0.06,-7.47,75129,109100191.0,0.12,0.03
2025-08-19 11:15:00,12595.59,12599.75,12606.71,12589.88,0.04,4.75,97435,135736014.0,0.13,0.04
2025-08-19 11:20:00,12599.78,12594.03,12603.84,12591.6,-0.05,-5.72,68423,101998045.0,0.1,0.03
2025-08-19 11:25:00,12595.11,12610.96,12610.96,12588.39,0.13,16.93,78266,104109775.0,0.18,0.04
2025-08-19 11:30:00,12610.59,12604.25,12613.3,12600.93,-0.05,-6.71,75014,107840385.0,0.1,0.03
2025-08-19 13:05:00,12604.25,12674.84,12680.42,12597.46,0.56,70.59,305216,503459552.0,0.66,0.14
2025-08-19 13:10:00,12675.42,12656.16,12688.03,12654.14,-0.15,-18.68,207047,307293886.0,0.27,0.09
2025-08-19 13:15:00,12659.24,12660.0,12680.0,12647.52,0.03,3.84,167177,282152029.0,0.26,0.08
2025-08-19 13:20:00,12659.4,12652.53,12668.86,12645.13,-0.06,-7.47,141445,211265440.0,0.19,0.06
2025-08-19 13:25:00,12650.89,12641.75,12650.89,12635.04,-0.09,-10.78,104042,147103764.0,0.13,0.05
2025-08-19 13:30:00,12639.06,12637.61,12641.8,12629.71,-0.03,-4.14,133553,214649655.0,0.1,0.06
2025-08-19 13:35:00,12637.1,12609.76,12645.67,12609.76,-0.22,-27.85,103990,149737646.0,0.28,0.05
2025-08-19 13:40:00,12608.17,12634.73,12635.69,12604.37,0.2,24.97,115354,189969922.0,0.25,0.05
2025-08-19 13:45:00,12633.67,12636.15,12636.15,12610.09,0.01,1.42,68823,118084504.0,0.21,0.03
2025-08-19 13:50:00,12634.49,12635.17,12639.76,12624.82,-0.01,-0.98,97532,187655701.0,0.12,0.04
2025-08-19 13:55:00,12633.37,12611.51,12636.95,12600.87,-0.19,-23.66,126637,227360957.0,0.29,0.06
2025-08-19 14:00:00,12612.98,12622.6,12638.11,12611.81,0.09,11.09,92177,172995501.0,0.21,0.04
2025-08-19 14:05:00,12623.77,12639.94,12640.56,12611.3,0.14,17.34,80419,132474199.0,0.23,0.04
2025-08-19 14:10:00,12639.86,12635.43,12643.85,12633.41,-0.04,-4.51,71134,111355372.0,0.08,0.03
2025-08-19 14:15:00,12636.41,12625.8,12637.32,12620.71,-0.08,-9.63,56616,91293976.0,0.13,0.03
2025-08-19 14:20:00,12626.55,12628.57,12635.34,12623.67,0.02,2.77,66669,102888839.0,0.09,0.03
2025-08-19 14:25:00,12627.55,12611.05,12629.28,12607.07,-0.14,-17.52,81808,128224952.0,0.18,0.04
2025-08-19 14:30:00,12609.68,12601.14,12612.32,12591.06,-0.08,-9.91,111839,163927358.0,0.17,0.05
2025-08-19 14:35:00,12604.16,12624.56,12627.47,12603.12,0.19,23.42,104965,162427125.0,0.19,0.05
2025-08-19 14:40:00,12624.08,12619.47,12628.99,12617.78,-0.04,-5.09,95652,145718138.0,0.09,0.04
2025-08-19 14:45:00,12618.69,12624.31,12627.93,12613.02,0.04,4.84,120662,183606443.0,0.12,0.05
2025-08-19 14:50:00,12622.58,12626.65,12633.77,12620.77,0.02,2.34,132544,202674037.0,0.1,0.06
2025-08-19 14:55:00,12624.93,12632.33,12632.39,12623.71,0.04,5.68,195986,281156517.0,0.07,0.09
2025-08-19 15:00:00,12633.31,12632.14,12635.45,12621.89,0.0,-0.19,181193,283185254.0,0.11,0.08
2025-08-20 09:35:00,12623.98,12638.54,12648.33,12598.72,0.05,6.4,931356,1446832157.0,0.39,0.42
2025-08-20 09:40:00,12640.25,12665.64,12674.58,12628.55,0.21,27.1,398849,592209516.0,0.36,0.18
2025-08-20 09:45:00,12667.95,12645.6,12669.47,12645.16,-0.16,-20.04,314679,481739225.0,0.19,0.14
2025-08-20 09:50:00,12644.09,12666.17,12668.3,12634.3,0.16,20.57,274029,415962795.0,0.27,0.12
2025-08-20 09:55:00,12665.95,12661.24,12671.18,12650.76,-0.04,-4.93,213978,292754171.0,0.16,0.1
2025-08-20 10:00:00,12653.31,12654.36,12659.81,12638.49,-0.05,-6.88,255865,330633243.0,0.17,0.12
2025-08-20 10:05:00,12654.49,12656.13,12668.58,12640.64,0.01,1.77,242053,372548040.0,0.22,0.11
2025-08-20 10:10:00,12659.62,12648.96,12666.09,12645.25,-0.06,-7.17,190676,290826831.0,0.16,0.09
2025-08-20 10:15:00,12650.22,12643.76,12654.84,12639.43,-0.04,-5.2,192372,321848141.0,0.12,0.09
2025-08-20 10:20:00,12645.28,12645.7,12655.76,12633.88,0.02,1.94,133300,193100807.0,0.17,0.06
