日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,568.42,569.17,570.62,568.16,-0.52,-2.97,402041,1013589870.0,0.43,0.24
2025-08-19 09:40:00,569.16,569.46,571.17,568.68,0.05,0.29,244939,587399369.0,0.44,0.15
2025-08-19 09:45:00,569.66,569.51,569.94,568.99,0.01,0.05,194408,473760486.0,0.17,0.12
2025-08-19 09:50:00,569.66,567.46,570.06,567.46,-0.36,-2.05,190382,499358432.0,0.46,0.11
2025-08-19 09:55:00,567.33,569.01,569.11,567.33,0.27,1.55,163451,373674228.0,0.31,0.1
2025-08-19 10:00:00,568.98,567.42,569.91,567.41,-0.28,-1.59,156685,397169962.0,0.44,0.09
2025-08-19 10:05:00,567.44,563.59,567.48,563.59,-0.67,-3.83,280624,658476495.0,0.69,0.17
2025-08-19 10:10:00,563.72,565.34,566.11,562.8,0.31,1.75,219729,543884994.0,0.59,0.13
2025-08-19 10:15:00,565.42,565.7,566.91,564.46,0.06,0.36,148435,301003193.0,0.43,0.09
2025-08-19 10:20:00,565.66,564.7,566.07,564.66,-0.18,-1.0,94927,208650472.0,0.25,0.06
2025-08-19 10:25:00,564.66,564.12,564.89,563.8,-0.1,-0.58,94461,198049974.0,0.19,0.06
2025-08-19 10:30:00,564.2,565.72,566.06,564.18,0.28,1.6,113122,215949204.0,0.33,0.07
2025-08-19 10:35:00,565.76,567.44,567.57,565.46,0.3,1.72,91431,213981904.0,0.37,0.06
2025-08-19 10:40:00,567.34,566.49,567.44,566.25,-0.17,-0.95,78893,170583002.0,0.21,0.05
2025-08-19 10:45:00,566.43,566.76,567.51,566.13,0.05,0.27,68644,155936799.0,0.24,0.04
2025-08-19 10:50:00,566.8,567.07,567.43,566.51,0.05,0.31,61069,127244383.0,0.16,0.04
2025-08-19 10:55:00,567.07,566.32,567.29,566.16,-0.13,-0.75,46314,120475387.0,0.2,0.03
2025-08-19 11:00:00,566.39,566.18,566.67,566.14,-0.02,-0.14,45078,97995002.0,0.09,0.03
2025-08-19 11:05:00,566.21,566.47,566.94,565.95,0.05,0.29,59725,132326332.0,0.17,0.04
2025-08-19 11:10:00,566.46,566.86,567.08,566.36,0.07,0.39,49216,128719233.0,0.13,0.03
2025-08-19 11:15:00,566.91,568.26,568.34,566.91,0.25,1.4,61664,141520578.0,0.25,0.04
2025-08-19 11:20:00,568.22,568.09,568.56,567.84,-0.03,-0.17,68797,156722681.0,0.13,0.04
2025-08-19 11:25:00,568.31,570.3,570.75,568.06,0.39,2.21,170365,310237474.0,0.47,0.1
2025-08-19 11:30:00,570.39,569.17,570.83,568.8,-0.2,-1.13,123127,245269590.0,0.36,0.07
2025-08-19 13:05:00,569.17,574.16,574.16,569.17,0.88,4.99,156819,431243811.0,0.88,0.09
2025-08-19 13:10:00,574.0,572.5,574.19,572.48,-0.29,-1.66,144720,388182755.0,0.3,0.09
2025-08-19 13:15:00,572.56,570.86,572.56,570.86,-0.29,-1.64,85335,215472543.0,0.3,0.05
2025-08-19 13:20:00,570.85,570.28,571.3,570.07,-0.1,-0.58,72200,162819097.0,0.22,0.04
2025-08-19 13:25:00,570.36,570.59,570.91,570.32,0.05,0.31,52633,129062854.0,0.1,0.03
2025-08-19 13:30:00,570.56,570.78,570.82,570.17,0.03,0.19,76766,162212354.0,0.11,0.05
2025-08-19 13:35:00,570.91,569.51,571.02,569.39,-0.22,-1.27,82769,202484910.0,0.29,0.05
2025-08-19 13:40:00,569.47,569.84,570.0,568.86,0.06,0.33,75534,158910741.0,0.2,0.05
2025-08-19 13:45:00,569.91,569.18,569.96,569.04,-0.12,-0.66,64670,140572548.0,0.16,0.04
2025-08-19 13:50:00,569.06,568.19,569.13,568.19,-0.17,-0.99,59811,156999252.0,0.17,0.04
2025-08-19 13:55:00,568.28,567.33,568.34,566.97,-0.15,-0.86,132602,237265182.0,0.24,0.08
2025-08-19 14:00:00,567.32,567.24,568.0,567.02,-0.02,-0.09,63421,154061270.0,0.17,0.04
2025-08-19 14:05:00,567.23,570.45,570.46,567.08,0.57,3.21,101742,202598752.0,0.6,0.06
2025-08-19 14:10:00,570.37,570.31,571.52,570.31,-0.02,-0.14,112286,233473371.0,0.21,0.07
2025-08-19 14:15:00,570.3,569.85,570.39,569.2,-0.08,-0.46,55906,124924007.0,0.21,0.03
2025-08-19 14:20:00,569.89,568.97,570.31,568.97,-0.15,-0.88,61276,151672487.0,0.24,0.04
2025-08-19 14:25:00,569.01,568.3,569.04,568.29,-0.12,-0.67,58223,159253066.0,0.13,0.04
2025-08-19 14:30:00,568.36,568.0,568.36,567.4,-0.05,-0.3,69362,189451340.0,0.17,0.04
2025-08-19 14:35:00,568.02,568.7,568.94,568.02,0.12,0.7,53310,122663642.0,0.16,0.03
2025-08-19 14:40:00,568.73,568.73,569.14,568.67,0.01,0.03,44879,116802654.0,0.08,0.03
2025-08-19 14:45:00,568.73,569.12,569.15,568.49,0.07,0.39,60451,150170865.0,0.12,0.04
2025-08-19 14:50:00,569.15,568.8,569.35,568.8,-0.06,-0.32,88451,206005329.0,0.1,0.05
2025-08-19 14:55:00,568.77,568.79,569.07,568.62,0.0,-0.01,110651,287240022.0,0.08,0.07
2025-08-19 15:00:00,568.81,568.77,568.81,568.56,0.0,-0.02,110723,273067291.0,0.04,0.07
2025-08-20 09:35:00,562.83,563.47,564.37,559.0,-0.93,-5.3,427396,1132106849.0,0.94,0.26
2025-08-20 09:40:00,563.46,565.13,565.54,563.18,0.29,1.66,208603,545455354.0,0.42,0.13
2025-08-20 09:45:00,564.94,566.51,566.97,564.94,0.24,1.38,284306,656341311.0,0.36,0.17
2025-08-20 09:50:00,566.46,570.04,570.04,565.58,0.62,3.53,252479,590799047.0,0.79,0.15
2025-08-20 09:55:00,570.28,573.68,573.82,570.28,0.64,3.64,430515,1052358849.0,0.62,0.26
2025-08-20 10:00:00,573.94,576.5,577.17,573.79,0.49,2.82,455914,880638246.0,0.59,0.28
2025-08-20 10:05:00,576.56,568.11,576.57,568.11,-1.46,-8.39,422761,979685641.0,1.47,0.26
2025-08-20 10:10:00,568.01,568.66,568.75,567.19,0.1,0.55,288735,713416082.0,0.27,0.17
2025-08-20 10:15:00,568.64,569.09,569.09,567.27,0.08,0.43,177740,463125623.0,0.32,0.11
2025-08-20 10:20:00,569.22,570.17,571.38,568.77,0.19,1.08,168166,471778278.0,0.46,0.1
2025-08-20 10:25:00,570.0,570.38,571.23,570.0,0.04,0.21,97171,266062197.0,0.22,0.06
2025-08-20 10:30:00,570.37,570.68,571.35,569.88,0.05,0.3,81723,212089269.0,0.26,0.05
2025-08-20 10:35:00,570.88,570.91,571.12,570.43,0.04,0.23,74934,162616635.0,0.12,0.05
2025-08-20 10:40:00,570.88,569.67,571.42,569.55,-0.22,-1.24,85130,193665449.0,0.33,0.05
2025-08-20 10:45:00,569.7,570.8,570.98,569.5,0.2,1.13,63355,165422339.0,0.26,0.04
2025-08-20 10:50:00,570.89,571.43,572.31,570.73,0.11,0.63,124382,443548684.0,0.28,0.08
2025-08-20 10:55:00,571.54,570.94,572.1,570.66,-0.09,-0.49,86484,219117585.0,0.25,0.05
2025-08-20 11:00:00,570.81,568.84,570.81,568.79,-0.37,-2.1,97359,229677354.0,0.35,0.06
2025-08-20 11:05:00,568.81,567.72,568.82,567.21,-0.2,-1.12,104172,242737172.0,0.28,0.06
2025-08-20 11:10:00,567.72,567.26,568.25,567.03,-0.08,-0.46,78268,206420118.0,0.21,0.05
2025-08-20 11:15:00,567.2,567.17,567.46,566.91,-0.02,-0.09,57638,141928381.0,0.1,0.03
2025-08-20 11:20:00,567.32,565.53,567.32,565.26,-0.29,-1.64,139620,367107163.0,0.36,0.08
2025-08-20 11:25:00,565.44,564.4,565.88,564.4,-0.2,-1.13,96606,259330120.0,0.26,0.06
2025-08-20 11:30:00,564.44,565.33,565.53,563.49,0.16,0.93,134287,301085464.0,0.36,0.08
2025-08-20 13:05:00,565.33,564.33,565.51,564.29,-0.18,-1.0,83627,222691007.0,0.22,0.05
2025-08-20 13:10:00,564.28,564.1,564.58,563.76,-0.04,-0.23,68037,181688168.0,0.15,0.04
2025-08-20 13:15:00,564.16,565.16,565.65,564.07,0.19,1.06,64548,152215346.0,0.28,0.04
2025-08-20 13:20:00,565.16,565.77,565.91,565.01,0.11,0.61,48042,126491484.0,0.16,0.03
2025-08-20 13:25:00,565.92,565.71,566.28,565.59,-0.01,-0.06,50513,129256296.0,0.12,0.03
2025-08-20 13:30:00,565.76,565.45,565.88,565.1,-0.05,-0.26,44922,118809821.0,0.14,0.03
2025-08-20 13:35:00,565.43,566.62,566.64,565.43,0.21,1.17,46469,129279742.0,0.21,0.03
2025-08-20 13:40:00,566.69,566.64,567.3,566.57,0.0,0.02,54186,150326870.0,0.13,0.03
2025-08-20 13:45:00,566.7,566.16,566.89,566.11,-0.08,-0.48,62182,157263841.0,0.14,0.04
2025-08-20 13:50:00,566.14,567.07,567.2,565.93,0.16,0.91,49996,129218718.0,0.22,0.03
2025-08-20 13:55:00,567.09,567.2,567.29,566.73,0.02,0.13,35924,94072373.0,0.1,0.02
2025-08-20 14:00:00,567.09,567.21,567.24,566.31,0.0,0.01,56666,141955358.0,0.16,0.03
2025-08-20 14:05:00,567.23,569.23,569.28,567.23,0.36,2.02,66554,160282060.0,0.36,0.04
