日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,55327.13,54851.22,55362.88,54695.05,-0.9,-495.81,876731,2728032680.0,1.21,0.24
2025-08-19 09:40:00,54856.34,54805.41,54864.84,54791.77,-0.08,-45.81,498140,1363709475.0,0.13,0.14
2025-08-19 09:45:00,54807.51,55047.63,55091.04,54731.37,0.44,242.22,459063,1238892169.0,0.66,0.12
2025-08-19 09:50:00,55044.2,55096.15,55109.41,55005.43,0.09,48.52,266931,819118491.0,0.19,0.07
2025-08-19 09:55:00,55096.76,55061.29,55146.24,55042.77,-0.06,-34.86,228896,682476970.0,0.19,0.06
2025-08-19 10:00:00,55057.16,55055.11,55084.31,55005.62,-0.01,-6.18,258552,748947851.0,0.14,0.07
2025-08-19 10:05:00,55060.07,54740.75,55115.01,54740.75,-0.57,-314.36,422321,1212794960.0,0.68,0.11
2025-08-19 10:10:00,54733.25,54737.84,54755.88,54591.87,-0.01,-2.91,354873,1022094133.0,0.3,0.1
2025-08-19 10:15:00,54736.29,54700.79,54750.7,54673.45,-0.07,-37.05,188626,560695840.0,0.14,0.05
2025-08-19 10:20:00,54697.75,54596.37,54709.54,54592.59,-0.19,-104.42,211522,630312235.0,0.21,0.06
2025-08-19 10:25:00,54596.92,54576.29,54618.3,54562.71,-0.04,-20.08,201542,595388392.0,0.1,0.05
2025-08-19 10:30:00,54576.93,54696.25,54702.23,54576.68,0.22,119.96,153364,443081230.0,0.23,0.04
2025-08-19 10:35:00,54693.91,54755.68,54782.18,54675.19,0.11,59.43,132341,372053493.0,0.2,0.04
2025-08-19 10:40:00,54756.69,54804.03,54807.29,54756.69,0.09,48.35,108962,308815516.0,0.09,0.03
2025-08-19 10:45:00,54804.31,54741.57,54807.65,54724.66,-0.11,-62.46,119265,308207605.0,0.15,0.03
2025-08-19 10:50:00,54739.1,54781.41,54800.75,54733.13,0.07,39.84,100890,299686583.0,0.12,0.03
2025-08-19 10:55:00,54779.38,54778.24,54814.59,54772.77,-0.01,-3.17,97356,289134334.0,0.08,0.03
2025-08-19 11:00:00,54773.46,54775.46,54831.96,54771.33,-0.01,-2.78,113306,287994025.0,0.11,0.03
2025-08-19 11:05:00,54775.5,54853.15,54857.96,54765.21,0.14,77.69,97829,268403046.0,0.17,0.03
2025-08-19 11:10:00,54850.37,54845.12,54850.37,54763.36,-0.01,-8.03,141862,385909988.0,0.16,0.04
2025-08-19 11:15:00,54859.16,54933.6,54936.48,54859.16,0.16,88.48,98345,252967957.0,0.14,0.03
2025-08-19 11:20:00,54930.11,54896.2,54932.77,54889.82,-0.07,-37.4,87847,238443821.0,0.08,0.02
2025-08-19 11:25:00,54894.23,54942.04,54952.95,54893.74,0.08,45.84,82465,232437189.0,0.11,0.02
2025-08-19 11:30:00,54942.95,54957.18,54967.0,54932.69,0.03,15.14,88318,236579095.0,0.06,0.02
2025-08-19 13:05:00,54957.18,54980.55,55035.41,54957.18,0.04,23.37,142641,380921609.0,0.14,0.04
2025-08-19 13:10:00,54983.51,55004.87,55039.25,54965.46,0.04,24.32,125382,350433890.0,0.13,0.03
2025-08-19 13:15:00,55010.56,54956.25,55010.56,54956.25,-0.09,-48.62,108032,297355220.0,0.1,0.03
