日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,4952.75,4945.75,4956.25,4939.45,-0.2,-9.85,484309,228790600.0,0.34,0.05
2025-08-19 09:40:00,4947.61,4943.32,4952.09,4941.19,-0.05,-2.43,190444,120414996.0,0.22,0.02
2025-08-19 09:45:00,4947.25,4939.94,4948.79,4939.73,-0.07,-3.38,407313,144430493.0,0.18,0.04
2025-08-19 09:50:00,4940.04,4935.29,4944.3,4933.34,-0.09,-4.65,293644,145194399.0,0.22,0.03
2025-08-19 09:55:00,4935.26,4941.11,4941.61,4931.81,0.12,5.82,156116,99674344.0,0.2,0.02
2025-08-19 10:00:00,4940.36,4938.87,4946.98,4937.68,-0.05,-2.24,258605,115918110.0,0.19,0.03
2025-08-19 10:05:00,4939.29,4930.0,4943.08,4927.59,-0.18,-8.87,263985,157550334.0,0.31,0.03
2025-08-19 10:10:00,4929.22,4937.38,4937.62,4922.7,0.15,7.38,218369,158157872.0,0.3,0.02
2025-08-19 10:15:00,4938.8,4941.13,4946.19,4935.23,0.08,3.75,330530,134233002.0,0.22,0.03
2025-08-19 10:20:00,4942.18,4942.0,4947.67,4940.01,0.02,0.87,154502,83738946.0,0.16,0.02
2025-08-19 10:25:00,4946.16,4938.53,4946.16,4937.11,-0.07,-3.47,111539,66385754.0,0.18,0.01
2025-08-19 10:30:00,4940.68,4945.28,4948.42,4937.81,0.14,6.75,116484,68028351.0,0.21,0.01
2025-08-19 10:35:00,4946.71,4951.52,4952.79,4945.57,0.13,6.24,126397,82462877.0,0.15,0.01
2025-08-19 10:40:00,4951.65,4948.14,4953.84,4946.76,-0.07,-3.38,62845,43020349.0,0.14,0.01
2025-08-19 10:45:00,4949.39,4950.88,4953.25,4945.82,0.06,2.74,83050,54756990.0,0.15,0.01
2025-08-19 10:50:00,4948.33,4953.1,4955.75,4945.94,0.04,2.22,148270,100546016.0,0.2,0.02
2025-08-19 10:55:00,4956.76,4955.79,4959.69,4951.11,0.05,2.69,91635,70459398.0,0.17,0.01
2025-08-19 11:00:00,4955.44,4957.8,4962.1,4953.73,0.04,2.01,137899,90582698.0,0.17,0.01
2025-08-19 11:05:00,4959.44,4965.97,4968.17,4955.43,0.16,8.17,131875,117568833.0,0.26,0.01
2025-08-19 11:10:00,4965.66,4963.16,4967.83,4961.46,-0.06,-2.81,57811,41738466.0,0.13,0.01
2025-08-19 11:15:00,4964.27,4965.04,4968.44,4962.59,0.04,1.88,160356,79192839.0,0.12,0.02
2025-08-19 11:20:00,4963.28,4963.71,4970.95,4963.14,-0.03,-1.33,209839,104137796.0,0.16,0.02
2025-08-19 11:25:00,4963.47,4963.46,4966.67,4960.36,-0.01,-0.25,107624,64461276.0,0.13,0.01
2025-08-19 11:30:00,4961.45,4964.96,4967.44,4960.12,0.03,1.5,70796,54514268.0,0.15,0.01
2025-08-19 13:05:00,4964.96,4960.17,4967.12,4956.6,-0.1,-4.79,183600,103999723.0,0.21,0.02
2025-08-19 13:10:00,4959.77,4960.74,4963.68,4958.63,0.01,0.57,93275,51032317.0,0.1,0.01
2025-08-19 13:15:00,4960.63,4958.31,4965.68,4956.72,-0.05,-2.43,139667,83126718.0,0.18,0.01
2025-08-19 13:20:00,4959.62,4960.7,4964.97,4957.2,0.05,2.39,104172,62223334.0,0.16,0.01
2025-08-19 13:25:00,4960.68,4959.39,4963.22,4957.17,-0.03,-1.31,105617,50407577.0,0.12,0.01
2025-08-19 13:30:00,4958.91,4958.42,4963.59,4956.05,-0.02,-0.97,174970,73356089.0,0.15,0.02
2025-08-19 13:35:00,4959.86,4954.94,4961.88,4954.38,-0.07,-3.48,303245,108811122.0,0.15,0.03
2025-08-19 13:40:00,4955.25,4955.23,4960.19,4950.49,0.01,0.29,163868,62432819.0,0.2,0.02
