日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,11073.93,11066.02,11075.09,11052.0,-0.05,-5.81,794242,488697832.0,0.21,0.05
2025-08-19 09:40:00,11064.01,11067.75,11074.88,11060.86,0.02,1.73,406824,297454830.0,0.13,0.03
2025-08-19 09:45:00,11067.45,11068.28,11074.34,11062.52,0.0,0.53,349983,232087922.0,0.11,0.02
2025-08-19 09:50:00,11066.76,11060.98,11074.49,11060.98,-0.07,-7.3,382545,257160060.0,0.12,0.03
2025-08-19 09:55:00,11061.38,11064.68,11071.84,11061.38,0.03,3.7,259991,165098731.0,0.09,0.02
2025-08-19 10:00:00,11065.16,11081.88,11087.86,11065.0,0.16,17.2,436310,252378958.0,0.21,0.03
2025-08-19 10:05:00,11081.53,11059.29,11087.04,11059.29,-0.2,-22.59,455797,290318458.0,0.25,0.03
2025-08-19 10:10:00,11055.93,11072.84,11076.15,11048.19,0.12,13.55,399460,271916177.0,0.25,0.03
2025-08-19 10:15:00,11075.27,11074.74,11081.91,11067.62,0.02,1.9,315109,170001020.0,0.13,0.02
2025-08-19 10:20:00,11071.78,11070.39,11076.51,11067.11,-0.04,-4.35,212441,136056790.0,0.08,0.01
2025-08-19 10:25:00,11072.01,11063.56,11075.28,11062.52,-0.06,-6.83,232757,134727061.0,0.12,0.02
2025-08-19 10:30:00,11066.02,11078.72,11082.36,11060.88,0.14,15.16,256546,144739170.0,0.19,0.02
2025-08-19 10:35:00,11078.25,11085.4,11090.56,11074.82,0.06,6.68,186342,113001846.0,0.14,0.01
2025-08-19 10:40:00,11087.07,11083.67,11092.35,11082.23,-0.02,-1.73,156635,94592835.0,0.09,0.01
2025-08-19 10:45:00,11081.86,11083.96,11092.61,11076.33,0.0,0.29,125431,98579849.0,0.15,0.01
2025-08-19 10:50:00,11079.95,11081.09,11088.35,11077.68,-0.03,-2.87,116129,84313105.0,0.1,0.01
2025-08-19 10:55:00,11081.09,11077.64,11086.88,11073.02,-0.03,-3.45,135047,86913546.0,0.13,0.01
2025-08-19 11:00:00,11079.19,11078.25,11082.62,11070.34,0.01,0.61,126834,82959682.0,0.11,0.01
2025-08-19 11:05:00,11078.71,11087.8,11091.47,11073.48,0.09,9.55,150712,103239332.0,0.16,0.01
2025-08-19 11:10:00,11085.45,11089.09,11094.56,11082.98,0.01,1.29,123402,81850716.0,0.1,0.01
2025-08-19 11:15:00,11088.7,11088.24,11096.18,11084.16,-0.01,-0.85,135387,77362652.0,0.11,0.01
2025-08-19 11:20:00,11092.64,11092.95,11098.29,11087.41,0.04,4.71,122268,90241540.0,0.1,0.01
2025-08-19 11:25:00,11092.87,11093.13,11095.84,11087.86,0.0,0.18,133816,98675092.0,0.07,0.01
2025-08-19 11:30:00,11093.85,11093.92,11100.99,11088.92,0.01,0.79,187075,150288843.0,0.11,0.01
2025-08-19 13:05:00,11093.92,11090.64,11100.21,11084.16,-0.03,-3.28,198365,126840110.0,0.14,0.01
2025-08-19 13:10:00,11089.86,11091.56,11095.49,11082.4,0.01,0.92,164201,101543492.0,0.12,0.01
2025-08-19 13:15:00,11089.72,11090.19,11095.34,11084.81,-0.01,-1.37,126601,87601910.0,0.09,0.01
2025-08-19 13:20:00,11090.83,11088.37,11098.01,11085.45,-0.02,-1.82,169017,101843550.0,0.11,0.01
2025-08-19 13:25:00,11088.42,11087.72,11093.76,11081.52,-0.01,-0.65,109835,66170014.0,0.11,0.01
2025-08-19 13:30:00,11084.23,11075.95,11088.82,11074.16,-0.11,-11.77,152835,91965864.0,0.13,0.01
2025-08-19 13:35:00,11076.32,11073.17,11080.86,11067.52,-0.03,-2.78,208128,125513280.0,0.12,0.01
2025-08-19 13:40:00,11072.76,11075.71,11075.71,11062.89,0.02,2.54,241943,129221288.0,0.12,0.02
2025-08-19 13:45:00,11071.88,11063.5,11075.83,11063.5,-0.11,-12.21,121381,73662709.0,0.11,0.01
2025-08-19 13:50:00,11063.89,11061.08,11069.67,11058.34,-0.02,-2.42,177353,115594388.0,0.1,0.01
2025-08-19 13:55:00,11060.95,11062.61,11067.82,11052.33,0.01,1.53,159999,114021989.0,0.14,0.01
2025-08-19 14:00:00,11062.94,11060.47,11066.01,11055.14,-0.02,-2.14,121265,75383535.0,0.1,0.01
2025-08-19 14:05:00,11058.12,11065.07,11065.07,11056.72,0.04,4.6,107965,73322661.0,0.08,0.01
2025-08-19 14:10:00,11065.92,11061.32,11069.32,11061.32,-0.03,-3.75,108961,66284458.0,0.07,0.01
2025-08-19 14:15:00,11062.07,11066.53,11069.9,11059.24,0.05,5.21,134117,82904885.0,0.1,0.01
2025-08-19 14:20:00,11063.22,11059.26,11070.8,11056.94,-0.07,-7.27,121363,80428102.0,0.13,0.01
2025-08-19 14:25:00,11058.36,11053.84,11064.64,11050.36,-0.05,-5.42,234736,194527867.0,0.13,0.02
2025-08-19 14:30:00,11055.02,11051.02,11056.08,11043.28,-0.03,-2.82,207618,134254707.0,0.12,0.01
2025-08-19 14:35:00,11052.88,11053.26,11058.51,11049.36,0.02,2.24,169874,100502767.0,0.08,0.01
2025-08-19 14:40:00,11055.81,11057.58,11065.98,11054.0,0.04,4.32,138417,90755190.0,0.11,0.01
2025-08-19 14:45:00,11057.31,11059.01,11065.77,11052.9,0.01,1.43,153944,97061482.0,0.12,0.01
2025-08-19 14:50:00,11058.4,11060.39,11067.16,11057.44,0.01,1.38,223788,150651760.0,0.09,0.01
2025-08-19 14:55:00,11059.45,11060.87,11064.15,11053.43,0.0,0.48,336858,233407230.0,0.1,0.02
2025-08-19 15:00:00,11059.85,11065.79,11068.08,11058.88,0.04,4.92,363325,209234584.0,0.08,0.02
2025-08-20 09:35:00,11055.59,11035.4,11056.79,11016.22,-0.27,-30.39,744765,466286125.0,0.37,0.05
2025-08-20 09:40:00,11035.18,11040.89,11047.23,11033.27,0.05,5.49,309832,208277100.0,0.13,0.02
2025-08-20 09:45:00,11040.23,11045.8,11057.96,11037.99,0.04,4.91,318691,197998942.0,0.18,0.02
2025-08-20 09:50:00,11045.93,11051.19,11059.26,11044.56,0.05,5.39,280667,191449185.0,0.13,0.02
2025-08-20 09:55:00,11049.3,11055.22,11066.32,11049.3,0.04,4.03,411452,217005865.0,0.15,0.03
2025-08-20 10:00:00,11054.54,11050.19,11057.77,11045.77,-0.05,-5.03,278351,169460785.0,0.11,0.02
2025-08-20 10:05:00,11052.72,11045.33,11055.05,11043.66,-0.04,-4.86,236434,144049392.0,0.1,0.02
2025-08-20 10:10:00,11047.24,11053.49,11059.24,11045.04,0.07,8.16,178354,117231192.0,0.13,0.01
2025-08-20 10:15:00,11053.65,11050.02,11057.47,11046.1,-0.03,-3.47,138975,92875924.0,0.1,0.01
2025-08-20 10:20:00,11048.82,11050.83,11054.49,11041.58,0.01,0.81,173276,118841947.0,0.12,0.01
2025-08-20 10:25:00,11048.01,11046.81,11055.27,11039.2,-0.04,-4.02,229193,135397376.0,0.15,0.02
2025-08-20 10:30:00,11043.01,11048.48,11053.83,11040.75,0.02,1.67,154033,98632496.0,0.12,0.01
2025-08-20 10:35:00,11046.33,11059.21,11067.03,11046.33,0.1,10.73,235056,166091926.0,0.19,0.02
2025-08-20 10:40:00,11061.11,11068.97,11074.2,11059.8,0.09,9.76,231925,155107849.0,0.13,0.02
2025-08-20 10:45:00,11072.0,11071.67,11074.55,11065.78,0.02,2.7,145514,85853589.0,0.08,0.01
2025-08-20 10:50:00,11069.71,11070.87,11075.09,11066.56,-0.01,-0.8,117400,74024225.0,0.08,0.01
2025-08-20 10:55:00,11069.4,11071.02,11073.23,11064.22,0.0,0.15,152950,103244524.0,0.08,0.01
2025-08-20 11:00:00,11068.78,11065.47,11074.88,11060.83,-0.05,-5.55,232415,175373375.0,0.13,0.02
2025-08-20 11:05:00,11066.15,11063.56,11069.19,11054.94,-0.02,-1.91,197388,174781462.0,0.13,0.01
2025-08-20 11:10:00,11063.31,11065.22,11069.13,11057.15,0.02,1.66,185817,164576531.0,0.11,0.01
2025-08-20 11:15:00,11064.19,11067.19,11072.15,11061.17,0.02,1.97,361505,173959338.0,0.1,0.02
2025-08-20 11:20:00,11070.58,11054.09,11070.58,11048.49,-0.12,-13.1,238616,133883841.0,0.2,0.02
2025-08-20 11:25:00,11052.29,11041.78,11057.25,11041.39,-0.11,-12.31,222239,110106216.0,0.14,0.01
2025-08-20 11:30:00,11044.33,11043.2,11045.52,11026.28,0.01,1.42,449196,187179469.0,0.17,0.03
2025-08-20 13:05:00,11043.2,11043.86,11053.98,11040.23,0.01,0.66,182273,108896693.0,0.12,0.01
2025-08-20 13:10:00,11046.09,11040.48,11049.39,11037.92,-0.03,-3.38,111121,63008121.0,0.1,0.01
2025-08-20 13:15:00,11040.28,11054.86,11060.28,11040.28,0.13,14.38,175136,101804112.0,0.18,0.01
2025-08-20 13:20:00,11054.48,11055.25,11059.43,11047.63,0.0,0.39,189781,96309092.0,0.11,0.01
2025-08-20 13:25:00,11055.08,11058.44,11063.75,11051.31,0.03,3.19,143773,90703721.0,0.11,0.01
2025-08-20 13:30:00,11057.25,11065.18,11067.92,11057.25,0.06,6.74,387070,178810658.0,0.1,0.03
2025-08-20 13:35:00,11063.57,11063.54,11068.13,11059.74,-0.01,-1.64,112359,74277635.0,0.08,0.01
2025-08-20 13:40:00,11063.03,11062.52,11069.7,11056.52,-0.01,-1.02,115797,77764784.0,0.12,0.01
