日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,615.08,614.97,615.63,614.25,0.27,1.63,384021,408582382.0,0.22,0.18
2025-08-19 09:40:00,614.92,616.21,616.22,614.75,0.2,1.24,181490,227532426.0,0.24,0.09
2025-08-19 09:45:00,616.16,616.39,616.94,615.72,0.03,0.18,242216,200716113.0,0.2,0.12
2025-08-19 09:50:00,616.45,616.64,617.62,616.32,0.04,0.25,156812,230453624.0,0.21,0.08
2025-08-19 09:55:00,616.59,617.4,617.56,616.59,0.12,0.76,126591,147528940.0,0.16,0.06
2025-08-19 10:00:00,617.17,617.94,618.42,617.17,0.09,0.54,151066,124642557.0,0.2,0.07
2025-08-19 10:05:00,617.94,616.21,618.14,616.01,-0.28,-1.73,133400,139465313.0,0.34,0.06
2025-08-19 10:10:00,616.31,617.07,617.17,615.46,0.14,0.86,152299,177660238.0,0.28,0.07
2025-08-19 10:15:00,617.08,617.18,617.28,616.54,0.02,0.11,202543,137482145.0,0.12,0.1
2025-08-19 10:20:00,617.2,617.93,618.15,617.2,0.12,0.75,106480,121492989.0,0.15,0.05
2025-08-19 10:25:00,617.85,617.96,618.14,617.55,0.0,0.03,80650,80608521.0,0.1,0.04
2025-08-19 10:30:00,618.07,619.04,619.26,617.89,0.17,1.08,84590,79833046.0,0.22,0.04
2025-08-19 10:35:00,618.95,620.13,620.64,618.95,0.18,1.09,134998,132167683.0,0.27,0.06
2025-08-19 10:40:00,620.22,620.55,620.74,619.99,0.07,0.42,52367,55032199.0,0.12,0.03
2025-08-19 10:45:00,620.57,620.12,620.6,619.85,-0.07,-0.43,46739,58199618.0,0.12,0.02
2025-08-19 10:50:00,620.01,620.51,620.65,619.67,0.06,0.39,85057,108792533.0,0.16,0.04
2025-08-19 10:55:00,620.52,621.38,621.71,620.51,0.14,0.87,133617,195172073.0,0.19,0.06
2025-08-19 11:00:00,621.39,621.53,622.04,621.3,0.02,0.15,71030,93293145.0,0.12,0.03
2025-08-19 11:05:00,621.68,621.78,622.04,621.52,0.04,0.25,51816,63489047.0,0.08,0.02
2025-08-19 11:10:00,621.86,622.45,622.53,621.73,0.11,0.67,55202,62220647.0,0.13,0.03
2025-08-19 11:15:00,622.46,622.33,622.46,621.8,-0.02,-0.12,62454,68184078.0,0.11,0.03
2025-08-19 11:20:00,622.28,622.42,622.73,621.99,0.01,0.09,53145,46908671.0,0.12,0.03
2025-08-19 11:25:00,622.31,622.46,622.59,622.19,0.01,0.04,61345,48565162.0,0.06,0.03
