日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1591.25,1595.5,1595.76,1587.52,0.13,2.13,2834072,5113825728.0,0.52,0.74
2025-08-19 09:40:00,1595.51,1598.78,1598.78,1593.47,0.21,3.28,1220332,2512671472.0,0.33,0.32
2025-08-19 09:45:00,1598.81,1601.59,1603.0,1595.28,0.18,2.81,987335,2112524944.0,0.48,0.26
2025-08-19 09:50:00,1601.59,1601.33,1602.6,1600.05,-0.02,-0.26,892310,1845950304.0,0.16,0.23
2025-08-19 09:55:00,1601.09,1602.03,1603.12,1600.93,0.04,0.7,773291,1734310478.0,0.14,0.2
2025-08-19 10:00:00,1601.99,1597.71,1602.15,1597.71,-0.27,-4.32,808852,1650677712.0,0.28,0.21
2025-08-19 10:05:00,1597.61,1589.21,1597.83,1589.21,-0.53,-8.5,946502,2174011936.0,0.54,0.25
2025-08-19 10:10:00,1589.27,1593.09,1593.16,1585.08,0.24,3.88,812378,1961592052.0,0.51,0.21
2025-08-19 10:15:00,1593.13,1591.67,1594.24,1591.67,-0.09,-1.42,469428,1130896437.0,0.16,0.12
2025-08-19 10:20:00,1591.74,1589.92,1592.69,1589.73,-0.11,-1.75,453145,1125385563.0,0.19,0.12
2025-08-19 10:25:00,1589.9,1589.32,1590.14,1588.58,-0.04,-0.6,428890,1051292423.0,0.1,0.11
2025-08-19 10:30:00,1589.42,1594.81,1595.28,1589.42,0.35,5.49,569257,1139868230.0,0.37,0.15
2025-08-19 10:35:00,1594.85,1597.24,1597.52,1594.85,0.15,2.43,334345,709306859.0,0.17,0.09
2025-08-19 10:40:00,1597.22,1598.19,1598.47,1597.11,0.06,0.95,460580,824573779.0,0.09,0.12
2025-08-19 10:45:00,1598.11,1596.19,1598.11,1595.71,-0.13,-2.0,448398,801350118.0,0.15,0.12
2025-08-19 10:50:00,1596.18,1596.21,1596.45,1595.11,0.0,0.02,326985,690676378.0,0.08,0.09
2025-08-19 10:55:00,1596.22,1596.88,1597.5,1596.08,0.04,0.67,298769,576401203.0,0.09,0.08
2025-08-19 11:00:00,1596.9,1596.29,1597.58,1595.97,-0.04,-0.59,237706,479805490.0,0.1,0.06
2025-08-19 11:05:00,1596.32,1600.19,1600.36,1596.27,0.24,3.9,274289,563780729.0,0.26,0.07
2025-08-19 11:10:00,1600.31,1600.69,1601.14,1599.67,0.03,0.5,330324,576381471.0,0.09,0.09
2025-08-19 11:15:00,1600.87,1603.87,1604.13,1600.87,0.2,3.18,199532,469155438.0,0.2,0.05
