日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,167223.72,168186.06,168442.81,167037.19,0.12,194.83,6853935,7248508992.0,0.84,0.27
2025-08-19 09:40:00,168165.48,167714.94,168599.94,167669.58,-0.28,-471.12,3817365,4299481424.0,0.55,0.15
2025-08-19 09:45:00,167680.94,167787.72,167953.78,167501.64,0.04,72.78,2569048,2911277616.0,0.27,0.1
2025-08-19 09:50:00,167810.98,166951.53,168047.84,166951.53,-0.5,-836.19,2550466,2856216128.0,0.65,0.1
2025-08-19 09:55:00,166965.89,167180.41,167430.23,166938.2,0.14,228.88,1973726,2084816400.0,0.29,0.08
2025-08-19 10:00:00,167183.11,166810.81,167384.17,166810.81,-0.22,-369.6,2040579,2127601856.0,0.34,0.08
2025-08-19 10:05:00,166809.7,166153.25,166913.39,166153.25,-0.39,-657.56,2598171,2887768576.0,0.46,0.1
2025-08-19 10:10:00,166143.72,166665.25,166718.25,165859.98,0.31,512.0,2303036,2445016736.0,0.52,0.09
2025-08-19 10:15:00,166682.78,166936.59,167189.45,166655.5,0.16,271.34,1269089,1388009297.0,0.32,0.05
2025-08-19 10:20:00,166944.63,166744.11,167187.03,166712.59,-0.12,-192.48,1160798,1430764286.0,0.28,0.05
2025-08-19 10:25:00,166779.11,166421.48,166880.09,166349.47,-0.19,-322.63,1054580,1212066017.0,0.32,0.04
2025-08-19 10:30:00,166490.7,167014.94,167161.23,166490.7,0.36,593.46,950727,1010379461.0,0.4,0.04
2025-08-19 10:35:00,166978.0,167106.75,167150.11,166802.63,0.05,91.81,724115,804473276.0,0.21,0.03
2025-08-19 10:40:00,167119.67,167036.94,167335.41,166995.03,-0.04,-69.81,818466,889177464.0,0.2,0.03
2025-08-19 10:45:00,167028.27,167026.36,167226.73,166992.67,-0.01,-10.58,784097,795004586.0,0.14,0.03
2025-08-19 10:50:00,167021.36,166867.66,167061.28,166710.84,-0.1,-158.7,839433,940028236.0,0.21,0.03
2025-08-19 10:55:00,166862.75,166730.88,166915.59,166651.31,-0.08,-136.78,685465,822126180.0,0.16,0.03
2025-08-19 11:00:00,166723.66,166843.83,167006.52,166685.63,0.07,112.95,773168,781619186.0,0.19,0.03
2025-08-19 11:05:00,166814.44,167082.52,167196.05,166814.44,0.14,238.69,623198,738969352.0,0.23,0.02
2025-08-19 11:10:00,167062.7,167103.7,167148.66,166985.92,0.01,21.18,542187,612009813.0,0.1,0.02
2025-08-19 11:15:00,167096.73,167269.55,167410.27,167079.58,0.1,165.85,584619,706493552.0,0.2,0.02
2025-08-19 11:20:00,167301.91,166911.2,167305.19,166911.2,-0.21,-358.35,694146,805468354.0,0.24,0.03
