日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1485.35,1485.49,1487.77,1484.59,-0.53,-7.99,347329,479879957.0,0.21,0.18
2025-08-19 09:40:00,1485.31,1484.69,1488.29,1484.69,-0.05,-0.8,169623,243875254.0,0.24,0.09
2025-08-19 09:45:00,1484.58,1484.02,1485.91,1484.02,-0.05,-0.67,154640,245241408.0,0.13,0.08
2025-08-19 09:50:00,1484.06,1482.2,1484.98,1481.96,-0.12,-1.82,182496,241757664.0,0.2,0.09
2025-08-19 09:55:00,1482.1,1480.94,1482.23,1480.68,-0.09,-1.26,187253,245171293.0,0.1,0.1
2025-08-19 10:00:00,1480.4,1479.89,1482.43,1479.87,-0.07,-1.05,170499,232522435.0,0.17,0.09
2025-08-19 10:05:00,1479.91,1477.71,1480.49,1477.49,-0.15,-2.18,185569,273807000.0,0.2,0.09
2025-08-19 10:10:00,1477.74,1477.62,1478.57,1475.66,-0.01,-0.09,186870,275920078.0,0.2,0.1
2025-08-19 10:15:00,1477.39,1476.77,1477.78,1476.31,-0.06,-0.85,81537,122135993.0,0.1,0.04
2025-08-19 10:20:00,1476.37,1474.29,1476.69,1474.25,-0.17,-2.48,109431,157704922.0,0.17,0.06
2025-08-19 10:25:00,1474.14,1475.43,1475.43,1473.93,0.08,1.14,83215,121423225.0,0.1,0.04
2025-08-19 10:30:00,1475.24,1477.2,1477.29,1475.03,0.12,1.77,61612,86679746.0,0.15,0.03
2025-08-19 10:35:00,1477.33,1477.14,1478.18,1476.73,0.0,-0.06,57875,80452142.0,0.1,0.03
2025-08-19 10:40:00,1477.42,1477.85,1478.44,1477.01,0.05,0.71,50526,81521770.0,0.1,0.03
2025-08-19 10:45:00,1477.46,1479.52,1479.58,1477.2,0.11,1.67,52821,86429843.0,0.16,0.03
2025-08-19 10:50:00,1479.07,1479.15,1479.5,1478.17,-0.03,-0.37,45719,71660956.0,0.09,0.02
2025-08-19 10:55:00,1479.03,1477.95,1479.16,1477.53,-0.08,-1.2,56643,91068660.0,0.11,0.03
2025-08-19 11:00:00,1477.61,1477.86,1478.16,1477.14,-0.01,-0.09,38926,51888271.0,0.07,0.02
2025-08-19 11:05:00,1477.8,1478.01,1478.54,1477.8,0.01,0.15,30669,49490184.0,0.05,0.02
2025-08-19 11:10:00,1478.13,1478.38,1478.83,1477.16,0.03,0.37,60220,79792540.0,0.11,0.03
2025-08-19 11:15:00,1478.38,1480.14,1480.25,1478.23,0.12,1.76,52345,72753051.0,0.14,0.03
2025-08-19 11:20:00,1480.21,1482.82,1482.96,1479.71,0.18,2.68,65971,102268877.0,0.22,0.03
2025-08-19 11:25:00,1482.67,1485.05,1486.0,1481.99,0.15,2.23,64388,98691842.0,0.27,0.03
2025-08-19 11:30:00,1484.94,1483.7,1486.82,1483.7,-0.09,-1.35,140034,137818178.0,0.21,0.07
2025-08-19 13:05:00,1483.7,1486.67,1486.67,1483.46,0.2,2.97,120838,176622682.0,0.22,0.06
2025-08-19 13:10:00,1486.63,1484.46,1487.04,1484.46,-0.15,-2.21,59855,92236287.0,0.17,0.03
2025-08-19 13:15:00,1484.92,1483.14,1485.04,1483.14,-0.09,-1.32,60483,93758099.0,0.13,0.03
2025-08-19 13:20:00,1482.93,1485.17,1485.74,1482.92,0.14,2.03,55588,83676462.0,0.19,0.03
2025-08-19 13:25:00,1484.84,1485.47,1486.15,1484.84,0.02,0.3,85548,93014774.0,0.09,0.04
2025-08-19 13:30:00,1485.47,1484.6,1485.53,1484.3,-0.06,-0.87,36728,64061759.0,0.08,0.02
2025-08-19 13:35:00,1484.59,1483.28,1485.13,1483.14,-0.09,-1.32,38874,62454753.0,0.13,0.02
2025-08-19 13:40:00,1483.39,1484.8,1484.93,1482.86,0.1,1.52,39880,67208081.0,0.14,0.02
2025-08-19 13:45:00,1484.7,1483.94,1484.7,1483.74,-0.06,-0.86,43811,61757210.0,0.06,0.02
2025-08-19 13:50:00,1484.24,1482.65,1484.24,1482.47,-0.09,-1.29,40503,64570167.0,0.12,0.02
2025-08-19 13:55:00,1482.72,1481.2,1483.05,1480.73,-0.1,-1.45,36345,63096871.0,0.16,0.02
2025-08-19 14:00:00,1481.51,1480.12,1481.82,1479.52,-0.07,-1.08,50131,71971813.0,0.16,0.03
2025-08-19 14:05:00,1480.16,1482.94,1482.94,1479.77,0.19,2.82,39301,58497974.0,0.21,0.02
2025-08-19 14:10:00,1482.66,1483.29,1483.88,1482.53,0.02,0.35,39348,63469667.0,0.09,0.02
2025-08-19 14:15:00,1483.51,1482.65,1483.51,1482.16,-0.04,-0.64,32322,59545710.0,0.09,0.02
2025-08-19 14:20:00,1482.65,1480.95,1482.91,1480.73,-0.11,-1.7,41191,62089694.0,0.15,0.02
2025-08-19 14:25:00,1480.95,1480.98,1481.58,1480.43,0.0,0.03,39005,65889453.0,0.08,0.02
2025-08-19 14:30:00,1480.75,1480.5,1480.95,1478.97,-0.03,-0.48,65974,99926733.0,0.13,0.03
2025-08-19 14:35:00,1480.57,1481.39,1481.97,1480.31,0.06,0.89,38746,72529969.0,0.11,0.02
2025-08-19 14:40:00,1481.66,1482.21,1483.05,1481.32,0.06,0.82,54399,87198503.0,0.12,0.03
2025-08-19 14:45:00,1482.21,1482.41,1482.7,1481.51,0.01,0.2,57554,87288720.0,0.08,0.03
2025-08-19 14:50:00,1482.28,1481.16,1482.75,1480.79,-0.08,-1.25,88045,146974753.0,0.13,0.04
2025-08-19 14:55:00,1481.05,1480.72,1481.16,1480.14,-0.03,-0.44,105622,165573468.0,0.07,0.05
2025-08-19 15:00:00,1481.33,1481.56,1481.7,1480.78,0.06,0.84,89440,137142975.0,0.06,0.05
2025-08-20 09:35:00,1472.79,1480.14,1480.46,1470.06,-0.1,-1.42,432204,581068084.0,0.7,0.22
2025-08-20 09:40:00,1480.03,1480.17,1484.27,1479.73,0.0,0.03,264378,389329493.0,0.31,0.13
2025-08-20 09:45:00,1480.22,1481.3,1482.67,1480.13,0.08,1.13,172084,235851026.0,0.17,0.09
2025-08-20 09:50:00,1481.49,1487.1,1487.44,1481.06,0.39,5.8,181639,293308827.0,0.43,0.09
