日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,11121.33,11143.55,11150.54,11103.86,0.48,53.33,1025576,1192487078.0,0.42,0.32
2025-08-19 09:40:00,11144.89,11168.92,11174.33,11137.92,0.23,25.37,548814,607173413.0,0.33,0.17
2025-08-19 09:45:00,11170.52,11181.98,11192.47,11168.75,0.12,13.06,476645,481545163.0,0.21,0.15
2025-08-19 09:50:00,11182.6,11165.98,11191.78,11164.32,-0.14,-16.0,402257,377148709.0,0.25,0.13
2025-08-19 09:55:00,11163.19,11187.9,11190.21,11163.19,0.2,21.92,339344,340889095.0,0.24,0.11
2025-08-19 10:00:00,11188.5,11175.31,11189.47,11169.85,-0.11,-12.59,329027,374262733.0,0.18,0.1
2025-08-19 10:05:00,11172.71,11120.9,11174.52,11120.75,-0.49,-54.41,413573,440052081.0,0.48,0.13
2025-08-19 10:10:00,11119.94,11159.25,11160.02,11108.81,0.34,38.35,381292,377296964.0,0.46,0.12
2025-08-19 10:15:00,11159.26,11151.72,11166.95,11148.36,-0.07,-7.53,251192,232217275.0,0.17,0.08
2025-08-19 10:20:00,11152.87,11147.34,11170.5,11147.34,-0.04,-4.38,175811,192399569.0,0.21,0.05
2025-08-19 10:25:00,11148.81,11141.74,11151.02,11139.71,-0.05,-5.6,200765,198296157.0,0.1,0.06
2025-08-19 10:30:00,11142.98,11186.88,11187.32,11140.79,0.41,45.14,263555,324449289.0,0.42,0.08
2025-08-19 10:35:00,11187.4,11199.39,11200.18,11185.96,0.11,12.51,241136,247916468.0,0.13,0.08
2025-08-19 10:40:00,11201.25,11203.32,11203.45,11191.63,0.04,3.93,195160,193116592.0,0.11,0.06
2025-08-19 10:45:00,11205.38,11191.05,11205.38,11187.17,-0.11,-12.27,184286,185196569.0,0.16,0.06
2025-08-19 10:50:00,11190.83,11188.84,11192.41,11175.83,-0.02,-2.21,157362,166004495.0,0.15,0.05
2025-08-19 10:55:00,11186.51,11194.78,11197.36,11186.28,0.05,5.94,139601,157241994.0,0.1,0.04
2025-08-19 11:00:00,11195.16,11188.39,11198.53,11184.57,-0.06,-6.39,125865,144917899.0,0.12,0.04
2025-08-19 11:05:00,11188.33,11207.05,11211.27,11187.33,0.17,18.66,124980,126885751.0,0.21,0.04
2025-08-19 11:10:00,11208.9,11217.89,11221.96,11205.78,0.1,10.84,125398,128799248.0,0.14,0.04
2025-08-19 11:15:00,11218.6,11226.03,11227.82,11213.58,0.07,8.14,98975,107975904.0,0.13,0.03
2025-08-19 11:20:00,11225.27,11228.92,11239.28,11222.63,0.03,2.89,158971,148711955.0,0.15,0.05
2025-08-19 11:25:00,11228.7,11232.75,11235.3,11225.1,0.03,3.83,105197,108087531.0,0.09,0.03
2025-08-19 11:30:00,11232.91,11227.62,11236.97,11226.12,-0.05,-5.13,117765,109537970.0,0.1,0.04
2025-08-19 13:05:00,11227.62,11223.62,11234.7,11216.84,-0.04,-4.0,201293,201545334.0,0.16,0.06
2025-08-19 13:10:00,11222.46,11221.03,11227.59,11216.63,-0.02,-2.59,103486,113092011.0,0.1,0.03
2025-08-19 13:15:00,11221.14,11210.05,11224.57,11207.98,-0.1,-10.98,131905,118313745.0,0.15,0.04
2025-08-19 13:20:00,11210.0,11208.39,11219.27,11206.14,-0.01,-1.66,135537,135462490.0,0.12,0.04
2025-08-19 13:25:00,11210.29,11193.52,11211.7,11193.52,-0.13,-14.87,102567,115617779.0,0.16,0.03
2025-08-19 13:30:00,11193.33,11195.01,11198.18,11186.97,0.01,1.49,113727,119380842.0,0.1,0.04
2025-08-19 13:35:00,11196.09,11182.39,11199.76,11180.55,-0.11,-12.62,149217,147416023.0,0.17,0.05
2025-08-19 13:40:00,11182.67,11188.91,11188.91,11171.24,0.06,6.52,121772,129782015.0,0.16,0.04
2025-08-19 13:45:00,11187.45,11187.39,11189.57,11178.01,-0.01,-1.52,232737,162245420.0,0.1,0.07
2025-08-19 13:50:00,11188.54,11179.33,11191.12,11176.68,-0.07,-8.06,398557,260070758.0,0.13,0.12
2025-08-19 13:55:00,11180.33,11166.17,11182.25,11154.64,-0.12,-13.16,224540,208270543.0,0.25,0.07
2025-08-19 14:00:00,11167.12,11162.01,11173.89,11161.29,-0.04,-4.16,134465,121127967.0,0.11,0.04
2025-08-19 14:05:00,11160.9,11184.04,11184.04,11158.49,0.2,22.03,156487,139640590.0,0.23,0.05
2025-08-19 14:10:00,11184.04,11184.7,11191.52,11182.5,0.01,0.66,100700,100791453.0,0.08,0.03
2025-08-19 14:15:00,11188.19,11183.51,11188.19,11177.71,-0.01,-1.19,119994,98979801.0,0.09,0.04
2025-08-19 14:20:00,11183.76,11172.41,11187.98,11172.41,-0.1,-11.1,115307,111427334.0,0.14,0.04
2025-08-19 14:25:00,11174.42,11164.53,11175.72,11162.5,-0.07,-7.88,123160,116108244.0,0.12,0.04
2025-08-19 14:30:00,11162.96,11156.28,11163.99,11147.25,-0.07,-8.25,144622,141963793.0,0.15,0.05
2025-08-19 14:35:00,11158.13,11172.57,11174.46,11158.13,0.15,16.29,117245,110674988.0,0.15,0.04
2025-08-19 14:40:00,11173.66,11175.71,11181.14,11172.51,0.03,3.14,152409,131979796.0,0.08,0.05
2025-08-19 14:45:00,11175.2,11180.32,11180.85,11173.58,0.04,4.61,175062,147145783.0,0.07,0.05
2025-08-19 14:50:00,11180.73,11180.69,11186.51,11175.87,0.0,0.37,193556,175385620.0,0.1,0.06
2025-08-19 14:55:00,11180.37,11189.83,11189.83,11174.32,0.08,9.14,287884,306686609.0,0.14,0.09
2025-08-19 15:00:00,11187.96,11193.84,11198.1,11186.73,0.04,4.01,327721,323109494.0,0.1,0.1
2025-08-20 09:35:00,11183.67,11155.56,11184.27,11130.1,-0.34,-38.28,796081,835845690.0,0.48,0.25
2025-08-20 09:40:00,11154.9,11186.3,11187.48,11143.67,0.28,30.74,388092,395764891.0,0.39,0.12
2025-08-20 09:45:00,11184.04,11219.86,11223.78,11176.8,0.3,33.56,382194,363393268.0,0.42,0.12
2025-08-20 09:50:00,11221.16,11239.1,11242.05,11210.69,0.17,19.24,277776,293442108.0,0.28,0.09
2025-08-20 09:55:00,11239.04,11246.93,11261.76,11235.12,0.07,7.83,331643,335135498.0,0.24,0.1
2025-08-20 10:00:00,11247.26,11231.95,11247.26,11218.46,-0.13,-14.98,273044,281818372.0,0.26,0.09
2025-08-20 10:05:00,11233.78,11220.1,11233.98,11213.45,-0.11,-11.85,234675,220227735.0,0.18,0.07
2025-08-20 10:10:00,11221.28,11234.2,11238.64,11219.23,0.13,14.1,234438,246056560.0,0.17,0.07
2025-08-20 10:15:00,11236.84,11224.53,11238.3,11222.29,-0.09,-9.67,185100,182993026.0,0.14,0.06
2025-08-20 10:20:00,11224.84,11223.64,11226.95,11216.87,-0.01,-0.89,162396,154958486.0,0.09,0.05
2025-08-20 10:25:00,11222.14,11208.34,11223.8,11208.34,-0.14,-15.3,144951,134607981.0,0.14,0.05
2025-08-20 10:30:00,11205.43,11226.93,11227.63,11204.0,0.17,18.59,135214,144322220.0,0.21,0.04
2025-08-20 10:35:00,11225.78,11245.29,11245.55,11225.78,0.16,18.36,201426,158011346.0,0.18,0.06
2025-08-20 10:40:00,11244.38,11246.94,11250.74,11240.49,0.01,1.65,145263,146760621.0,0.09,0.05
2025-08-20 10:45:00,11245.72,11250.62,11254.96,11242.84,0.03,3.68,184106,156394061.0,0.11,0.06
2025-08-20 10:50:00,11247.96,11271.72,11273.54,11247.19,0.19,21.1,191834,213061844.0,0.23,0.06
2025-08-20 10:55:00,11274.27,11274.38,11278.7,11265.07,0.02,2.66,242253,288066240.0,0.12,0.08
2025-08-20 11:00:00,11273.49,11248.83,11274.44,11248.83,-0.23,-25.55,171584,210625070.0,0.23,0.05
2025-08-20 11:05:00,11250.53,11254.9,11254.95,11240.08,0.05,6.07,173489,187643765.0,0.13,0.05
2025-08-20 11:10:00,11252.98,11256.65,11260.8,11251.48,0.02,1.75,128047,136845608.0,0.08,0.04
2025-08-20 11:15:00,11255.97,11253.54,11257.14,11244.36,-0.03,-3.11,108863,135748076.0,0.11,0.03
2025-08-20 11:20:00,11252.82,11231.9,11252.95,11221.5,-0.19,-21.64,186879,182462079.0,0.28,0.06
2025-08-20 11:25:00,11233.01,11220.7,11242.78,11220.7,-0.1,-11.2,138996,145358911.0,0.2,0.04
2025-08-20 11:30:00,11222.58,11236.04,11236.91,11197.37,0.14,15.34,187680,202615658.0,0.35,0.06
2025-08-20 13:05:00,11236.04,11230.74,11249.99,11230.74,-0.05,-5.3,149185,161822193.0,0.17,0.05
2025-08-20 13:10:00,11231.46,11225.17,11234.62,11214.77,-0.05,-5.57,128052,124170265.0,0.18,0.04
2025-08-20 13:15:00,11226.22,11250.79,11257.86,11226.15,0.23,25.62,649663,432130716.0,0.28,0.2
2025-08-20 13:20:00,11250.46,11264.24,11267.58,11244.7,0.12,13.45,526016,348842889.0,0.2,0.16
2025-08-20 13:25:00,11263.74,11267.71,11270.74,11259.73,0.03,3.47,346361,253569965.0,0.1,0.11
2025-08-20 13:30:00,11267.66,11279.0,11281.52,11266.3,0.1,11.29,214820,227657516.0,0.14,0.07
2025-08-20 13:35:00,11280.75,11275.1,11282.61,11268.71,-0.03,-3.9,204580,212500729.0,0.12,0.06
2025-08-20 13:40:00,11275.45,11281.49,11287.49,11275.45,0.06,6.39,168524,160262034.0,0.11,0.05
2025-08-20 13:45:00,11281.38,11273.69,11285.83,11272.26,-0.07,-7.8,129055,129913048.0,0.12,0.04
2025-08-20 13:50:00,11272.49,11287.77,11289.95,11268.92,0.12,14.08,140889,135742104.0,0.19,0.04
2025-08-20 13:55:00,11287.54,11288.78,11290.26,11280.76,0.01,1.01,120268,120093713.0,0.08,0.04
2025-08-20 14:00:00,11289.9,11289.57,11289.9,11276.1,0.01,0.79,122879,112526444.0,0.12,0.04
2025-08-20 14:05:00,11289.08,11313.91,11315.67,11288.87,0.22,24.34,177442,164730014.0,0.24,0.06
2025-08-20 14:10:00,11314.88,11306.67,11316.22,11306.67,-0.06,-7.24,135132,138193545.0,0.08,0.04
2025-08-20 14:15:00,11308.1,11306.58,11315.8,11305.03,0.0,-0.09,132451,123513912.0,0.1,0.04
2025-08-20 14:20:00,11305.17,11317.9,11321.84,11304.67,0.1,11.32,220491,194740103.0,0.15,0.07
2025-08-20 14:25:00,11317.75,11313.54,11319.83,11306.8,-0.04,-4.36,154017,160863114.0,0.12,0.05
2025-08-20 14:30:00,11316.4,11320.89,11323.64,11308.14,0.06,7.35,147849,141916097.0,0.14,0.05
