日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,10463.17,10432.49,10463.17,10418.7,-0.18,-19.12,656363,568558020.0,0.43,0.21
2025-08-19 09:40:00,10428.08,10447.71,10453.1,10426.85,0.15,15.22,319233,338097477.0,0.25,0.1
2025-08-19 09:45:00,10448.1,10474.21,10480.04,10443.86,0.25,26.5,407435,306225594.0,0.35,0.13
2025-08-19 09:50:00,10477.3,10467.26,10478.7,10466.31,-0.07,-6.95,198761,215234642.0,0.12,0.06
2025-08-19 09:55:00,10465.24,10478.2,10481.52,10465.0,0.1,10.94,178395,181827856.0,0.16,0.06
2025-08-19 10:00:00,10478.59,10467.58,10483.79,10465.18,-0.1,-10.62,165668,165150615.0,0.18,0.05
2025-08-19 10:05:00,10468.26,10424.55,10468.26,10424.55,-0.41,-43.03,282863,265447800.0,0.42,0.09
2025-08-19 10:10:00,10423.5,10431.23,10431.35,10401.38,0.06,6.68,477228,316583179.0,0.29,0.15
2025-08-19 10:15:00,10431.5,10435.67,10445.73,10426.68,0.04,4.44,228333,199789094.0,0.18,0.07
2025-08-19 10:20:00,10433.96,10419.47,10436.94,10419.47,-0.16,-16.2,173398,142701378.0,0.17,0.06
2025-08-19 10:25:00,10418.58,10407.3,10421.34,10404.36,-0.12,-12.17,160547,139372759.0,0.16,0.05
2025-08-19 10:30:00,10407.92,10437.2,10438.22,10407.92,0.29,29.9,179359,138386616.0,0.29,0.06
2025-08-19 10:35:00,10435.52,10446.2,10452.42,10434.06,0.09,9.0,152181,121032048.0,0.18,0.05
2025-08-19 10:40:00,10446.42,10452.17,10453.27,10445.54,0.06,5.97,89522,94188041.0,0.07,0.03
2025-08-19 10:45:00,10453.06,10454.36,10462.09,10450.22,0.02,2.19,247600,129311420.0,0.11,0.08
2025-08-19 10:50:00,10454.73,10457.49,10462.58,10447.52,0.03,3.13,147851,94410147.0,0.14,0.05
2025-08-19 10:55:00,10456.14,10459.71,10468.75,10456.14,0.02,2.22,110557,114290208.0,0.12,0.04
2025-08-19 11:00:00,10459.74,10462.08,10466.81,10453.92,0.02,2.37,88380,94410373.0,0.12,0.03
2025-08-19 11:05:00,10462.53,10475.42,10478.33,10460.67,0.13,13.34,132529,101210702.0,0.17,0.04
2025-08-19 11:10:00,10474.71,10477.23,10482.7,10471.23,0.02,1.81,80993,71346108.0,0.11,0.03
2025-08-19 11:15:00,10479.15,10490.4,10494.96,10476.31,0.13,13.17,92561,116389413.0,0.18,0.03
2025-08-19 11:20:00,10489.96,10488.77,10493.9,10484.91,-0.02,-1.63,82741,81377066.0,0.09,0.03
2025-08-19 11:25:00,10489.7,10489.31,10491.6,10483.13,0.01,0.54,63972,61458735.0,0.08,0.02
2025-08-19 11:30:00,10488.33,10490.97,10493.29,10481.0,0.02,1.66,80562,77580217.0,0.12,0.03
2025-08-19 13:05:00,10490.97,10509.43,10512.77,10490.45,0.18,18.46,197936,181711766.0,0.21,0.06
2025-08-19 13:10:00,10511.18,10523.98,10528.45,10507.08,0.14,14.55,111945,132381809.0,0.2,0.04
2025-08-19 13:15:00,10524.17,10520.93,10529.95,10520.54,-0.03,-3.05,103915,104865626.0,0.09,0.03
2025-08-19 13:20:00,10522.4,10520.79,10532.68,10516.85,0.0,-0.14,238502,152261552.0,0.15,0.08
