日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1395.11,1393.14,1395.97,1390.69,-0.06,-0.82,426009,261728118.0,0.38,0.1
2025-08-19 09:40:00,1393.08,1395.34,1395.99,1392.88,0.16,2.2,226933,168324947.0,0.22,0.05
2025-08-19 09:45:00,1394.98,1397.06,1397.51,1394.36,0.12,1.72,185548,136930928.0,0.23,0.04
2025-08-19 09:50:00,1396.8,1397.14,1397.23,1395.39,0.01,0.08,173727,130296691.0,0.13,0.04
2025-08-19 09:55:00,1396.86,1399.16,1399.48,1396.29,0.14,2.02,147355,104731206.0,0.23,0.03
2025-08-19 10:00:00,1398.69,1397.89,1399.86,1397.11,-0.09,-1.27,196805,134356741.0,0.2,0.04
2025-08-19 10:05:00,1397.12,1392.42,1397.85,1392.16,-0.39,-5.47,244861,173876196.0,0.41,0.06
2025-08-19 10:10:00,1392.52,1391.68,1392.52,1388.93,-0.05,-0.74,200059,156900926.0,0.26,0.05
2025-08-19 10:15:00,1391.66,1390.59,1392.58,1390.08,-0.08,-1.09,108712,104222390.0,0.18,0.02
2025-08-19 10:20:00,1390.52,1388.06,1390.9,1387.57,-0.18,-2.53,105868,112614230.0,0.24,0.02
2025-08-19 10:25:00,1387.73,1386.6,1388.44,1386.24,-0.11,-1.46,115723,102629345.0,0.16,0.03
2025-08-19 10:30:00,1386.73,1389.55,1390.28,1386.73,0.21,2.95,81385,75433856.0,0.26,0.02
2025-08-19 10:35:00,1389.75,1392.35,1393.1,1389.75,0.2,2.8,105719,75057524.0,0.24,0.02
2025-08-19 10:40:00,1392.75,1393.16,1394.45,1392.75,0.06,0.81,69299,56343000.0,0.12,0.02
2025-08-19 10:45:00,1393.18,1393.99,1394.51,1392.63,0.06,0.83,58525,56107845.0,0.13,0.01
2025-08-19 10:50:00,1393.9,1395.03,1395.06,1392.74,0.07,1.04,55116,46112560.0,0.17,0.01
2025-08-19 10:55:00,1394.95,1394.44,1395.45,1393.7,-0.04,-0.59,104635,59560993.0,0.13,0.02
2025-08-19 11:00:00,1394.72,1394.6,1395.43,1393.76,0.01,0.16,82218,53148508.0,0.12,0.02
2025-08-19 11:05:00,1394.38,1395.66,1396.2,1393.83,0.08,1.06,73238,53253798.0,0.17,0.02
2025-08-19 11:10:00,1396.07,1395.15,1396.24,1394.58,-0.04,-0.51,74776,46425663.0,0.12,0.02
2025-08-19 11:15:00,1395.25,1395.82,1396.07,1394.77,0.05,0.67,52370,41181444.0,0.09,0.01
2025-08-19 11:20:00,1395.87,1396.07,1396.91,1395.1,0.02,0.25,76726,43722243.0,0.13,0.02
2025-08-19 11:25:00,1395.97,1397.1,1397.79,1395.97,0.07,1.03,50026,44843615.0,0.13,0.01
2025-08-19 11:30:00,1397.37,1396.15,1397.76,1395.81,-0.07,-0.95,53601,41793961.0,0.14,0.01
2025-08-19 13:05:00,1396.15,1396.41,1397.45,1395.06,0.02,0.26,123749,80276580.0,0.17,0.03
2025-08-19 13:10:00,1396.15,1396.08,1397.38,1395.33,-0.02,-0.33,67719,52360132.0,0.15,0.02
2025-08-19 13:15:00,1396.23,1395.86,1397.22,1395.37,-0.02,-0.22,57130,44974825.0,0.13,0.01
2025-08-19 13:20:00,1396.11,1396.51,1397.66,1395.49,0.05,0.65,98443,58368778.0,0.16,0.02
2025-08-19 13:25:00,1396.62,1396.36,1397.02,1395.74,-0.01,-0.15,61601,47790995.0,0.09,0.01
2025-08-19 13:30:00,1396.4,1395.65,1396.41,1395.15,-0.05,-0.71,61780,48554036.0,0.09,0.01
2025-08-19 13:35:00,1395.6,1393.31,1395.79,1392.93,-0.17,-2.34,75894,62141149.0,0.2,0.02
2025-08-19 13:40:00,1393.06,1394.54,1395.02,1391.95,0.09,1.23,128304,83156431.0,0.22,0.03
2025-08-19 13:45:00,1394.85,1395.4,1396.11,1394.55,0.06,0.86,79532,63945180.0,0.11,0.02
2025-08-19 13:50:00,1395.2,1394.34,1395.57,1393.83,-0.08,-1.06,49928,42927114.0,0.12,0.01
2025-08-19 13:55:00,1394.43,1392.96,1394.88,1391.47,-0.1,-1.38,117846,85783696.0,0.24,0.03
2025-08-19 14:00:00,1392.83,1392.38,1393.17,1392.02,-0.04,-0.58,51235,41721333.0,0.08,0.01
2025-08-19 14:05:00,1392.59,1394.66,1394.79,1392.11,0.16,2.28,69645,49093425.0,0.19,0.02
2025-08-19 14:10:00,1394.33,1395.18,1395.86,1394.16,0.04,0.52,63665,44080222.0,0.12,0.01
2025-08-19 14:15:00,1395.16,1394.39,1395.16,1393.29,-0.06,-0.79,86944,53549382.0,0.13,0.02
2025-08-19 14:20:00,1394.59,1392.89,1394.98,1392.89,-0.11,-1.5,56018,40134894.0,0.15,0.01
2025-08-19 14:25:00,1392.92,1391.57,1393.45,1391.19,-0.09,-1.32,87837,60598839.0,0.16,0.02
2025-08-19 14:30:00,1391.55,1391.7,1391.79,1389.94,0.01,0.13,68309,58419952.0,0.13,0.02
2025-08-19 14:35:00,1391.72,1393.01,1393.59,1391.66,0.09,1.31,64304,58127847.0,0.14,0.01
2025-08-19 14:40:00,1393.11,1392.89,1393.7,1392.2,-0.01,-0.12,70771,56289401.0,0.11,0.02
2025-08-19 14:45:00,1393.1,1393.84,1394.09,1392.3,0.07,0.95,76275,59341683.0,0.13,0.02
2025-08-19 14:50:00,1393.47,1394.44,1394.92,1393.38,0.04,0.6,107526,70299841.0,0.11,0.02
2025-08-19 14:55:00,1394.53,1393.89,1394.9,1393.61,-0.04,-0.55,210917,128452405.0,0.09,0.05
2025-08-19 15:00:00,1394.02,1394.46,1395.23,1393.82,0.04,0.57,136216,90342922.0,0.1,0.03
2025-08-20 09:35:00,1395.3,1400.91,1401.14,1391.53,0.46,6.45,617986,394154331.0,0.69,0.14
2025-08-20 09:40:00,1400.9,1400.93,1402.5,1398.7,0.0,0.02,366082,232364855.0,0.27,0.08
2025-08-20 09:45:00,1401.19,1403.01,1405.83,1400.73,0.15,2.08,236156,202561008.0,0.36,0.05
2025-08-20 09:50:00,1402.81,1402.71,1403.07,1401.16,-0.02,-0.3,169024,142955353.0,0.14,0.04
2025-08-20 09:55:00,1402.69,1405.15,1406.19,1402.53,0.17,2.44,266326,178213430.0,0.26,0.06
2025-08-20 10:00:00,1405.21,1406.57,1407.31,1404.04,0.1,1.42,170836,149072547.0,0.23,0.04
2025-08-20 10:05:00,1406.73,1409.23,1410.75,1406.24,0.19,2.66,166013,184635765.0,0.32,0.04
2025-08-20 10:10:00,1408.88,1412.22,1413.38,1408.88,0.21,2.99,283321,214694634.0,0.32,0.06
2025-08-20 10:15:00,1412.17,1411.87,1412.86,1410.71,-0.02,-0.35,178978,149441973.0,0.15,0.04
2025-08-20 10:20:00,1412.13,1412.38,1413.0,1411.03,0.04,0.51,119760,103047779.0,0.14,0.03
2025-08-20 10:25:00,1412.29,1410.83,1412.64,1410.36,-0.11,-1.55,118349,91873391.0,0.16,0.03
2025-08-20 10:30:00,1410.78,1412.67,1412.78,1410.11,0.13,1.84,102346,83408773.0,0.19,0.02
2025-08-20 10:35:00,1412.08,1413.13,1413.57,1411.77,0.03,0.46,100797,71890434.0,0.13,0.02
2025-08-20 10:40:00,1413.21,1412.28,1413.38,1411.52,-0.06,-0.85,273763,100938041.0,0.13,0.06
2025-08-20 10:45:00,1412.23,1411.4,1412.65,1410.81,-0.06,-0.88,85881,49854234.0,0.13,0.02
2025-08-20 10:50:00,1411.46,1411.99,1411.99,1410.52,0.04,0.59,61786,63795799.0,0.1,0.01
2025-08-20 10:55:00,1411.53,1410.25,1411.86,1409.71,-0.12,-1.74,72203,58360863.0,0.15,0.02
2025-08-20 11:00:00,1410.21,1408.01,1410.31,1407.78,-0.16,-2.24,53092,50958017.0,0.18,0.01
2025-08-20 11:05:00,1407.9,1407.9,1408.02,1406.02,-0.01,-0.11,69740,59617312.0,0.14,0.02
2025-08-20 11:10:00,1407.72,1408.39,1409.04,1407.63,0.03,0.49,61741,53104372.0,0.1,0.01
2025-08-20 11:15:00,1408.56,1408.01,1409.22,1407.26,-0.03,-0.38,47624,36312267.0,0.14,0.01
2025-08-20 11:20:00,1408.26,1404.58,1408.35,1403.74,-0.24,-3.43,114218,79529229.0,0.33,0.03
2025-08-20 11:25:00,1404.77,1402.17,1405.81,1402.14,-0.17,-2.41,98652,66454537.0,0.26,0.02
2025-08-20 11:30:00,1401.94,1402.46,1402.66,1398.54,0.02,0.29,172442,102562486.0,0.29,0.04
2025-08-20 13:05:00,1402.46,1401.51,1402.7,1400.3,-0.07,-0.95,99663,70577056.0,0.17,0.02
2025-08-20 13:10:00,1401.5,1401.3,1402.47,1400.62,-0.01,-0.21,144550,86803010.0,0.13,0.03
2025-08-20 13:15:00,1401.11,1403.19,1403.78,1400.99,0.13,1.89,63044,53191939.0,0.2,0.01
2025-08-20 13:20:00,1403.71,1403.79,1404.08,1402.21,0.04,0.6,55008,41806385.0,0.13,0.01
2025-08-20 13:25:00,1403.53,1403.99,1404.27,1402.85,0.01,0.2,69488,46012221.0,0.1,0.02
2025-08-20 13:30:00,1403.96,1402.94,1404.1,1402.08,-0.07,-1.05,60494,50396086.0,0.14,0.01
2025-08-20 13:35:00,1403.16,1402.89,1403.71,1402.07,0.0,-0.05,62906,42782712.0,0.12,0.01
2025-08-20 13:40:00,1402.89,1403.22,1403.78,1401.72,0.02,0.33,54335,44345824.0,0.15,0.01
2025-08-20 13:45:00,1403.16,1402.19,1403.36,1401.54,-0.07,-1.03,57614,39452786.0,0.13,0.01
2025-08-20 13:50:00,1402.35,1402.26,1403.07,1401.25,0.0,0.07,65177,45948367.0,0.13,0.01
2025-08-20 13:55:00,1402.41,1402.45,1403.24,1401.95,0.01,0.19,44617,33055485.0,0.09,0.01
2025-08-20 14:00:00,1402.22,1402.86,1403.44,1401.93,0.03,0.41,46382,37219734.0,0.11,0.01
2025-08-20 14:05:00,1402.94,1405.86,1405.91,1402.94,0.21,3.0,76798,56737969.0,0.21,0.02
