日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,9210.59,9201.92,9211.85,9192.5,-0.01,-1.13,370644,252396595.0,0.21,0.04
2025-08-19 09:40:00,9202.98,9219.71,9222.7,9198.24,0.19,17.79,254905,182754328.0,0.27,0.03
2025-08-19 09:45:00,9220.58,9219.87,9226.41,9217.26,0.0,0.16,269815,189295244.0,0.1,0.03
2025-08-19 09:50:00,9220.14,9214.71,9224.75,9213.22,-0.06,-5.16,247538,160498605.0,0.13,0.02
2025-08-19 09:55:00,9214.83,9222.93,9222.93,9212.55,0.09,8.22,195760,122348780.0,0.11,0.02
2025-08-19 10:00:00,9222.34,9226.61,9232.61,9221.1,0.04,3.68,162690,119921627.0,0.12,0.02
2025-08-19 10:05:00,9228.3,9215.06,9232.83,9214.51,-0.13,-11.55,199210,154234682.0,0.2,0.02
2025-08-19 10:10:00,9214.51,9214.27,9215.94,9206.04,-0.01,-0.79,172535,131870735.0,0.11,0.02
2025-08-19 10:15:00,9216.24,9218.69,9224.15,9212.46,0.05,4.42,133698,104666554.0,0.13,0.01
2025-08-19 10:20:00,9218.55,9220.43,9222.21,9213.7,0.02,1.74,104994,82344406.0,0.09,0.01
2025-08-19 10:25:00,9221.38,9209.43,9221.38,9207.58,-0.12,-11.0,109184,84319437.0,0.15,0.01
2025-08-19 10:30:00,9210.72,9214.91,9220.37,9208.14,0.06,5.48,117449,79162282.0,0.13,0.01
2025-08-19 10:35:00,9214.5,9222.31,9225.75,9213.01,0.08,7.4,96215,67435460.0,0.14,0.01
2025-08-19 10:40:00,9224.37,9224.38,9228.86,9219.97,0.02,2.07,132762,76137628.0,0.1,0.01
2025-08-19 10:45:00,9227.41,9217.88,9230.25,9217.66,-0.07,-6.5,72019,50102394.0,0.14,0.01
2025-08-19 10:50:00,9218.28,9214.66,9221.05,9214.66,-0.03,-3.22,79953,57934554.0,0.07,0.01
2025-08-19 10:55:00,9215.13,9212.57,9218.95,9209.57,-0.02,-2.09,71372,50122037.0,0.1,0.01
2025-08-19 11:00:00,9212.66,9215.76,9218.55,9210.46,0.03,3.19,65890,47878386.0,0.09,0.01
2025-08-19 11:05:00,9215.24,9219.24,9220.59,9212.36,0.04,3.48,82911,59985732.0,0.09,0.01
2025-08-19 11:10:00,9218.21,9219.99,9222.58,9211.25,0.01,0.75,75623,51777895.0,0.12,0.01
2025-08-19 11:15:00,9217.91,9219.97,9225.09,9214.73,0.0,-0.02,61063,43659222.0,0.11,0.01
2025-08-19 11:20:00,9218.14,9220.91,9225.5,9216.71,0.01,0.94,161372,95471491.0,0.1,0.02
2025-08-19 11:25:00,9219.73,9218.92,9224.37,9218.92,-0.02,-1.99,175356,107887659.0,0.06,0.02
2025-08-19 11:30:00,9217.47,9219.99,9223.04,9215.57,0.01,1.07,221524,126431355.0,0.08,0.02
2025-08-19 13:05:00,9219.99,9219.36,9224.66,9214.04,-0.01,-0.63,231370,135714819.0,0.12,0.02
2025-08-19 13:10:00,9219.13,9216.76,9221.6,9215.55,-0.03,-2.6,114810,73307232.0,0.07,0.01
2025-08-19 13:15:00,9214.93,9214.7,9220.74,9210.25,-0.02,-2.06,111409,72520921.0,0.11,0.01
2025-08-19 13:20:00,9213.37,9217.5,9219.87,9211.07,0.03,2.8,112405,67003375.0,0.1,0.01
2025-08-19 13:25:00,9215.52,9216.83,9218.3,9212.03,-0.01,-0.67,92574,58407716.0,0.07,0.01
2025-08-19 13:30:00,9215.97,9210.65,9216.16,9210.29,-0.07,-6.18,97765,64878977.0,0.06,0.01
2025-08-19 13:35:00,9209.67,9203.94,9216.3,9203.94,-0.07,-6.71,133354,78169563.0,0.13,0.01
2025-08-19 13:40:00,9204.01,9207.78,9209.76,9197.3,0.04,3.84,130845,81504232.0,0.14,0.01
2025-08-19 13:45:00,9208.26,9206.29,9209.43,9203.54,-0.02,-1.49,111772,67487136.0,0.06,0.01
2025-08-19 13:50:00,9205.91,9204.72,9208.22,9202.18,-0.02,-1.57,122184,79084586.0,0.07,0.01
2025-08-19 13:55:00,9204.79,9199.09,9208.38,9196.21,-0.06,-5.63,125384,78981968.0,0.13,0.01
2025-08-19 14:00:00,9201.3,9197.51,9203.68,9195.84,-0.02,-1.58,133208,84114196.0,0.09,0.01
2025-08-19 14:05:00,9195.87,9208.64,9210.14,9195.11,0.12,11.13,128039,89459212.0,0.16,0.01
2025-08-19 14:10:00,9208.99,9210.69,9213.78,9206.47,0.02,2.05,96961,62534842.0,0.08,0.01
2025-08-19 14:15:00,9209.01,9208.47,9214.42,9205.04,-0.02,-2.22,143520,85718574.0,0.1,0.01
2025-08-19 14:20:00,9210.37,9211.02,9215.1,9207.76,0.03,2.55,107070,64468265.0,0.08,0.01
2025-08-19 14:25:00,9210.39,9204.99,9213.47,9204.19,-0.07,-6.03,125373,76799841.0,0.1,0.01
2025-08-19 14:30:00,9207.25,9203.89,9208.14,9198.55,-0.01,-1.1,175855,111885898.0,0.1,0.02
2025-08-19 14:35:00,9202.56,9204.45,9208.88,9201.82,0.01,0.56,74570,52305491.0,0.08,0.01
2025-08-19 14:40:00,9205.05,9210.3,9212.47,9205.05,0.06,5.85,107689,68746003.0,0.08,0.01
2025-08-19 14:45:00,9211.43,9215.44,9215.44,9206.0,0.06,5.14,129581,81027261.0,0.1,0.01
2025-08-19 14:50:00,9214.11,9212.84,9216.69,9209.22,-0.03,-2.6,194677,117972216.0,0.08,0.02
2025-08-19 14:55:00,9215.5,9213.59,9216.54,9207.36,0.01,0.75,328445,195342583.0,0.1,0.03
2025-08-19 15:00:00,9214.18,9218.56,9220.22,9213.37,0.05,4.97,368782,210869469.0,0.07,0.04
2025-08-20 09:35:00,9207.58,9198.28,9208.47,9184.73,-0.22,-20.28,465198,303456544.0,0.26,0.05
2025-08-20 09:40:00,9199.53,9204.5,9205.78,9193.09,0.07,6.22,360283,210569150.0,0.14,0.04
2025-08-20 09:45:00,9204.43,9209.99,9218.1,9202.2,0.06,5.49,253955,152792804.0,0.17,0.03
2025-08-20 09:50:00,9211.84,9203.77,9214.3,9203.4,-0.07,-6.22,243955,151825680.0,0.12,0.02
2025-08-20 09:55:00,9203.16,9207.08,9210.39,9201.23,0.04,3.31,204949,140027392.0,0.1,0.02
2025-08-20 10:00:00,9207.19,9205.71,9209.49,9198.78,-0.01,-1.37,235146,160265280.0,0.12,0.02
2025-08-20 10:05:00,9206.22,9189.96,9208.44,9189.96,-0.17,-15.75,212081,146518145.0,0.2,0.02
2025-08-20 10:10:00,9189.17,9192.52,9194.03,9187.18,0.03,2.56,251768,166510573.0,0.07,0.02
2025-08-20 10:15:00,9191.73,9194.21,9197.79,9188.0,0.02,1.69,173680,122060610.0,0.11,0.02
2025-08-20 10:20:00,9192.3,9183.29,9192.3,9179.65,-0.12,-10.92,244380,162506994.0,0.14,0.02
2025-08-20 10:25:00,9183.11,9177.3,9186.75,9177.3,-0.07,-5.99,161038,103864822.0,0.1,0.02
2025-08-20 10:30:00,9178.22,9180.29,9182.89,9176.68,0.03,2.99,133196,84080681.0,0.07,0.01
2025-08-20 10:35:00,9179.79,9190.35,9194.08,9179.09,0.11,10.06,132818,78667387.0,0.16,0.01
2025-08-20 10:40:00,9190.74,9188.58,9192.95,9185.85,-0.02,-1.77,94819,67294250.0,0.08,0.01
2025-08-20 10:45:00,9188.2,9190.95,9193.12,9183.69,0.03,2.37,123785,78139271.0,0.1,0.01
2025-08-20 10:50:00,9190.82,9193.06,9194.22,9186.46,0.02,2.11,87856,58789574.0,0.08,0.01
2025-08-20 10:55:00,9190.98,9187.75,9193.26,9186.15,-0.06,-5.31,118954,73035686.0,0.08,0.01
2025-08-20 11:00:00,9188.1,9185.92,9192.42,9185.32,-0.02,-1.83,125384,73458892.0,0.08,0.01
2025-08-20 11:05:00,9186.68,9185.0,9187.44,9181.42,-0.01,-0.92,125915,75149038.0,0.07,0.01
2025-08-20 11:10:00,9184.6,9188.11,9192.22,9183.0,0.03,3.11,131523,76351982.0,0.1,0.01
2025-08-20 11:15:00,9188.41,9188.76,9192.14,9184.7,0.01,0.65,94561,59937769.0,0.08,0.01
2025-08-20 11:20:00,9188.84,9182.25,9191.05,9178.49,-0.07,-6.51,129011,77672003.0,0.14,0.01
2025-08-20 11:25:00,9182.31,9178.91,9187.52,9177.44,-0.04,-3.34,146223,87413811.0,0.11,0.01
2025-08-20 11:30:00,9181.62,9173.33,9181.62,9167.41,-0.06,-5.58,258100,143849035.0,0.15,0.03
2025-08-20 13:05:00,9173.33,9179.89,9184.12,9173.33,0.07,6.56,128953,80900203.0,0.12,0.01
2025-08-20 13:10:00,9179.76,9176.81,9182.37,9173.79,-0.03,-3.08,137044,81303474.0,0.09,0.01
2025-08-20 13:15:00,9177.09,9176.83,9183.68,9175.11,0.0,0.02,144114,74141761.0,0.09,0.01
2025-08-20 13:20:00,9177.84,9177.87,9182.61,9174.68,0.01,1.04,65741,44878898.0,0.09,0.01
2025-08-20 13:25:00,9178.2,9182.33,9183.85,9178.04,0.05,4.46,63405,38953355.0,0.06,0.01
2025-08-20 13:30:00,9181.47,9185.53,9188.78,9180.42,0.03,3.2,92021,57473940.0,0.09,0.01
2025-08-20 13:35:00,9185.44,9183.99,9190.09,9181.15,-0.02,-1.54,97717,63818265.0,0.1,0.01
2025-08-20 13:40:00,9185.63,9188.71,9190.67,9183.08,0.05,4.72,123410,80334362.0,0.08,0.01
2025-08-20 13:45:00,9187.42,9186.43,9191.0,9182.05,-0.02,-2.28,69670,50124528.0,0.1,0.01
2025-08-20 13:50:00,9184.74,9183.21,9187.88,9179.86,-0.04,-3.22,84047,54576599.0,0.09,0.01
2025-08-20 13:55:00,9185.8,9185.24,9187.07,9181.21,0.02,2.03,76620,45567342.0,0.06,0.01
2025-08-20 14:00:00,9186.24,9182.91,9186.24,9178.43,-0.03,-2.33,88746,53038753.0,0.09,0.01
2025-08-20 14:05:00,9182.54,9192.9,9195.1,9182.12,0.11,9.99,149233,87896949.0,0.14,0.01
2025-08-20 14:10:00,9193.52,9191.37,9194.21,9188.44,-0.02,-1.53,97249,55963451.0,0.06,0.01
2025-08-20 14:15:00,9189.64,9199.74,9200.89,9188.99,0.09,8.37,118040,71370455.0,0.13,0.01
2025-08-20 14:20:00,9200.31,9199.99,9204.4,9196.59,0.0,0.25,108006,62527157.0,0.08,0.01
2025-08-20 14:25:00,9199.53,9199.88,9204.25,9196.7,0.0,-0.11,88440,54456470.0,0.08,0.01
2025-08-20 14:30:00,9198.73,9200.12,9205.17,9195.07,0.0,0.24,72221,47142930.0,0.11,0.01
2025-08-20 14:35:00,9200.78,9205.57,9208.99,9199.9,0.06,5.45,180019,116038344.0,0.1,0.02
2025-08-20 14:40:00,9204.85,9207.7,9210.8,9202.33,0.02,2.13,158972,106605287.0,0.09,0.02
2025-08-20 14:45:00,9207.75,9210.16,9215.19,9204.64,0.03,2.46,130770,84970704.0,0.11,0.01
2025-08-20 14:50:00,9210.09,9222.89,9223.04,9210.09,0.14,12.73,265790,161585129.0,0.14,0.03
2025-08-20 14:55:00,9223.28,9223.27,9225.13,9216.05,0.0,0.38,255087,153455954.0,0.1,0.03
2025-08-20 15:00:00,9222.65,9228.26,9228.26,9216.94,0.05,4.99,266793,159845090.0,0.12,0.03
2025-08-21 09:35:00,9229.25,9236.76,9241.58,9228.38,0.09,8.5,566040,354995791.0,0.14,0.06
2025-08-21 09:40:00,9236.28,9248.73,9250.39,9232.98,0.13,11.97,473995,281258108.0,0.19,0.05
2025-08-21 09:45:00,9251.28,9241.18,9256.88,9240.32,-0.08,-7.55,323417,222305090.0,0.18,0.03
2025-08-21 09:50:00,9241.73,9256.33,9259.27,9240.77,0.16,15.15,340270,194008542.0,0.2,0.03
2025-08-21 09:55:00,9256.68,9261.93,9264.41,9254.87,0.06,5.6,316553,190664240.0,0.1,0.03
2025-08-21 10:00:00,9257.88,9256.51,9264.7,9254.83,-0.06,-5.42,285365,177552635.0,0.11,0.03
2025-08-21 10:05:00,9256.48,9270.71,9276.47,9256.48,0.15,14.2,378719,233049578.0,0.22,0.04
2025-08-21 10:10:00,9271.72,9285.81,9290.05,9271.72,0.16,15.1,460897,251819978.0,0.2,0.05
2025-08-21 10:15:00,9287.38,9285.17,9290.97,9283.62,-0.01,-0.64,199530,131734603.0,0.08,0.02
2025-08-21 10:20:00,9286.66,9287.6,9290.19,9276.99,0.03,2.43,181117,122016191.0,0.14,0.02
2025-08-21 10:25:00,9287.14,9287.93,9290.85,9279.48,0.0,0.33,113556,77161524.0,0.12,0.01
2025-08-21 10:30:00,9289.13,9283.85,9290.95,9279.99,-0.04,-4.08,120969,82364837.0,0.12,0.01
2025-08-21 10:35:00,9283.45,9292.01,9293.95,9282.21,0.09,8.16,188143,117179805.0,0.13,0.02
2025-08-21 10:40:00,9292.53,9290.84,9293.46,9286.18,-0.01,-1.17,101756,67212682.0,0.08,0.01
2025-08-21 10:45:00,9291.46,9293.64,9296.69,9288.02,0.03,2.8,204823,117655853.0,0.09,0.02
2025-08-21 10:50:00,9293.44,9287.07,9296.14,9284.84,-0.07,-6.57,103629,73558177.0,0.12,0.01
2025-08-21 10:55:00,9288.49,9288.09,9290.84,9281.75,0.01,1.02,58192,41301579.0,0.1,0.01
2025-08-21 11:00:00,9288.62,9292.28,9293.3,9284.78,0.05,4.19,63389,42062524.0,0.09,0.01
