日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1630.09,1625.76,1630.29,1620.59,-0.39,-6.33,894957,1815222648.0,0.59,0.5
2025-08-19 09:40:00,1625.55,1626.68,1628.27,1623.63,0.06,0.92,503026,1050057401.0,0.29,0.28
2025-08-19 09:45:00,1626.66,1630.09,1631.22,1623.48,0.21,3.41,445105,959332076.0,0.48,0.25
2025-08-19 09:50:00,1630.03,1629.17,1630.92,1627.92,-0.06,-0.92,308372,703269476.0,0.18,0.17
2025-08-19 09:55:00,1629.06,1632.16,1632.83,1628.42,0.18,2.99,293746,699190829.0,0.27,0.17
2025-08-19 10:00:00,1631.82,1627.18,1632.48,1627.18,-0.31,-4.98,319122,819428209.0,0.32,0.18
2025-08-19 10:05:00,1626.97,1616.32,1627.51,1616.32,-0.67,-10.86,374546,884200666.0,0.69,0.21
2025-08-19 10:10:00,1616.15,1623.59,1624.86,1614.12,0.45,7.27,297042,696578000.0,0.66,0.17
2025-08-19 10:15:00,1623.96,1620.42,1623.96,1619.24,-0.2,-3.17,207929,443620041.0,0.29,0.12
2025-08-19 10:20:00,1620.39,1614.52,1620.9,1614.52,-0.36,-5.9,220914,464095109.0,0.39,0.12
2025-08-19 10:25:00,1614.61,1612.38,1614.61,1612.33,-0.13,-2.14,143999,351334342.0,0.14,0.08
2025-08-19 10:30:00,1612.52,1617.77,1618.49,1612.52,0.33,5.39,142094,327629144.0,0.37,0.08
2025-08-19 10:35:00,1617.71,1620.42,1620.59,1617.28,0.16,2.65,147506,304841887.0,0.2,0.08
2025-08-19 10:40:00,1620.35,1621.64,1621.64,1619.42,0.08,1.22,127878,382633449.0,0.14,0.07
2025-08-19 10:45:00,1621.53,1623.3,1623.3,1620.92,0.1,1.66,120878,346497551.0,0.15,0.07
2025-08-19 10:50:00,1623.42,1626.15,1627.04,1623.32,0.18,2.85,165840,457811130.0,0.23,0.09
2025-08-19 10:55:00,1626.23,1628.34,1628.76,1626.23,0.13,2.19,129342,331723201.0,0.16,0.07
2025-08-19 11:00:00,1628.45,1625.9,1629.06,1625.88,-0.15,-2.44,134292,289600718.0,0.2,0.08
2025-08-19 11:05:00,1626.17,1628.87,1629.18,1625.93,0.18,2.97,113002,230672889.0,0.2,0.06
2025-08-19 11:10:00,1628.83,1630.69,1630.69,1628.27,0.11,1.82,92012,220681502.0,0.15,0.05
2025-08-19 11:15:00,1630.63,1634.76,1634.76,1630.63,0.25,4.07,164979,358119009.0,0.25,0.09
2025-08-19 11:20:00,1634.78,1633.81,1634.9,1633.17,-0.06,-0.95,114124,240369727.0,0.11,0.06
2025-08-19 11:25:00,1633.82,1637.23,1638.34,1633.82,0.21,3.42,176817,420332260.0,0.28,0.1
2025-08-19 11:30:00,1637.36,1637.28,1639.08,1637.25,0.0,0.05,156218,374646841.0,0.11,0.09
2025-08-19 13:05:00,1637.28,1639.8,1640.32,1637.28,0.15,2.52,283072,791256863.0,0.19,0.16
2025-08-19 13:10:00,1640.18,1640.93,1642.77,1638.83,0.07,1.13,188280,460713152.0,0.24,0.11
2025-08-19 13:15:00,1640.8,1640.5,1642.26,1640.21,-0.03,-0.43,148944,393224937.0,0.12,0.08
2025-08-19 13:20:00,1640.57,1637.96,1640.57,1637.61,-0.15,-2.54,124208,289926293.0,0.18,0.07
2025-08-19 13:25:00,1637.98,1637.81,1638.78,1637.58,-0.01,-0.15,104816,239841293.0,0.07,0.06
2025-08-19 13:30:00,1637.72,1637.09,1637.91,1635.43,-0.04,-0.72,102281,219954926.0,0.15,0.06
2025-08-19 13:35:00,1637.1,1631.76,1637.2,1631.74,-0.33,-5.33,125746,292649141.0,0.33,0.07
2025-08-19 13:40:00,1631.63,1633.33,1633.51,1630.12,0.1,1.57,127538,264009802.0,0.21,0.07
2025-08-19 13:45:00,1633.38,1632.29,1634.21,1631.91,-0.06,-1.04,124947,237142032.0,0.14,0.07
2025-08-19 13:50:00,1632.52,1629.26,1632.72,1629.12,-0.19,-3.03,146991,307837239.0,0.22,0.08
2025-08-19 13:55:00,1629.28,1625.24,1629.38,1624.12,-0.25,-4.02,166259,404697652.0,0.32,0.09
2025-08-19 14:00:00,1625.16,1625.66,1627.56,1625.16,0.03,0.42,90739,219460287.0,0.15,0.05
2025-08-19 14:05:00,1625.46,1629.61,1629.7,1625.08,0.24,3.95,91963,213011910.0,0.28,0.05
2025-08-19 14:10:00,1629.7,1628.83,1630.79,1628.59,-0.05,-0.78,81189,189744055.0,0.14,0.05
2025-08-19 14:15:00,1628.9,1626.64,1628.9,1626.02,-0.13,-2.19,75571,167321281.0,0.18,0.04
2025-08-19 14:20:00,1626.67,1625.61,1627.69,1625.61,-0.06,-1.03,81199,173066982.0,0.13,0.05
2025-08-19 14:25:00,1625.44,1622.22,1625.65,1622.17,-0.21,-3.39,103782,228179758.0,0.21,0.06
2025-08-19 14:30:00,1622.12,1620.97,1622.12,1618.83,-0.08,-1.25,135351,285939222.0,0.2,0.08
2025-08-19 14:35:00,1620.93,1624.9,1625.43,1620.93,0.24,3.93,93902,213438425.0,0.28,0.05
2025-08-19 14:40:00,1624.87,1624.7,1626.59,1624.7,-0.01,-0.2,85261,202927376.0,0.12,0.05
2025-08-19 14:45:00,1624.81,1624.93,1625.15,1624.07,0.01,0.23,106407,276910753.0,0.07,0.06
2025-08-19 14:50:00,1624.81,1625.32,1625.68,1624.74,0.02,0.39,133019,319833447.0,0.06,0.07
2025-08-19 14:55:00,1625.52,1623.82,1625.66,1623.65,-0.09,-1.5,179695,397897001.0,0.12,0.1
2025-08-19 15:00:00,1623.97,1624.57,1625.35,1623.97,0.05,0.75,177011,361903853.0,0.08,0.1
2025-08-20 09:35:00,1616.53,1613.69,1616.53,1608.86,-0.67,-10.88,669687,1796370398.0,0.47,0.38
