日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1362.2,1361.44,1362.94,1357.23,-0.29,-4.02,563721,958824101.0,0.42,0.24
2025-08-19 09:40:00,1361.29,1362.06,1363.42,1360.33,0.05,0.62,306072,574853166.0,0.23,0.13
2025-08-19 09:45:00,1362.07,1362.48,1363.41,1359.08,0.03,0.42,262604,468455938.0,0.32,0.11
2025-08-19 09:50:00,1362.91,1363.97,1365.18,1361.5,0.11,1.49,206722,368650596.0,0.27,0.09
2025-08-19 09:55:00,1363.63,1364.55,1365.94,1363.63,0.04,0.58,207959,382997983.0,0.17,0.09
2025-08-19 10:00:00,1364.37,1359.39,1365.41,1359.35,-0.38,-5.16,247736,386444131.0,0.44,0.11
2025-08-19 10:05:00,1359.27,1351.89,1359.85,1351.89,-0.55,-7.5,281384,446597932.0,0.59,0.12
2025-08-19 10:10:00,1351.79,1355.66,1356.1,1349.6,0.28,3.77,263405,417412686.0,0.48,0.11
2025-08-19 10:15:00,1355.71,1353.96,1355.84,1353.52,-0.13,-1.7,129285,263217209.0,0.17,0.06
2025-08-19 10:20:00,1354.02,1350.84,1354.44,1350.84,-0.23,-3.12,159162,311071060.0,0.27,0.07
2025-08-19 10:25:00,1350.77,1352.33,1352.82,1350.69,0.11,1.49,149793,225137713.0,0.16,0.06
2025-08-19 10:30:00,1352.5,1354.63,1355.04,1351.94,0.17,2.3,109251,171473634.0,0.23,0.05
2025-08-19 10:35:00,1354.56,1355.26,1355.95,1354.56,0.05,0.63,97850,154731997.0,0.1,0.04
2025-08-19 10:40:00,1355.59,1357.0,1357.2,1355.05,0.13,1.74,85825,156336450.0,0.16,0.04
2025-08-19 10:45:00,1356.85,1356.46,1357.06,1355.63,-0.04,-0.54,84373,137273935.0,0.11,0.04
2025-08-19 10:50:00,1356.5,1355.62,1356.74,1355.1,-0.06,-0.84,78941,117029780.0,0.12,0.03
2025-08-19 10:55:00,1355.8,1356.73,1357.03,1355.73,0.08,1.11,63643,105901762.0,0.1,0.03
2025-08-19 11:00:00,1356.91,1355.71,1357.17,1355.33,-0.08,-1.02,98515,118693891.0,0.14,0.04
2025-08-19 11:05:00,1355.76,1359.56,1359.93,1355.5,0.28,3.85,75485,113516430.0,0.33,0.03
2025-08-19 11:10:00,1359.56,1359.27,1359.98,1358.29,-0.02,-0.29,66139,110935118.0,0.12,0.03
2025-08-19 11:15:00,1359.19,1361.0,1361.16,1359.16,0.13,1.73,85118,134593816.0,0.15,0.04
2025-08-19 11:20:00,1360.88,1360.85,1361.68,1360.12,-0.01,-0.15,81555,141033872.0,0.11,0.04
2025-08-19 11:25:00,1360.62,1361.81,1362.45,1360.62,0.07,0.96,72671,120304691.0,0.13,0.03
2025-08-19 11:30:00,1361.81,1361.66,1362.27,1361.14,-0.01,-0.15,84018,125132090.0,0.08,0.04
2025-08-19 13:05:00,1361.66,1361.74,1362.4,1359.57,0.01,0.08,165138,228903028.0,0.21,0.07
2025-08-19 13:10:00,1361.93,1362.5,1363.39,1360.48,0.06,0.76,95979,153479224.0,0.21,0.04
2025-08-19 13:15:00,1362.35,1360.86,1363.5,1360.86,-0.12,-1.64,98387,161237617.0,0.19,0.04
2025-08-19 13:20:00,1360.99,1361.33,1362.76,1360.93,0.03,0.47,101431,159649532.0,0.13,0.04
2025-08-19 13:25:00,1361.36,1361.02,1362.14,1360.89,-0.02,-0.31,67606,120264524.0,0.09,0.03
2025-08-19 13:30:00,1361.08,1360.37,1361.08,1358.91,-0.05,-0.65,86241,138809147.0,0.16,0.04
2025-08-19 13:35:00,1360.3,1356.51,1360.54,1356.51,-0.28,-3.86,116057,183482030.0,0.3,0.05
2025-08-19 13:40:00,1356.42,1357.68,1357.68,1355.31,0.09,1.17,94916,165525795.0,0.17,0.04
2025-08-19 13:45:00,1357.76,1357.08,1357.9,1356.66,-0.04,-0.6,196738,178225961.0,0.09,0.09
2025-08-19 13:50:00,1357.2,1355.25,1357.2,1355.14,-0.13,-1.83,116405,158318032.0,0.15,0.05
2025-08-19 13:55:00,1355.25,1354.87,1355.45,1353.08,-0.03,-0.38,181240,226925669.0,0.17,0.08
2025-08-19 14:00:00,1354.91,1354.31,1356.06,1354.1,-0.04,-0.56,109697,171481316.0,0.14,0.05
2025-08-19 14:05:00,1354.1,1359.31,1359.53,1354.1,0.37,5.0,122883,196972738.0,0.4,0.05
2025-08-19 14:10:00,1359.26,1359.03,1360.28,1358.72,-0.02,-0.28,111605,169326781.0,0.11,0.05
2025-08-19 14:15:00,1358.87,1358.1,1359.48,1357.57,-0.07,-0.93,78713,138258162.0,0.14,0.03
2025-08-19 14:20:00,1358.12,1357.51,1359.03,1357.51,-0.04,-0.59,83232,164957988.0,0.11,0.04
2025-08-19 14:25:00,1357.47,1356.61,1357.62,1356.25,-0.07,-0.9,90190,151117039.0,0.1,0.04
2025-08-19 14:30:00,1356.67,1355.3,1356.67,1353.55,-0.1,-1.31,114275,197342959.0,0.23,0.05
2025-08-19 14:35:00,1355.41,1357.07,1357.37,1355.32,0.13,1.77,88175,147800151.0,0.15,0.04
2025-08-19 14:40:00,1357.29,1357.41,1358.11,1356.63,0.03,0.34,108069,148398468.0,0.11,0.05
2025-08-19 14:45:00,1357.4,1357.98,1358.29,1356.77,0.04,0.57,94225,155442943.0,0.11,0.04
2025-08-19 14:50:00,1357.98,1357.93,1358.59,1357.63,0.0,-0.05,131026,215758564.0,0.07,0.06
2025-08-19 14:55:00,1357.72,1357.82,1358.06,1356.7,-0.01,-0.11,149386,247850102.0,0.1,0.06
2025-08-19 15:00:00,1357.77,1358.14,1358.14,1357.21,0.02,0.32,157493,235128582.0,0.07,0.07
2025-08-20 09:35:00,1357.93,1351.39,1358.67,1348.15,-0.5,-6.75,485836,853231796.0,0.77,0.21
2025-08-20 09:40:00,1350.95,1356.78,1358.24,1349.77,0.4,5.39,328150,570736347.0,0.63,0.14
2025-08-20 09:45:00,1356.77,1353.26,1357.73,1353.26,-0.26,-3.52,279304,459041082.0,0.33,0.12
2025-08-20 09:50:00,1353.4,1356.4,1356.64,1352.14,0.23,3.14,224122,376064126.0,0.33,0.1
2025-08-20 09:55:00,1356.6,1355.82,1357.69,1354.79,-0.04,-0.58,193052,361963326.0,0.21,0.08
2025-08-20 10:00:00,1355.99,1354.38,1355.99,1353.6,-0.11,-1.44,142406,269652357.0,0.18,0.06
2025-08-20 10:05:00,1354.32,1354.96,1357.23,1353.52,0.04,0.58,175529,263304999.0,0.27,0.08
2025-08-20 10:10:00,1354.61,1352.07,1354.79,1351.37,-0.21,-2.89,175766,256712889.0,0.25,0.08
2025-08-20 10:15:00,1352.26,1352.64,1352.64,1351.32,0.04,0.57,128587,197632479.0,0.1,0.06
2025-08-20 10:20:00,1352.41,1353.15,1353.87,1351.8,0.04,0.51,145017,189763569.0,0.15,0.06
2025-08-20 10:25:00,1352.64,1353.06,1353.88,1352.43,-0.01,-0.09,103824,171415979.0,0.11,0.04
2025-08-20 10:30:00,1352.89,1354.29,1354.7,1352.06,0.09,1.23,81781,126143283.0,0.2,0.04
2025-08-20 10:35:00,1354.48,1355.48,1355.92,1354.41,0.09,1.19,70969,125419998.0,0.11,0.03
2025-08-20 10:40:00,1355.68,1355.99,1357.34,1355.36,0.04,0.51,91399,140142194.0,0.15,0.04
2025-08-20 10:45:00,1356.01,1355.02,1356.01,1354.45,-0.07,-0.97,85202,125407096.0,0.12,0.04
2025-08-20 10:50:00,1355.22,1354.84,1355.22,1353.85,-0.01,-0.18,82344,121854086.0,0.1,0.04
2025-08-20 10:55:00,1354.67,1353.16,1355.59,1353.15,-0.12,-1.68,68265,125431742.0,0.18,0.03
2025-08-20 11:00:00,1353.37,1351.23,1353.53,1351.23,-0.14,-1.93,75101,123708157.0,0.17,0.03
2025-08-20 11:05:00,1351.23,1350.68,1351.4,1349.7,-0.04,-0.55,115647,162951317.0,0.13,0.05
2025-08-20 11:10:00,1350.91,1351.74,1352.01,1350.71,0.08,1.06,62002,112375694.0,0.1,0.03
2025-08-20 11:15:00,1351.84,1350.95,1352.56,1350.8,-0.06,-0.79,61808,106733941.0,0.13,0.03
2025-08-20 11:20:00,1351.0,1348.53,1351.23,1347.48,-0.18,-2.42,144590,193775933.0,0.28,0.06
2025-08-20 11:25:00,1348.61,1345.75,1349.11,1345.75,-0.21,-2.78,106447,175084540.0,0.25,0.05
2025-08-20 11:30:00,1345.79,1346.99,1347.08,1342.69,0.09,1.24,154391,232246226.0,0.33,0.07
2025-08-20 13:05:00,1346.99,1346.3,1349.23,1346.3,-0.05,-0.69,96191,158824786.0,0.22,0.04
2025-08-20 13:10:00,1346.51,1344.37,1347.41,1344.1,-0.14,-1.93,93790,131544053.0,0.25,0.04
2025-08-20 13:15:00,1344.4,1346.78,1347.17,1344.4,0.18,2.41,64057,107199059.0,0.21,0.03
2025-08-20 13:20:00,1346.73,1347.39,1347.56,1346.17,0.05,0.61,60437,105066000.0,0.1,0.03
2025-08-20 13:25:00,1347.37,1348.51,1348.79,1347.0,0.08,1.12,73726,122380133.0,0.13,0.03
2025-08-20 13:30:00,1348.61,1350.27,1350.41,1347.58,0.13,1.76,101879,176195141.0,0.21,0.04
2025-08-20 13:35:00,1350.23,1350.84,1351.01,1349.7,0.04,0.57,90722,134148119.0,0.1,0.04
2025-08-20 13:40:00,1350.77,1351.63,1352.47,1350.77,0.06,0.79,100557,138816417.0,0.13,0.04
2025-08-20 13:45:00,1351.95,1351.53,1353.53,1351.53,-0.01,-0.1,88096,127373137.0,0.15,0.04
2025-08-20 13:50:00,1351.73,1354.32,1354.37,1351.4,0.21,2.79,94767,111470213.0,0.22,0.04
2025-08-20 13:55:00,1354.44,1353.16,1354.44,1352.74,-0.09,-1.16,63646,91382926.0,0.13,0.03
2025-08-20 14:00:00,1353.18,1354.88,1355.15,1352.24,0.13,1.72,75337,123249619.0,0.22,0.03
2025-08-20 14:05:00,1355.07,1357.77,1357.99,1355.07,0.21,2.89,117110,169612103.0,0.22,0.05
2025-08-20 14:10:00,1357.85,1357.46,1358.42,1357.23,-0.02,-0.31,101855,163496521.0,0.09,0.04
2025-08-20 14:15:00,1357.24,1360.11,1360.11,1357.24,0.2,2.65,118329,152800411.0,0.21,0.05
2025-08-20 14:20:00,1360.12,1360.71,1362.21,1360.12,0.04,0.6,134180,183795667.0,0.15,0.06
2025-08-20 14:25:00,1360.71,1360.26,1360.87,1358.49,-0.03,-0.45,103920,158772193.0,0.17,0.04
2025-08-20 14:30:00,1360.41,1361.26,1361.71,1359.9,0.07,1.0,104345,158066252.0,0.13,0.05
2025-08-20 14:35:00,1361.17,1361.53,1362.72,1361.17,0.02,0.27,133203,189247609.0,0.11,0.06
2025-08-20 14:40:00,1361.61,1360.81,1361.61,1359.64,-0.05,-0.72,106924,160297246.0,0.14,0.05
