日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,29865.21,29848.76,29878.14,29823.17,0.23,69.25,1740746,2407522976.0,0.18,0.23
2025-08-19 09:40:00,29848.21,29940.91,29940.98,29840.65,0.31,92.15,1049348,1418341533.0,0.34,0.14
2025-08-19 09:45:00,29941.42,29985.08,30008.29,29940.52,0.15,44.17,1066533,1365029736.0,0.23,0.14
2025-08-19 09:50:00,29986.22,29958.58,30003.9,29958.58,-0.09,-26.5,700107,979579252.0,0.15,0.09
2025-08-19 09:55:00,29958.65,29984.11,29985.32,29950.76,0.09,25.53,544222,728507366.0,0.12,0.07
2025-08-19 10:00:00,29989.47,30050.0,30062.34,29989.47,0.22,65.89,655142,884488107.0,0.24,0.09
2025-08-19 10:05:00,30051.78,29995.42,30070.78,29995.42,-0.18,-54.58,961618,1229318711.0,0.25,0.13
2025-08-19 10:10:00,29993.87,30024.33,30024.67,29926.83,0.1,28.91,919026,1296706105.0,0.33,0.12
2025-08-19 10:15:00,30027.83,30080.36,30106.15,30027.83,0.19,56.03,1083866,1231429811.0,0.26,0.14
2025-08-19 10:20:00,30082.24,30073.23,30105.96,30071.59,-0.02,-7.13,764730,977076629.0,0.11,0.1
2025-08-19 10:25:00,30071.21,30023.65,30071.21,30022.43,-0.16,-49.58,635803,818434677.0,0.16,0.08
2025-08-19 10:30:00,30027.84,30100.58,30100.94,30025.46,0.26,76.93,607430,691776374.0,0.25,0.08
2025-08-19 10:35:00,30098.39,30117.44,30123.73,30092.96,0.06,16.86,479661,586311003.0,0.1,0.06
2025-08-19 10:40:00,30120.66,30108.04,30121.45,30100.81,-0.03,-9.4,291595,426529952.0,0.07,0.04
2025-08-19 10:45:00,30108.96,30095.22,30114.68,30093.93,-0.04,-12.82,249172,352861074.0,0.07,0.03
2025-08-19 10:50:00,30097.74,30090.63,30099.04,30080.78,-0.02,-4.59,218207,307392013.0,0.06,0.03
2025-08-19 10:55:00,30088.35,30074.42,30093.93,30069.46,-0.05,-16.21,211830,280951932.0,0.08,0.03
2025-08-19 11:00:00,30075.16,30063.16,30076.45,30058.41,-0.04,-11.26,202854,301000281.0,0.06,0.03
2025-08-19 11:05:00,30062.73,30091.76,30095.89,30062.73,0.1,28.6,245875,315994497.0,0.11,0.03
2025-08-19 11:10:00,30093.13,30091.33,30093.13,30081.24,0.0,-0.43,240799,297109872.0,0.04,0.03
2025-08-19 11:15:00,30092.67,30103.65,30104.99,30092.58,0.04,12.32,201587,255615311.0,0.04,0.03
2025-08-19 11:20:00,30102.84,30092.2,30107.4,30091.73,-0.04,-11.45,220153,301995625.0,0.05,0.03
2025-08-19 11:25:00,30092.16,30088.13,30095.86,30085.81,-0.01,-4.07,187348,261365217.0,0.03,0.02
2025-08-19 11:30:00,30087.89,30083.31,30095.6,30079.88,-0.02,-4.82,209657,307911201.0,0.05,0.03
2025-08-19 13:05:00,30083.31,30100.16,30103.79,30083.31,0.06,16.85,464951,565352313.0,0.07,0.06
2025-08-19 13:10:00,30101.56,30110.39,30111.71,30093.14,0.03,10.23,241726,342202140.0,0.06,0.03
2025-08-19 13:15:00,30112.01,30101.56,30115.17,30101.56,-0.03,-8.83,261978,371774564.0,0.05,0.03
2025-08-19 13:20:00,30100.41,30120.65,30120.65,30093.69,0.06,19.09,346183,457530977.0,0.09,0.05
2025-08-19 13:25:00,30120.56,30126.88,30137.88,30120.56,0.02,6.23,437010,510101168.0,0.06,0.06
2025-08-19 13:30:00,30130.27,30118.63,30130.27,30109.84,-0.03,-8.25,292310,412384037.0,0.07,0.04
2025-08-19 13:35:00,30119.07,30071.22,30124.98,30070.5,-0.16,-47.41,337354,431073127.0,0.18,0.04
2025-08-19 13:40:00,30071.45,30092.11,30092.11,30055.2,0.07,20.89,304325,411537053.0,0.12,0.04
2025-08-19 13:45:00,30093.55,30083.55,30093.55,30080.54,-0.03,-8.56,223246,290014911.0,0.04,0.03
2025-08-19 13:50:00,30084.14,30061.19,30086.83,30047.96,-0.07,-22.36,264393,388067046.0,0.13,0.03
2025-08-19 13:55:00,30058.86,30020.2,30063.49,30004.3,-0.14,-40.99,394708,518998530.0,0.2,0.05
2025-08-19 14:00:00,30023.72,30037.27,30052.67,30021.85,0.06,17.07,264106,361594731.0,0.1,0.03
